;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;
Næringsmiddelindustri;2437;2631;2521;2554;2612;2663;2540;2499;2499;2463;2426;;
Metallvareindustri;1755;1676;1664;1667;1688;1689;1559;1413;1354;1427;1444;;
Kjemisk industri;1326;1268;1278;1318;1336;1297;1001;1005;999;1009;1008;;
Trelast- og trevareindustri;749;772;769;735;729;689;697;715;770;736;717;;
Metallindustri;504;499;495;493;507;512;501;508;519;519;506;;
Mineralproduktindustri;391;356;352;333;326;340;346;322;361;364;403;;
Petroleums- og kullvareindustri;284;280;277;266;259;263;269;268;277;271;293;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Vestfold;;;;;;;;;;;;;
09315: Sysselsatte per 4. kvartal, etter region, næring (SN2007), statistikkvariabel og år;;;;;;;;;;;;;
