Kommune;Beholde;Label;Folketall
Horten;Nei;Horten;27510
Holmestrand;Nei;Holmestrand;25011
Tønsberg;Nei;Tønsberg;57026
Sandefjord;Nei;Sandefjord;64345
Larvik;Nei;Larvik;47499
Porsgrunn;Ja;Porsgrunn;36526
Skien;Ja;Skien;55144
Notodden;Nei;Notodden;12994
Færder;Nei;Færder;26957
Siljan;Nei;Siljan;2347
Bamble;Ja;Bamble;14014
Kragerø;Nei;Kragerø;10416
Drangedal;Nei;Drangedal;4071
Tinn;Ja;Tinn;5604
Hjartdal;Nei;Hjartdal;1561
Kviteseid;Nei;Kviteseid;2430
Nissedal;Nei;Nissedal;1430
Fyresdal;Nei;Fyresdal;1228
Tokke;Nei;Tokke;2164
Vinje;Nei;Vinje;3756
Nome;Ja;Nome;6488
Midt-Telemark;Ja;Midt-Telemark;10461
Seljord;Ja;Seljord;2900
