region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (-2019),Folkemengde,2011,0 år,390,2011,08825
Porsgrunn (-2019),Folkemengde,2011,1-5 år,1926,2011,08825
Porsgrunn (-2019),Folkemengde,2011,6-12 år,2908,2011,08825
Porsgrunn (-2019),Folkemengde,2011,13-15 år,1346,2011,08825
Porsgrunn (-2019),Folkemengde,2011,16-19 år,1837,2011,08825
Porsgrunn (-2019),Folkemengde,2011,20-66 år,21582,2011,08825
Porsgrunn (-2019),Folkemengde,2011,67-79 år,3252,2011,08825
Porsgrunn (-2019),Folkemengde,2011,80-89 år,1513,2011,08825
Porsgrunn (-2019),Folkemengde,2011,90 år eller eldre,289,2011,08825
Porsgrunn (-2019),Folkemengde,2012,0 år,387,2011,08825
Porsgrunn (-2019),Folkemengde,2012,1-5 år,1944,2011,08825
Porsgrunn (-2019),Folkemengde,2012,6-12 år,2949,2011,08825
Porsgrunn (-2019),Folkemengde,2012,13-15 år,1346,2011,08825
Porsgrunn (-2019),Folkemengde,2012,16-19 år,1798,2011,08825
Porsgrunn (-2019),Folkemengde,2012,20-66 år,21836,2011,08825
Porsgrunn (-2019),Folkemengde,2012,67-79 år,3392,2011,08825
Porsgrunn (-2019),Folkemengde,2012,80-89 år,1459,2011,08825
Porsgrunn (-2019),Folkemengde,2012,90 år eller eldre,315,2011,08825
Porsgrunn (-2019),Folkemengde,2013,0 år,391,2011,08825
Porsgrunn (-2019),Folkemengde,2013,1-5 år,1979,2011,08825
Porsgrunn (-2019),Folkemengde,2013,6-12 år,2930,2011,08825
Porsgrunn (-2019),Folkemengde,2013,13-15 år,1315,2011,08825
Porsgrunn (-2019),Folkemengde,2013,16-19 år,1802,2011,08825
Porsgrunn (-2019),Folkemengde,2013,20-66 år,22096,2011,08825
Porsgrunn (-2019),Folkemengde,2013,67-79 år,3529,2011,08825
Porsgrunn (-2019),Folkemengde,2013,80-89 år,1438,2011,08825
Porsgrunn (-2019),Folkemengde,2013,90 år eller eldre,327,2011,08825
Porsgrunn (-2019),Folkemengde,2014,0 år,397,2011,08825
Porsgrunn (-2019),Folkemengde,2014,1-5 år,2036,2011,08825
Porsgrunn (-2019),Folkemengde,2014,6-12 år,2888,2011,08825
Porsgrunn (-2019),Folkemengde,2014,13-15 år,1336,2011,08825
Porsgrunn (-2019),Folkemengde,2014,16-19 år,1837,2011,08825
Porsgrunn (-2019),Folkemengde,2014,20-66 år,22265,2011,08825
Porsgrunn (-2019),Folkemengde,2014,67-79 år,3711,2011,08825
Porsgrunn (-2019),Folkemengde,2014,80-89 år,1378,2011,08825
Porsgrunn (-2019),Folkemengde,2014,90 år eller eldre,352,2011,08825
Porsgrunn (-2019),Folkemengde,2015,0 år,403,2011,08825
Porsgrunn (-2019),Folkemengde,2015,1-5 år,2069,2011,08825
