region,statistikkvariabel,år,value,Framskriving,Tabell
Porsgrunn (-2019),Hovedalternativet (MMMM),2016,35955,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2017,36160,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2018,36392,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2019,36657,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2020,36887,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2021,37141,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2022,37392,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2023,37657,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2024,37925,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2025,38196,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2026,38469,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2027,38742,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2028,39009,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2029,39267,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2030,39530,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2031,39789,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2032,40031,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2033,40292,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2034,40507,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2035,40747,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2036,40964,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2037,41199,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2038,41429,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2039,41636,2016,11168
Porsgrunn (-2019),Hovedalternativet (MMMM),2040,41848,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2016,35955,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2017,36068,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2018,36193,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2019,36309,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2020,36439,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2021,36558,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2022,36695,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2023,36845,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2024,36985,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2025,37129,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2026,37275,2016,11168
Porsgrunn (-2019),Lav nasjonal vekst (LLML),2027,37414,2016,11168
