region,statistikkvariabel,år,alder,value,Framskriving,Tabell
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,0 år,308,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,1-5 år,1782,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,6-12 år,2842,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,13-15 år,1302,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,16-19 år,1774,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,20-44 år,11112,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,45-66 år,10931,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,67-79 år,4598,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,80-89 år,1372,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2020,90 år eller eldre,376,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,0 år,320,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,1-5 år,1750,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,6-12 år,2802,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,13-15 år,1284,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,16-19 år,1731,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,20-44 år,11120,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,45-66 år,10970,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,67-79 år,4717,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,80-89 år,1433,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2021,90 år eller eldre,368,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,0 år,317,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,1-5 år,1719,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,6-12 år,2780,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,13-15 år,1251,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,16-19 år,1723,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,20-44 år,11148,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,45-66 år,10997,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,67-79 år,4845,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,80-89 år,1460,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2022,90 år eller eldre,360,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,0 år,314,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,1-5 år,1680,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,6-12 år,2767,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,13-15 år,1262,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,16-19 år,1725,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,20-44 år,11157,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,45-66 år,10994,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,67-79 år,4913,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,80-89 år,1543,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2023,90 år eller eldre,360,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,0 år,316,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,1-5 år,1685,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,6-12 år,2658,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,13-15 år,1306,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,16-19 år,1725,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,20-44 år,11154,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,45-66 år,10996,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,67-79 år,4996,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,80-89 år,1644,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2024,90 år eller eldre,348,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,0 år,317,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,1-5 år,1676,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,6-12 år,2642,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,13-15 år,1283,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,16-19 år,1714,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,20-44 år,11162,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,45-66 år,10986,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,67-79 år,5047,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,80-89 år,1767,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2025,90 år eller eldre,347,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,0 år,321,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,1-5 år,1683,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,6-12 år,2600,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,13-15 år,1267,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,16-19 år,1707,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,20-44 år,11214,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,45-66 år,10963,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,67-79 år,5082,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,80-89 år,1864,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2026,90 år eller eldre,355,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,0 år,325,2020,12882
Porsgrunn (2020-2023),Hovedalternativet (MMMM),2027,1-5 år,1685,2020,12882
