region,statistikkvariabel,år,alder,value
Porsgrunn,Hovedalternativet (MMMM),2024,0 år,303
Porsgrunn,Hovedalternativet (MMMM),2024,1-5 år,1733
Porsgrunn,Hovedalternativet (MMMM),2024,6-12 år,2781
Porsgrunn,Hovedalternativet (MMMM),2024,13-15 år,1351
Porsgrunn,Hovedalternativet (MMMM),2024,16-19 år,1760
Porsgrunn,Hovedalternativet (MMMM),2024,20-44 år,11298
Porsgrunn,Hovedalternativet (MMMM),2024,45-66 år,11015
Porsgrunn,Hovedalternativet (MMMM),2024,67-79 år,5009
Porsgrunn,Hovedalternativet (MMMM),2024,80-89 år,1633
Porsgrunn,Hovedalternativet (MMMM),2024,90 år eller eldre,310
Porsgrunn,Hovedalternativet (MMMM),2025,0 år,319
Porsgrunn,Hovedalternativet (MMMM),2025,1-5 år,1712
Porsgrunn,Hovedalternativet (MMMM),2025,6-12 år,2786
Porsgrunn,Hovedalternativet (MMMM),2025,13-15 år,1333
Porsgrunn,Hovedalternativet (MMMM),2025,16-19 år,1763
Porsgrunn,Hovedalternativet (MMMM),2025,20-44 år,11415
Porsgrunn,Hovedalternativet (MMMM),2025,45-66 år,11027
Porsgrunn,Hovedalternativet (MMMM),2025,67-79 år,5052
Porsgrunn,Hovedalternativet (MMMM),2025,80-89 år,1762
Porsgrunn,Hovedalternativet (MMMM),2025,90 år eller eldre,300
Porsgrunn,Hovedalternativet (MMMM),2026,0 år,327
Porsgrunn,Hovedalternativet (MMMM),2026,1-5 år,1707
Porsgrunn,Hovedalternativet (MMMM),2026,6-12 år,2761
Porsgrunn,Hovedalternativet (MMMM),2026,13-15 år,1337
Porsgrunn,Hovedalternativet (MMMM),2026,16-19 år,1729
Porsgrunn,Hovedalternativet (MMMM),2026,20-44 år,11534
Porsgrunn,Hovedalternativet (MMMM),2026,45-66 år,11029
Porsgrunn,Hovedalternativet (MMMM),2026,67-79 år,5086
Porsgrunn,Hovedalternativet (MMMM),2026,80-89 år,1858
Porsgrunn,Hovedalternativet (MMMM),2026,90 år eller eldre,312
Porsgrunn,Hovedalternativet (MMMM),2027,0 år,332
Porsgrunn,Hovedalternativet (MMMM),2027,1-5 år,1727
Porsgrunn,Hovedalternativet (MMMM),2027,6-12 år,2719
Porsgrunn,Hovedalternativet (MMMM),2027,13-15 år,1263
Porsgrunn,Hovedalternativet (MMMM),2027,16-19 år,1789
Porsgrunn,Hovedalternativet (MMMM),2027,20-44 år,11534
Porsgrunn,Hovedalternativet (MMMM),2027,45-66 år,11068
Porsgrunn,Hovedalternativet (MMMM),2027,67-79 år,5113
Porsgrunn,Hovedalternativet (MMMM),2027,80-89 år,1955
Porsgrunn,Hovedalternativet (MMMM),2027,90 år eller eldre,328
Porsgrunn,Hovedalternativet (MMMM),2028,0 år,336
Porsgrunn,Hovedalternativet (MMMM),2028,1-5 år,1732
Porsgrunn,Hovedalternativet (MMMM),2028,6-12 år,2685
Porsgrunn,Hovedalternativet (MMMM),2028,13-15 år,1269
Porsgrunn,Hovedalternativet (MMMM),2028,16-19 år,1784
Porsgrunn,Hovedalternativet (MMMM),2028,20-44 år,11542
Porsgrunn,Hovedalternativet (MMMM),2028,45-66 år,11090
Porsgrunn,Hovedalternativet (MMMM),2028,67-79 år,5134
Porsgrunn,Hovedalternativet (MMMM),2028,80-89 år,2062
Porsgrunn,Hovedalternativet (MMMM),2028,90 år eller eldre,343
Porsgrunn,Hovedalternativet (MMMM),2029,0 år,338
Porsgrunn,Hovedalternativet (MMMM),2029,1-5 år,1740
Porsgrunn,Hovedalternativet (MMMM),2029,6-12 år,2664
Porsgrunn,Hovedalternativet (MMMM),2029,13-15 år,1257
Porsgrunn,Hovedalternativet (MMMM),2029,16-19 år,1775
Porsgrunn,Hovedalternativet (MMMM),2029,20-44 år,11591
Porsgrunn,Hovedalternativet (MMMM),2029,45-66 år,11094
Porsgrunn,Hovedalternativet (MMMM),2029,67-79 år,5163
Porsgrunn,Hovedalternativet (MMMM),2029,80-89 år,2145
Porsgrunn,Hovedalternativet (MMMM),2029,90 år eller eldre,359
Porsgrunn,Hovedalternativet (MMMM),2030,0 år,339
Porsgrunn,Hovedalternativet (MMMM),2030,1-5 år,1763
Porsgrunn,Hovedalternativet (MMMM),2030,6-12 år,2612
Porsgrunn,Hovedalternativet (MMMM),2030,13-15 år,1269
Porsgrunn,Hovedalternativet (MMMM),2030,16-19 år,1764
Porsgrunn,Hovedalternativet (MMMM),2030,20-44 år,11631
Porsgrunn,Hovedalternativet (MMMM),2030,45-66 år,11125
Porsgrunn,Hovedalternativet (MMMM),2030,67-79 år,5190
Porsgrunn,Hovedalternativet (MMMM),2030,80-89 år,2209
Porsgrunn,Hovedalternativet (MMMM),2030,90 år eller eldre,371
Porsgrunn,Hovedalternativet (MMMM),2031,0 år,340
Porsgrunn,Hovedalternativet (MMMM),2031,1-5 år,1781
Porsgrunn,Hovedalternativet (MMMM),2031,6-12 år,2614
Porsgrunn,Hovedalternativet (MMMM),2031,13-15 år,1229
Porsgrunn,Hovedalternativet (MMMM),2031,16-19 år,1717
Porsgrunn,Hovedalternativet (MMMM),2031,20-44 år,11700
Porsgrunn,Hovedalternativet (MMMM),2031,45-66 år,11104
Porsgrunn,Hovedalternativet (MMMM),2031,67-79 år,5260
Porsgrunn,Hovedalternativet (MMMM),2031,80-89 år,2278
Porsgrunn,Hovedalternativet (MMMM),2031,90 år eller eldre,392
Porsgrunn,Hovedalternativet (MMMM),2032,0 år,342
Porsgrunn,Hovedalternativet (MMMM),2032,1-5 år,1791
Porsgrunn,Hovedalternativet (MMMM),2032,6-12 år,2600
Porsgrunn,Hovedalternativet (MMMM),2032,13-15 år,1222
Porsgrunn,Hovedalternativet (MMMM),2032,16-19 år,1711
Porsgrunn,Hovedalternativet (MMMM),2032,20-44 år,11698
Porsgrunn,Hovedalternativet (MMMM),2032,45-66 år,11087
Porsgrunn,Hovedalternativet (MMMM),2032,67-79 år,5342
Porsgrunn,Hovedalternativet (MMMM),2032,80-89 år,2361
Porsgrunn,Hovedalternativet (MMMM),2032,90 år eller eldre,397
Porsgrunn,Hovedalternativet (MMMM),2033,0 år,343
Porsgrunn,Hovedalternativet (MMMM),2033,1-5 år,1803
Porsgrunn,Hovedalternativet (MMMM),2033,6-12 år,2599
