Fra;Til;Antall personer;År
Oslo;Telemark;963;2021
Innlandet;Telemark;218;2021
Agder;Telemark;488;2021
Vestland;Telemark;262;2021
Trøndelag;Telemark;168;2021
Rogaland;Telemark;195;2021
Møre og Romsdal;Telemark;79;2021
Nordland;Telemark;129;2021
Akershus;Telemark;366;2021
Buskerud;Telemark;389;2021
Vestfold;Telemark;615;2021
Finnmark;Telemark;41;2021
Troms;Telemark;111;2021
Østfold;Telemark;184;2021
Telemark;Oslo;1064;2021
Telemark;Innlandet;159;2021
Telemark;Agder;537;2021
Telemark;Vestland;263;2021
Telemark;Trøndelag;224;2021
Telemark;Rogaland;214;2021
Telemark;Møre og Romsdal;84;2021
Telemark;Nordland;95;2021
Telemark;Akershus;315;2021
Telemark;Buskerud;375;2021
Telemark;Vestfold;644;2021
Telemark;Finnmark;33;2021
Telemark;Troms;62;2021
Telemark;Østfold;190;2021
