Fra kommune,År,Til kommune,Antall
Porsgrunn,2025,Porsgrunn,0
Porsgrunn,2025,Skien,596
Porsgrunn,2025,Notodden,11
Porsgrunn,2025,Siljan,10
Porsgrunn,2025,Bamble,198
Porsgrunn,2025,Kragerø,30
Porsgrunn,2025,Drangedal,12
Porsgrunn,2025,Nome,26
Porsgrunn,2025,Midt-Telemark,8
Porsgrunn,2025,Seljord,0
Porsgrunn,2025,Hjartdal,3
Porsgrunn,2025,Tinn,6
Porsgrunn,2025,Kviteseid,11
Porsgrunn,2025,Nissedal,6
Porsgrunn,2025,Fyresdal,5
Porsgrunn,2025,Tokke,2
Porsgrunn,2025,Vinje,2
Skien,2025,Porsgrunn,636
Skien,2025,Skien,0
Skien,2025,Notodden,21
Skien,2025,Siljan,50
Skien,2025,Bamble,90
Skien,2025,Kragerø,24
Skien,2025,Drangedal,33
Skien,2025,Nome,39
Skien,2025,Midt-Telemark,51
Skien,2025,Seljord,4
Skien,2025,Hjartdal,4
Skien,2025,Tinn,8
Skien,2025,Kviteseid,4
Skien,2025,Nissedal,4
Skien,2025,Fyresdal,15
Skien,2025,Tokke,3
Skien,2025,Vinje,13
Notodden,2025,Porsgrunn,13
Notodden,2025,Skien,24
Notodden,2025,Notodden,0
Notodden,2025,Siljan,0
Notodden,2025,Bamble,3
Notodden,2025,Kragerø,0
Notodden,2025,Drangedal,0
Notodden,2025,Nome,4
Notodden,2025,Midt-Telemark,49
Notodden,2025,Seljord,8
Notodden,2025,Hjartdal,27
Notodden,2025,Tinn,30
Notodden,2025,Kviteseid,0
Notodden,2025,Nissedal,0
Notodden,2025,Fyresdal,0
Notodden,2025,Tokke,0
Notodden,2025,Vinje,1
Siljan,2025,Porsgrunn,21
Siljan,2025,Skien,68
Siljan,2025,Notodden,0
Siljan,2025,Siljan,0
Siljan,2025,Bamble,4
Siljan,2025,Kragerø,0
Siljan,2025,Drangedal,0
Siljan,2025,Nome,0
Siljan,2025,Midt-Telemark,2
Siljan,2025,Seljord,0
Siljan,2025,Hjartdal,0
Siljan,2025,Tinn,0
Siljan,2025,Kviteseid,0
Siljan,2025,Nissedal,0
Siljan,2025,Fyresdal,0
Siljan,2025,Tokke,0
Siljan,2025,Vinje,0
Bamble,2025,Porsgrunn,210
Bamble,2025,Skien,118
Bamble,2025,Notodden,0
Bamble,2025,Siljan,0
Bamble,2025,Bamble,0
Bamble,2025,Kragerø,17
Bamble,2025,Drangedal,1
Bamble,2025,Nome,4
Bamble,2025,Midt-Telemark,5
Bamble,2025,Seljord,2
Bamble,2025,Hjartdal,0
Bamble,2025,Tinn,0
Bamble,2025,Kviteseid,2
Bamble,2025,Nissedal,0
Bamble,2025,Fyresdal,0
Bamble,2025,Tokke,0
Bamble,2025,Vinje,0
Kragerø,2025,Porsgrunn,25
Kragerø,2025,Skien,31
Kragerø,2025,Notodden,2
Kragerø,2025,Siljan,2
Kragerø,2025,Bamble,17
Kragerø,2025,Kragerø,0
Kragerø,2025,Drangedal,22
Kragerø,2025,Nome,3
Kragerø,2025,Midt-Telemark,0
Kragerø,2025,Seljord,0
Kragerø,2025,Hjartdal,0
Kragerø,2025,Tinn,3
Kragerø,2025,Kviteseid,0
Kragerø,2025,Nissedal,0
Kragerø,2025,Fyresdal,0
Kragerø,2025,Tokke,0
Kragerø,2025,Vinje,0
Drangedal,2025,Porsgrunn,14
Drangedal,2025,Skien,29
Drangedal,2025,Notodden,0
Drangedal,2025,Siljan,0
Drangedal,2025,Bamble,2
Drangedal,2025,Kragerø,20
Drangedal,2025,Drangedal,0
Drangedal,2025,Nome,3
Drangedal,2025,Midt-Telemark,8
Drangedal,2025,Seljord,1
Drangedal,2025,Hjartdal,0
Drangedal,2025,Tinn,2
Drangedal,2025,Kviteseid,3
Drangedal,2025,Nissedal,3
Drangedal,2025,Fyresdal,0
Drangedal,2025,Tokke,0
Drangedal,2025,Vinje,0
Nome,2025,Porsgrunn,19
Nome,2025,Skien,66
Nome,2025,Notodden,12
