Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
3101,Halden,4001,Porsgrunn,2025-01-01,6
3101,Halden,4003,Skien,2025-01-01,14
3101,Halden,4016,Drangedal,2025-01-01,2
3101,Halden,4020,Midt-Telemark,2025-01-01,3
3103,Moss,4001,Porsgrunn,2025-01-01,4
3103,Moss,4003,Skien,2025-01-01,12
3103,Moss,4005,Notodden,2025-01-01,5
3103,Moss,4010,Siljan,2025-01-01,1
3103,Moss,4012,Bamble,2025-01-01,1
3103,Moss,4014,Kragerø,2025-01-01,2
3103,Moss,4018,Nome,2025-01-01,2
3103,Moss,4022,Seljord,2025-01-01,7
3103,Moss,4026,Tinn,2025-01-01,5
3103,Moss,4028,Kviteseid,2025-01-01,1
3103,Moss,4030,Nissedal,2025-01-01,2
3103,Moss,4034,Tokke,2025-01-01,1
3105,Sarpsborg,4001,Porsgrunn,2025-01-01,3
3105,Sarpsborg,4003,Skien,2025-01-01,4
3105,Sarpsborg,4005,Notodden,2025-01-01,3
3105,Sarpsborg,4012,Bamble,2025-01-01,1
3105,Sarpsborg,4018,Nome,2025-01-01,1
3105,Sarpsborg,4020,Midt-Telemark,2025-01-01,5
3105,Sarpsborg,4022,Seljord,2025-01-01,2
3105,Sarpsborg,4024,Hjartdal,2025-01-01,1
3105,Sarpsborg,4026,Tinn,2025-01-01,1
3105,Sarpsborg,4030,Nissedal,2025-01-01,4
3107,Fredrikstad,4001,Porsgrunn,2025-01-01,14
3107,Fredrikstad,4003,Skien,2025-01-01,16
3107,Fredrikstad,4005,Notodden,2025-01-01,3
3107,Fredrikstad,4012,Bamble,2025-01-01,1
3107,Fredrikstad,4018,Nome,2025-01-01,1
3107,Fredrikstad,4020,Midt-Telemark,2025-01-01,4
3107,Fredrikstad,4028,Kviteseid,2025-01-01,3
3107,Fredrikstad,4032,Fyresdal,2025-01-01,1
3107,Fredrikstad,4036,Vinje,2025-01-01,2
3112,Råde,4001,Porsgrunn,2025-01-01,1
3112,Råde,4003,Skien,2025-01-01,4
3112,Råde,4012,Bamble,2025-01-01,1
3112,Råde,4016,Drangedal,2025-01-01,2
3112,Råde,4018,Nome,2025-01-01,2
3112,Råde,4020,Midt-Telemark,2025-01-01,2
3112,Råde,4028,Kviteseid,2025-01-01,6
3114,Våler (Østfold),4003,Skien,2025-01-01,2
3114,Våler (Østfold),4024,Hjartdal,2025-01-01,2
3116,Skiptvet,4001,Porsgrunn,2025-01-01,2
3118,Indre Østfold,4001,Porsgrunn,2025-01-01,4
3118,Indre Østfold,4003,Skien,2025-01-01,12
3118,Indre Østfold,4005,Notodden,2025-01-01,1
3118,Indre Østfold,4012,Bamble,2025-01-01,4
3118,Indre Østfold,4014,Kragerø,2025-01-01,3
3118,Indre Østfold,4020,Midt-Telemark,2025-01-01,1
3118,Indre Østfold,4026,Tinn,2025-01-01,6
3118,Indre Østfold,4036,Vinje,2025-01-01,2
3120,Rakkestad,4001,Porsgrunn,2025-01-01,2
3120,Rakkestad,4003,Skien,2025-01-01,1
3120,Rakkestad,4012,Bamble,2025-01-01,2
3120,Rakkestad,4016,Drangedal,2025-01-01,2
3122,Marker,4003,Skien,2025-01-01,1
3122,Marker,4014,Kragerø,2025-01-01,1
3201,Bærum,4001,Porsgrunn,2025-01-01,18
3201,Bærum,4003,Skien,2025-01-01,15
3201,Bærum,4005,Notodden,2025-01-01,7
3201,Bærum,4012,Bamble,2025-01-01,12
3201,Bærum,4014,Kragerø,2025-01-01,7
3201,Bærum,4018,Nome,2025-01-01,6
3201,Bærum,4020,Midt-Telemark,2025-01-01,12
3201,Bærum,4022,Seljord,2025-01-01,2
3201,Bærum,4026,Tinn,2025-01-01,5
3201,Bærum,4036,Vinje,2025-01-01,4
3203,Asker,4001,Porsgrunn,2025-01-01,18
3203,Asker,4003,Skien,2025-01-01,19
3203,Asker,4005,Notodden,2025-01-01,13
3203,Asker,4012,Bamble,2025-01-01,2
3203,Asker,4014,Kragerø,2025-01-01,9
3203,Asker,4016,Drangedal,2025-01-01,3
3203,Asker,4018,Nome,2025-01-01,5
3203,Asker,4020,Midt-Telemark,2025-01-01,10
3203,Asker,4028,Kviteseid,2025-01-01,6
3203,Asker,4030,Nissedal,2025-01-01,1
3205,Lillestrøm,4001,Porsgrunn,2025-01-01,16
3205,Lillestrøm,4003,Skien,2025-01-01,13
3205,Lillestrøm,4005,Notodden,2025-01-01,6
3205,Lillestrøm,4010,Siljan,2025-01-01,2
3205,Lillestrøm,4012,Bamble,2025-01-01,4
3205,Lillestrøm,4018,Nome,2025-01-01,1
3205,Lillestrøm,4026,Tinn,2025-01-01,2
3205,Lillestrøm,4028,Kviteseid,2025-01-01,2
3205,Lillestrøm,4036,Vinje,2025-01-01,1
3207,Nordre Follo,4001,Porsgrunn,2025-01-01,6
3207,Nordre Follo,4003,Skien,2025-01-01,19
3207,Nordre Follo,4012,Bamble,2025-01-01,4
3207,Nordre Follo,4014,Kragerø,2025-01-01,6
3207,Nordre Follo,4018,Nome,2025-01-01,1
3207,Nordre Follo,4020,Midt-Telemark,2025-01-01,6
3207,Nordre Follo,4024,Hjartdal,2025-01-01,2
3207,Nordre Follo,4036,Vinje,2025-01-01,2
3209,Ullensaker,4001,Porsgrunn,2025-01-01,2
3209,Ullensaker,4003,Skien,2025-01-01,3
3209,Ullensaker,4005,Notodden,2025-01-01,3
3209,Ullensaker,4014,Kragerø,2025-01-01,2
3209,Ullensaker,4026,Tinn,2025-01-01,1
3209,Ullensaker,4028,Kviteseid,2025-01-01,2
3212,Nesodden,4001,Porsgrunn,2025-01-01,2
3212,Nesodden,4003,Skien,2025-01-01,1
3212,Nesodden,4005,Notodden,2025-01-01,3
3212,Nesodden,4016,Drangedal,2025-01-01,1
3212,Nesodden,4020,Midt-Telemark,2025-01-01,3
