2022;Estimert mangel på arbeidskraft 2021;Sysselsatte 4. kvartal 2020;Stramhetsindikator næring;;;;2023;Stramhetsindikator næring CIRCA basert på fjorårets sysselsettingstall!
Jordbruk, skogbruk og fiske;50;3352;1,5;;;Jordbruk, skogbruk og fiske;50;1,5
Bergverksdrift og utvinning;0;633;0;;;Bergverksdrift og utvinning;50;7,9
Industrien;250;18771;1,3;;;Industrien;300;1,6
Elektrisitet, vann og renovasjon;0;2616;0;;;Elektrisitet, vann og renovasjon;0;0,0
Bygge- og anleggsvirksomhet;900;18216;4,9;;;Bygge- og anleggsvirksomhet;450;2,5
Varehandel, motorvognreparasjoner;400;25988;1,5;;;Varehandel, motorvognreparasjoner;550;2,1
Transport og lagring;100;7756;1,3;;;Transport og lagring;150;1,9
Overnattings- og serveringsvirksomhet;200;5079;3,9;;;Overnattings- og serveringsvirksomhet;250;4,9
Informasjon og kommunikasjon;150;4132;3,6;;;Informasjon og kommunikasjon;100;2,4
Finansierings- og forsikringsvirksomhet;0;1319;0;;;Finansierings- og forsikringsvirksomhet;0;0,0
Eiendomsdrift, forretningsmessig og faglig tjenesteyting;400;17699;2,3;;;Eiendomsdrift, forretningsmessig og faglig tjenesteyting;300;1,7
Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning;50;10880;0,5;;;Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning;50;0,5
Undervisning;50;15324;0,3;;;Undervisning;100;0,7
Helse- og sosialtjeneste;800;43183;1,9;;;Helse- og sosialtjeneste;1 050;2,4
Personlig tjenesteyting;50;6406;0,8;;;Personlig tjenesteyting;100;1,6
;;;;;;I alt;;
