Kommune,Utdanningsnivå,Kjønn,Variabel,År,Verdi
Bamble,Fagskolenivå,Begge kjønn,Personer 16 år og over,2024,471.0
Bamble,Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2024,3.9
Bamble,Fagskolenivå,Kvinner,Personer 16 år og over,2024,164.0
Bamble,Fagskolenivå,Kvinner,Personer 16 år og over (prosent),2024,2.7
Bamble,Fagskolenivå,Menn,Personer 16 år og over,2024,307.0
Bamble,Fagskolenivå,Menn,Personer 16 år og over (prosent),2024,5.1
Bamble,Grunnskolenivå,Begge kjønn,Personer 16 år og over,2024,3267.0
Bamble,Grunnskolenivå,Begge kjønn,Personer 16 år og over (prosent),2024,27.2
Bamble,Grunnskolenivå,Kvinner,Personer 16 år og over,2024,1677.0
Bamble,Grunnskolenivå,Kvinner,Personer 16 år og over (prosent),2024,28.1
Bamble,Grunnskolenivå,Menn,Personer 16 år og over,2024,1590.0
Bamble,Grunnskolenivå,Menn,Personer 16 år og over (prosent),2024,26.4
Bamble,"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over,2024,2468.0
Bamble,"Universitets- og høgskolenivå, kort",Begge kjønn,Personer 16 år og over (prosent),2024,20.6
Bamble,"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over,2024,1548.0
Bamble,"Universitets- og høgskolenivå, kort",Kvinner,Personer 16 år og over (prosent),2024,25.9
Bamble,"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over,2024,920.0
Bamble,"Universitets- og høgskolenivå, kort",Menn,Personer 16 år og over (prosent),2024,15.3
Bamble,"Universitets- og høgskolenivå, lang",Begge kjønn,Personer 16 år og over,2024,701.0
Bamble,"Universitets- og høgskolenivå, lang",Begge kjønn,Personer 16 år og over (prosent),2024,5.8
Bamble,"Universitets- og høgskolenivå, lang",Kvinner,Personer 16 år og over,2024,326.0
Bamble,"Universitets- og høgskolenivå, lang",Kvinner,Personer 16 år og over (prosent),2024,5.5
Bamble,"Universitets- og høgskolenivå, lang",Menn,Personer 16 år og over,2024,375.0
Bamble,"Universitets- og høgskolenivå, lang",Menn,Personer 16 år og over (prosent),2024,6.2
Bamble,Uoppgitt eller ingen fullført utdanning,Begge kjønn,Personer 16 år og over,2024,63.0
Bamble,Uoppgitt eller ingen fullført utdanning,Begge kjønn,Personer 16 år og over (prosent),2024,nan
Bamble,Uoppgitt eller ingen fullført utdanning,Kvinner,Personer 16 år og over,2024,33.0
Bamble,Uoppgitt eller ingen fullført utdanning,Kvinner,Personer 16 år og over (prosent),2024,nan
Bamble,Uoppgitt eller ingen fullført utdanning,Menn,Personer 16 år og over,2024,30.0
Bamble,Uoppgitt eller ingen fullført utdanning,Menn,Personer 16 år og over (prosent),2024,nan
Bamble,Videregående skolenivå,Begge kjønn,Personer 16 år og over,2024,5083.0
Bamble,Videregående skolenivå,Begge kjønn,Personer 16 år og over (prosent),2024,42.4
Bamble,Videregående skolenivå,Kvinner,Personer 16 år og over,2024,2258.0
Bamble,Videregående skolenivå,Kvinner,Personer 16 år og over (prosent),2024,37.8
Bamble,Videregående skolenivå,Menn,Personer 16 år og over,2024,2825.0
Bamble,Videregående skolenivå,Menn,Personer 16 år og over (prosent),2024,47.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2004,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2005,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2006,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2007,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2008,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2009,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2010,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2011,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2012,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2013,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2014,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2015,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2016,342.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2017,360.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2018,373.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over,2019,385.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2004,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2005,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2006,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2007,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2008,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2009,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2010,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2011,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2012,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2013,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2014,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2015,0.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2016,3.0
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2017,3.1
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2018,3.2
Bamble (-2019),Fagskolenivå,Begge kjønn,Personer 16 år og over (prosent),2019,3.3
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2004,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2005,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2006,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2007,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2008,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2009,0.0
Bamble (-2019),Fagskolenivå,Kvinner,Personer 16 år og over,2010,0.0
