Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Fylker,Agder,Akademiske yrker,84.0,27.0
2025-06-01,Fylker,Agder,Barne- og ungdomsarbeid,298.0,74.0
2025-06-01,Fylker,Agder,Butikk- og salgsarbeid,582.0,322.0
2025-06-01,Fylker,Agder,Bygg og anlegg,451.0,90.0
2025-06-01,Fylker,Agder,"Helse, pleie og omsorg",387.0,393.0
2025-06-01,Fylker,Agder,Industriarbeid,534.0,92.0
2025-06-01,Fylker,Agder,Ingen yrkesbakgrunn eller uoppgitt,928.0,
2025-06-01,Fylker,Agder,Ingeniør- og ikt-fag,267.0,45.0
2025-06-01,Fylker,Agder,"Jordbruk, skogbruk og fiske",54.0,3.0
2025-06-01,Fylker,Agder,Kontorarbeid,317.0,48.0
2025-06-01,Fylker,Agder,Ledere,165.0,35.0
2025-06-01,Fylker,Agder,Meglere og konsulenter,134.0,26.0
2025-06-01,Fylker,Agder,Reiseliv og transport,438.0,116.0
2025-06-01,Fylker,Agder,Serviceyrker og annet arbeid,530.0,110.0
2025-06-01,Fylker,Agder,Undervisning,194.0,49.0
2025-06-01,Fylker,Akershus,Akademiske yrker,351.0,52.0
2025-06-01,Fylker,Akershus,Barne- og ungdomsarbeid,701.0,193.0
2025-06-01,Fylker,Akershus,Butikk- og salgsarbeid,1384.0,336.0
2025-06-01,Fylker,Akershus,Bygg og anlegg,1669.0,192.0
2025-06-01,Fylker,Akershus,"Helse, pleie og omsorg",847.0,669.0
2025-06-01,Fylker,Akershus,Industriarbeid,733.0,194.0
2025-06-01,Fylker,Akershus,Ingen yrkesbakgrunn eller uoppgitt,1682.0,
2025-06-01,Fylker,Akershus,Ingeniør- og ikt-fag,877.0,144.0
2025-06-01,Fylker,Akershus,"Jordbruk, skogbruk og fiske",83.0,15.0
2025-06-01,Fylker,Akershus,Kontorarbeid,1376.0,183.0
2025-06-01,Fylker,Akershus,Ledere,804.0,95.0
2025-06-01,Fylker,Akershus,Meglere og konsulenter,526.0,109.0
2025-06-01,Fylker,Akershus,Reiseliv og transport,1189.0,347.0
2025-06-01,Fylker,Akershus,Serviceyrker og annet arbeid,1472.0,330.0
2025-06-01,Fylker,Akershus,Undervisning,404.0,269.0
2025-06-01,Fylker,Buskerud,Akademiske yrker,78.0,51.0
2025-06-01,Fylker,Buskerud,Barne- og ungdomsarbeid,274.0,101.0
2025-06-01,Fylker,Buskerud,Butikk- og salgsarbeid,520.0,126.0
2025-06-01,Fylker,Buskerud,Bygg og anlegg,712.0,77.0
2025-06-01,Fylker,Buskerud,"Helse, pleie og omsorg",358.0,332.0
2025-06-01,Fylker,Buskerud,Industriarbeid,470.0,142.0
2025-06-01,Fylker,Buskerud,Ingen yrkesbakgrunn eller uoppgitt,589.0,1.0
2025-06-01,Fylker,Buskerud,Ingeniør- og ikt-fag,220.0,85.0
