Nivå,Geografisk enhet,Kjønn,Alder,Antall personer,Andel av befolkningen,Dato
Landet,Landet,Kvinner,18 - 29 år,19337,5.16,2011-01-01
Landet,Landet,Begge kjønn,18 - 29 år,39085,5.11,2011-01-01
Landet,Landet,Menn,18 - 29 år,19748,5.07,2011-01-01
Landet,Landet,Menn,18 - 29 år,19870,5.09,2011-02-01
Landet,Landet,Kvinner,18 - 29 år,19473,5.19,2011-02-01
Landet,Landet,Begge kjønn,18 - 29 år,39343,5.14,2011-02-01
Landet,Landet,Menn,18 - 29 år,19970,5.11,2011-03-01
Landet,Landet,Kvinner,18 - 29 år,19601,5.21,2011-03-01
Landet,Landet,Begge kjønn,18 - 29 år,39571,5.16,2011-03-01
Landet,Landet,Menn,18 - 29 år,20035,5.12,2011-04-01
Landet,Landet,Begge kjønn,18 - 29 år,39695,5.17,2011-04-01
Landet,Landet,Kvinner,18 - 29 år,19660,5.22,2011-04-01
Landet,Landet,Kvinner,18 - 29 år,19716,5.22,2011-05-01
Landet,Landet,Menn,18 - 29 år,20072,5.12,2011-05-01
Landet,Landet,Begge kjønn,18 - 29 år,39788,5.17,2011-05-01
Landet,Landet,Kvinner,18 - 29 år,19729,5.21,2011-06-01
Landet,Landet,Menn,18 - 29 år,20018,5.08,2011-06-01
Landet,Landet,Begge kjønn,18 - 29 år,39747,5.14,2011-06-01
Landet,Landet,Begge kjønn,18 - 29 år,39599,5.12,2011-07-01
Landet,Landet,Kvinner,18 - 29 år,19690,5.2,2011-07-01
Landet,Landet,Menn,18 - 29 år,19909,5.04,2011-07-01
Landet,Landet,Menn,18 - 29 år,19643,4.96,2011-08-01
Landet,Landet,Kvinner,18 - 29 år,19502,5.13,2011-08-01
Landet,Landet,Begge kjønn,18 - 29 år,39145,5.04,2011-08-01
Landet,Landet,Begge kjønn,18 - 29 år,39129,5.02,2011-09-01
Landet,Landet,Kvinner,18 - 29 år,19480,5.11,2011-09-01
Landet,Landet,Menn,18 - 29 år,19649,4.94,2011-09-01
Landet,Landet,Menn,18 - 29 år,19705,4.94,2011-10-01
Landet,Landet,Begge kjønn,18 - 29 år,39290,5.03,2011-10-01
Landet,Landet,Kvinner,18 - 29 år,19585,5.12,2011-10-01
Landet,Landet,Menn,18 - 29 år,19745,4.94,2011-11-01
Landet,Landet,Begge kjønn,18 - 29 år,39468,5.04,2011-11-01
Landet,Landet,Kvinner,18 - 29 år,19723,5.14,2011-11-01
Landet,Landet,Kvinner,18 - 29 år,19786,5.17,2011-12-01
Landet,Landet,Menn,18 - 29 år,19766,4.94,2011-12-01
Landet,Landet,Begge kjønn,18 - 29 år,39552,5.05,2011-12-01
Landet,Landet,Begge kjønn,18 - 29 år,39558,5.04,2012-01-01
Landet,Landet,Kvinner,18 - 29 år,19825,5.17,2012-01-01
Landet,Landet,Menn,18 - 29 år,19733,4.92,2012-01-01
Landet,Landet,Menn,18 - 29 år,19732,4.92,2012-02-01
Landet,Landet,Kvinner,18 - 29 år,19845,5.18,2012-02-01
Landet,Landet,Begge kjønn,18 - 29 år,39577,5.05,2012-02-01
Landet,Landet,Menn,18 - 29 år,19758,4.92,2012-03-01
Landet,Landet,Begge kjønn,18 - 29 år,39690,5.05,2012-03-01
Landet,Landet,Kvinner,18 - 29 år,19932,5.19,2012-03-01
Landet,Landet,Menn,18 - 29 år,19739,4.91,2012-04-01
Landet,Landet,Kvinner,18 - 29 år,19951,5.19,2012-04-01
Landet,Landet,Begge kjønn,18 - 29 år,39690,5.05,2012-04-01
Landet,Landet,Begge kjønn,18 - 29 år,39731,5.04,2012-05-01
Landet,Landet,Kvinner,18 - 29 år,19971,5.18,2012-05-01
Landet,Landet,Menn,18 - 29 år,19760,4.91,2012-05-01
Landet,Landet,Kvinner,18 - 29 år,20040,5.19,2012-06-01
Landet,Landet,Begge kjønn,18 - 29 år,39749,5.02,2012-06-01
Landet,Landet,Menn,18 - 29 år,19709,4.87,2012-06-01
Landet,Landet,Kvinner,18 - 29 år,19969,5.16,2012-07-01
Landet,Landet,Menn,18 - 29 år,19580,4.83,2012-07-01
Landet,Landet,Begge kjønn,18 - 29 år,39549,4.99,2012-07-01
Landet,Landet,Menn,18 - 29 år,19402,4.77,2012-08-01
Landet,Landet,Begge kjønn,18 - 29 år,39186,4.93,2012-08-01
Landet,Landet,Kvinner,18 - 29 år,19784,5.1,2012-08-01
Landet,Landet,Menn,18 - 29 år,19319,4.75,2012-09-01
Landet,Landet,Kvinner,18 - 29 år,19694,5.07,2012-09-01
Landet,Landet,Begge kjønn,18 - 29 år,39013,4.91,2012-09-01
Landet,Landet,Begge kjønn,18 - 29 år,39101,4.91,2012-10-01
Landet,Landet,Kvinner,18 - 29 år,19753,5.08,2012-10-01
Landet,Landet,Menn,18 - 29 år,19348,4.75,2012-10-01
Landet,Landet,Kvinner,18 - 29 år,19877,5.1,2012-11-01
Landet,Landet,Menn,18 - 29 år,19346,4.74,2012-11-01
Landet,Landet,Begge kjønn,18 - 29 år,39223,4.92,2012-11-01
Landet,Landet,Begge kjønn,18 - 29 år,39286,4.9,2012-12-01
Landet,Landet,Menn,18 - 29 år,19405,4.74,2012-12-01
Landet,Landet,Kvinner,18 - 29 år,19881,5.08,2012-12-01
Landet,Landet,Menn,18 - 29 år,19394,4.73,2013-01-01
Landet,Landet,Begge kjønn,18 - 29 år,39309,4.9,2013-01-01
Landet,Landet,Kvinner,18 - 29 år,19915,5.08,2013-01-01
Landet,Landet,Kvinner,18 - 29 år,19940,5.08,2013-02-01
Landet,Landet,Menn,18 - 29 år,19424,4.73,2013-02-01
Landet,Landet,Begge kjønn,18 - 29 år,39364,4.9,2013-02-01
Landet,Landet,Menn,18 - 29 år,19411,4.73,2013-03-01
Landet,Landet,Kvinner,18 - 29 år,20054,5.11,2013-03-01
Landet,Landet,Begge kjønn,18 - 29 år,39465,4.91,2013-03-01
Landet,Landet,Menn,18 - 29 år,19390,4.72,2013-04-01
Landet,Landet,Kvinner,18 - 29 år,20079,5.1,2013-04-01
Landet,Landet,Begge kjønn,18 - 29 år,39469,4.91,2013-04-01
Landet,Landet,Begge kjønn,18 - 29 år,39388,4.89,2013-05-01
Landet,Landet,Menn,18 - 29 år,19341,4.7,2013-05-01
Landet,Landet,Kvinner,18 - 29 år,20047,5.09,2013-05-01
Landet,Landet,Begge kjønn,18 - 29 år,39291,4.86,2013-06-01
Landet,Landet,Menn,18 - 29 år,19304,4.67,2013-06-01
Landet,Landet,Kvinner,18 - 29 år,19987,5.06,2013-06-01
Landet,Landet,Begge kjønn,18 - 29 år,39142,4.84,2013-07-01
Landet,Landet,Menn,18 - 29 år,19227,4.65,2013-07-01
Landet,Landet,Kvinner,18 - 29 år,19915,5.04,2013-07-01
Landet,Landet,Kvinner,18 - 29 år,19736,4.99,2013-08-01
Landet,Landet,Menn,18 - 29 år,19069,4.61,2013-08-01
Landet,Landet,Begge kjønn,18 - 29 år,38805,4.8,2013-08-01
Landet,Landet,Menn,18 - 29 år,18987,4.58,2013-09-01
Landet,Landet,Kvinner,18 - 29 år,19627,4.95,2013-09-01
Landet,Landet,Begge kjønn,18 - 29 år,38614,4.76,2013-09-01
Landet,Landet,Menn,18 - 29 år,19004,4.57,2013-10-01
Landet,Landet,Kvinner,18 - 29 år,19595,4.93,2013-10-01
Landet,Landet,Begge kjønn,18 - 29 år,38599,4.74,2013-10-01
Landet,Landet,Begge kjønn,18 - 29 år,38784,4.76,2013-11-01
Landet,Landet,Kvinner,18 - 29 år,19688,4.94,2013-11-01
Landet,Landet,Menn,18 - 29 år,19096,4.58,2013-11-01
Landet,Landet,Menn,18 - 29 år,19150,4.59,2013-12-01
Landet,Landet,Kvinner,18 - 29 år,19721,4.94,2013-12-01
Landet,Landet,Begge kjønn,18 - 29 år,38871,4.76,2013-12-01
Landet,Landet,Begge kjønn,18 - 29 år,38779,4.74,2014-01-01
Landet,Landet,Menn,18 - 29 år,19140,4.58,2014-01-01
Landet,Landet,Kvinner,18 - 29 år,19639,4.91,2014-01-01
Landet,Landet,Begge kjønn,18 - 29 år,38885,4.75,2014-02-01
Landet,Landet,Menn,18 - 29 år,19204,4.59,2014-02-01
Landet,Landet,Kvinner,18 - 29 år,19681,4.92,2014-02-01
Landet,Landet,Kvinner,18 - 29 år,19751,4.93,2014-03-01
Landet,Landet,Begge kjønn,18 - 29 år,39037,4.76,2014-03-01
Landet,Landet,Menn,18 - 29 år,19286,4.6,2014-03-01
Landet,Landet,Menn,18 - 29 år,19466,4.64,2014-04-01
Landet,Landet,Begge kjønn,18 - 29 år,39326,4.79,2014-04-01
Landet,Landet,Kvinner,18 - 29 år,19860,4.95,2014-04-01
Landet,Landet,Kvinner,18 - 29 år,20051,5.0,2014-05-01
Landet,Landet,Menn,18 - 29 år,19715,4.7,2014-05-01
Landet,Landet,Begge kjønn,18 - 29 år,39766,4.84,2014-05-01
Landet,Landet,Menn,18 - 29 år,19766,4.69,2014-06-01
Landet,Landet,Begge kjønn,18 - 29 år,39830,4.84,2014-06-01
Landet,Landet,Kvinner,18 - 29 år,20064,5.0,2014-06-01
Landet,Landet,Kvinner,18 - 29 år,20154,5.02,2014-07-01
Landet,Landet,Menn,18 - 29 år,19886,4.72,2014-07-01
Landet,Landet,Begge kjønn,18 - 29 år,40040,4.86,2014-07-01
Landet,Landet,Begge kjønn,18 - 29 år,39852,4.83,2014-08-01
Landet,Landet,Menn,18 - 29 år,19794,4.69,2014-08-01
Landet,Landet,Kvinner,18 - 29 år,20058,4.98,2014-08-01
Landet,Landet,Kvinner,18 - 29 år,20136,4.99,2014-09-01
Landet,Landet,Menn,18 - 29 år,19875,4.69,2014-09-01
Landet,Landet,Begge kjønn,18 - 29 år,40011,4.84,2014-09-01
Landet,Landet,Begge kjønn,18 - 29 år,40303,4.86,2014-10-01
Landet,Landet,Menn,18 - 29 år,20053,4.72,2014-10-01
Landet,Landet,Kvinner,18 - 29 år,20250,5.0,2014-10-01
Landet,Landet,Kvinner,18 - 29 år,20339,5.02,2014-11-01
Landet,Landet,Begge kjønn,18 - 29 år,40561,4.89,2014-11-01
Landet,Landet,Menn,18 - 29 år,20222,4.76,2014-11-01
Landet,Landet,Menn,18 - 29 år,20337,4.78,2014-12-01
Landet,Landet,Begge kjønn,18 - 29 år,40788,4.91,2014-12-01
Landet,Landet,Kvinner,18 - 29 år,20451,5.04,2014-12-01
