Region,Sysselsatte,Arbeidsledige,AFP/Alderspensjon,AAP/Uføretrygd,Utdanning,Arbeidsmarkedstiltak,Andre
Hele landet,61.4,1.1,18.1,7.6,6.0,1.0,4.8
Telemark,56.7,1.1,21.6,9.2,5.8,1.1,4.4
Vinje,63.0,0.9,20.7,5.3,4.5,1.0,4.6
Tokke,61.7,1.0,21.0,7.5,4.9,1.2,2.7
Siljan,60.8,0.6,24.1,7.6,4.5,0.5,1.9
Fyresdal,60.7,1.1,21.0,7.2,4.5,1.1,4.5
Hjartdal,59.3,0.7,20.8,7.5,5.3,2.5,3.8
Seljord,58.9,0.9,21.7,8.2,4.7,1.4,4.2
Kviteseid,58.2,0.7,22.5,8.6,4.3,1.2,4.5
Tinn,57.9,0.6,24.0,8.3,4.7,0.4,4.2
Nissedal,57.4,0.4,22.4,8.9,5.1,1.5,4.4
Porsgrunn,56.8,1.2,21.3,9.1,6.1,1.3,4.2
Skien,56.8,1.1,20.9,9.7,6.0,0.9,4.6
Notodden,56.6,1.0,21.1,10.2,5.5,1.2,4.5
Midt-Telemark,56.2,1.1,18.5,8.7,8.7,1.3,5.5
Bamble,55.6,1.1,24.0,9.5,5.0,1.0,3.8
Drangedal,55.3,0.7,22.2,10.1,6.2,1.0,4.5
Nome,54.9,1.1,21.8,9.8,5.4,1.5,5.4
Kragerø,52.7,1.1,25.8,9.7,5.5,0.9,4.4
