region,næring (SN2007),statistikkvariabel,år,value
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2016,70
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2017,76
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2018,72
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2019,71
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2020,71
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2021,66
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2022,79
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2023,68
Porsgrunn,"Jordbruk, skogbruk og fiske",Sysselsatte personer etter arbeidssted,2024,71
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2016,45
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2017,44
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2018,46
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2019,56
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2020,67
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2021,69
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2022,71
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2023,85
Porsgrunn,Bergverksdrift og utvinning,Sysselsatte personer etter arbeidssted,2024,106
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2016,2780
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2017,2700
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2018,2825
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2019,2749
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2020,2601
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2021,2587
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2022,2649
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2023,2900
Porsgrunn,Industri,Sysselsatte personer etter arbeidssted,2024,2934
Porsgrunn,"Elektrisitet, vann og renovasjon",Sysselsatte personer etter arbeidssted,2016,593
Porsgrunn,"Elektrisitet, vann og renovasjon",Sysselsatte personer etter arbeidssted,2017,592
Porsgrunn,"Elektrisitet, vann og renovasjon",Sysselsatte personer etter arbeidssted,2018,652
Porsgrunn,"Elektrisitet, vann og renovasjon",Sysselsatte personer etter arbeidssted,2019,713
Porsgrunn,"Elektrisitet, vann og renovasjon",Sysselsatte personer etter arbeidssted,2020,705
