Nace_1_nr,Nace_1_navn,Nace_2_nr,Nace_2_navn,Nace_3_nr,Nace_3_navn,Nace_4_nr,Nace_4_navn,Nace_5_nr,Nace_5_navn
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.1,Dyrking av ettårige vekster,01.11,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster"
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.1,Dyrking av ettårige vekster,01.12,Dyrking av ris,01.120,Dyrking av ris
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.1,Dyrking av ettårige vekster,01.13,"Dyrking av grønnsaker, meloner, rot- og knollvekster",01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster"
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.1,Dyrking av ettårige vekster,01.14,Dyrking av sukkerrør,01.140,Dyrking av sukkerrør
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.1,Dyrking av ettårige vekster,01.15,Dyrking av tobakk,01.150,Dyrking av tobakk
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.1,Dyrking av ettårige vekster,01.16,Dyrking av fibervekster,01.160,Dyrking av fibervekster
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.1,Dyrking av ettårige vekster,01.19,Dyrking av ettårige vekster ellers,01.190,Dyrking av ettårige vekster ellers
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.21,Dyrking av druer,01.210,Dyrking av druer
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.22,Dyrking av tropiske og subtropiske frukter,01.220,Dyrking av tropiske og subtropiske frukter
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.23,Dyrking av sitrusfrukter,01.230,Dyrking av sitrusfrukter
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.24,Dyrking av kjernefrukter og steinfrukter,01.240,Dyrking av kjernefrukter og steinfrukter
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.25,Dyrking av annen frukt som vokser på trær eller busker samt nøtter,01.250,Dyrking av annen frukt som vokser på trær eller busker samt nøtter
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.26,Dyrking av oljeholdige frukter,01.260,Dyrking av oljeholdige frukter
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.27,Dyrking av vekster for produksjon av drikkevarer,01.270,Dyrking av vekster for produksjon av drikkevarer
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.28,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster"
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.2,Dyrking av flerårige vekster,01.29,Dyrking av flerårige vekster ellers,01.290,Dyrking av flerårige vekster ellers
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.3,Planteformering,01.30,Planteformering,01.300,Planteformering
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.41,Melkeproduksjon på storfe og oppdrett av melkekyr,01.410,Melkeproduksjon på storfe
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.42,Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,Oppdrett av annet storfe
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.43,Hestehold,01.430,Oppdrett av hester og andre dyr av hestefamilien
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.44,Oppdrett av kameler og andre kameldyr,01.440,Oppdrett av kameler og andre kameldyr
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.45,Saue- og geitehold,01.451,Sauehold
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.45,Saue- og geitehold,01.452,Geitehold
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.46,Svinehold,01.460,Svinehold
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.47,Fjørfehold,01.471,Hold av verpehøner for konsumeggproduksjon
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.47,Fjørfehold,01.479,Annet fjørfehold
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.48,Husdyrhold ellers,01.481,Reindrift
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.48,Husdyrhold ellers,01.489,Husdyrhold ikke nevnt annet sted
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.4,Husdyrhold,01.49,Husdyrhold ellers,01.490,Husdyrhold ellers
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.5,Kombinert husdyrhold og planteproduksjon,01.50,Kombinert husdyrhold og planteproduksjon,01.500,Kombinert husdyrhold og planteproduksjon
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.6,Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.61,Tjenester tilknyttet planteproduksjon,01.610,Tjenester tilknyttet planteproduksjon
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.6,Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.62,Tjenester tilknyttet husdyrhold,01.620,Tjenester tilknyttet husdyrhold
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.6,Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.63,Etterbehandling av vekster etter innhøsting og behandling av såfrø,01.630,Etterbehandling av vekster etter innhøsting
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.6,Tjenester tilknyttet jordbruk og etterbehandling av vekster etter innhøsting,01.64,Behandling av såfrø,01.640,Behandling av såfrø
A,"Jordbruk, skogbruk og fiske",01,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",01.7,"Jakt, fangst, viltstell og tilknyttede tjenester",01.70,"Jakt, fangst, viltstell og tilknyttede tjenester",01.700,"Jakt, viltstell og tjenester tilknyttet jakt og viltstell"
A,"Jordbruk, skogbruk og fiske",02,Skogbruk og tjenester tilknyttet skogbruk,02.1,Skogskjøtsel og andre skogbruksaktiviteter,02.10,Skogskjøtsel og andre skogbruksaktiviteter,02.100,Skogskjøtsel og andre skogbruksaktiviteter
A,"Jordbruk, skogbruk og fiske",02,Skogbruk og tjenester tilknyttet skogbruk,02.2,Avvirkning,02.20,Avvirkning,02.200,Avvirkning
A,"Jordbruk, skogbruk og fiske",02,Skogbruk og tjenester tilknyttet skogbruk,02.3,Innsamling av viltvoksende produkter av annet enn tre,02.30,Innsamling av viltvoksende produkter av annet enn tre,02.300,Innsamling av viltvoksende produkter av annet enn tre
A,"Jordbruk, skogbruk og fiske",02,Skogbruk og tjenester tilknyttet skogbruk,02.4,Tjenester tilknyttet skogbruk,02.40,Tjenester tilknyttet skogbruk,02.400,Tjenester tilknyttet skogbruk
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.1,Fiske og fangst,03.11,Fiske og fangst i sjø,03.110,Fiske og fangst i sjø
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.1,Fiske og fangst,03.11,Fiske og fangst i sjø,03.111,Hav- og kystfiske
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.1,Fiske og fangst,03.11,Fiske og fangst i sjø,03.112,Hvalfangst
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.1,Fiske og fangst,03.12,Fiske og fangst i ferskvann,03.120,Fiske og fangst i ferskvann
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.2,Akvakultur,03.21,Akvakultur i sjø og brakkvann,03.211,"Produksjon av fisk, bløtdyr, krepsdyr og pigghuder i sjø og brakkvann"
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.2,Akvakultur,03.21,Akvakultur i sjø og brakkvann,03.212,Produksjon av yngel og settefisk i hav- og kystbasert akvakultur
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.2,Akvakultur,03.21,Akvakultur i sjø og brakkvann,03.213,Tjenester tilknyttet hav- og kystbasert akvakultur
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.2,Akvakultur,03.22,Ferskvannsbasert akvakultur,03.221,"Produksjon av fisk, bløtdyr, krepsdyr og andre dyr som lever i ferskvann"
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.2,Akvakultur,03.22,Ferskvannsbasert akvakultur,03.222,Produksjon av yngel og settefisk i ferskvann
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.2,Akvakultur,03.22,Ferskvannsbasert akvakultur,03.223,Tjenester tilknyttet ferskvannsbasert akvakultur
A,"Jordbruk, skogbruk og fiske",03,"Fiske, fangst og akvakultur",03.3,"Tjenester tilknyttet fiske, fangst og akvakultur",03.30,"Tjenester tilknyttet fiske, fangst og akvakultur",03.300,"Tjenester tilknyttet fiske, fangst og akvakultur"
B,Bergverksdrift og utvinning,05,Bryting av steinkull og brunkull,05.1,Bryting av steinkull,05.10,Bryting av steinkull,05.100,Bryting av steinkull
B,Bergverksdrift og utvinning,05,Bryting av steinkull og brunkull,05.2,Bryting av brunkull,05.20,Bryting av brunkull,05.200,Bryting av brunkull
B,Bergverksdrift og utvinning,06,Utvinning av råolje og naturgass,06.1,Utvinning av råolje,06.10,Utvinning av råolje,06.100,Utvinning av råolje
B,Bergverksdrift og utvinning,06,Utvinning av råolje og naturgass,06.2,Utvinning av naturgass,06.20,Utvinning av naturgass,06.200,Utvinning av naturgass
B,Bergverksdrift og utvinning,07,Bryting av metallholdig malm,07.1,Bryting av jernmalm,07.10,Bryting av jernmalm,07.100,Bryting av jernmalm
B,Bergverksdrift og utvinning,07,Bryting av metallholdig malm,07.2,Bryting av ikke-jernholdig malm,07.21,Bryting av uran- og thoriummalm,07.210,Bryting av uran- og thoriummalm
B,Bergverksdrift og utvinning,07,Bryting av metallholdig malm,07.2,Bryting av ikke-jernholdig malm,07.29,Bryting av ikke-jernholdig malm ellers,07.290,Bryting av ikke-jernholdig malm ellers
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.1,"Bryting av stein, utvinning av sand og leire",08.11,"Bryting av stein til bygge- og anleggsvirksomhet, kalkstein, gips, kritt og skifer",08.110,"Bryting av dekorstein, kalkstein, gips, skifer og annen stein"
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.1,"Bryting av stein, utvinning av sand og leire",08.11,"Bryting av stein til bygge- og anleggsvirksomhet, kalkstein, gips, kritt og skifer",08.111,Bryting av stein til bygge- og anleggsvirksomhet
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.1,"Bryting av stein, utvinning av sand og leire",08.11,"Bryting av stein til bygge- og anleggsvirksomhet, kalkstein, gips, kritt og skifer",08.112,"Bryting av kalkstein, gips og kritt"
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.1,"Bryting av stein, utvinning av sand og leire",08.11,"Bryting av stein til bygge- og anleggsvirksomhet, kalkstein, gips, kritt og skifer",08.113,Bryting av skifer
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.1,"Bryting av stein, utvinning av sand og leire",08.12,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin",08.120,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin"
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.9,Annen bryting og utvinning,08.91,Bryting og utvinning av kjemiske mineraler og gjødselmineraler,08.910,Bryting og utvinning av kjemiske mineraler og gjødselsmineraler
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.9,Annen bryting og utvinning,08.92,Stikking av torv,08.920,Stikking av torv
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.9,Annen bryting og utvinning,08.93,Utvinning av salt,08.930,Utvinning av salt
B,Bergverksdrift og utvinning,08,Bryting og bergverksdrift ellers,08.9,Annen bryting og utvinning,08.99,Annen bryting og utvinning ikke nevnt annet sted,08.990,Annen bryting og utvinning ikke nevnt annet sted
B,Bergverksdrift og utvinning,09,Tjenester tilknyttet bergverksdrift og utvinning,09.1,Tjenester tilknyttet utvinning av råolje og naturgass,09.10,Tjenester tilknyttet utvinning av råolje og naturgass,09.101,Boretjenester tilknyttet utvinning av råolje og naturgass
