Organisasjonsnummer,Navn,Nivå enhetsregisteret,Antall ansatte Enhetsreg,firfirmaid,Bedriftsstatus,Organisasjonsform,firorgnrknytning,konsernopporgnr,Navn på overliggende enhet,Orgnr til toppenhet,Bedriftsnavn,Fylkesnavn,fylkesnavn,kommune_id,Kommunenummer,kommunenavn,Kommunenavn,Intervallkode antall ansatte,Omsetning i hele tusen,Driftsresultat i hele tusen,Dato for etablering,Sektorkode fra SSB,Privat eller offentlig,NACE-kategori (Første siffer),Nacetittel1,Bransjegruppe 1,NACE-kategori (To første siffer),NACE-kategori (Tre første siffer),NACE-kategori (Fire første siffer),NACE-kode (numerisk),Y (UTM33),X (UTM33),load_date,Lon,Lat,Kode,Org. nr._str,Employees,In Combined Clean
988996564,Bilfinger Norway AS,1,1241.0,13664085.0,1.0,Aksjeselskap,,932066351.0,Bilfinger Isp Offshore Norway AS,932066351.0,Bilfinger Norway AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,1000 eller mer,2258786.0,132766.0,2005-11-28,Private aksjeselskaper mv.,Privat sektor,3.0,Reparasjon og vedlikehold av maskiner,Industri,33.0,33.1,33.12,33.12,6565951.210000001,192711.59999999963,2025-12-05 03:21:50,"9,628776075916596","59,121448228088056",33120.0,988996564,1241.0,True
980518647,Eramet Norway AS,1,667.0,13159367.0,1.0,Aksjeselskap,,,,,Eramet Norway AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,500-749,7373145.0,368676.0,1999-02-05,Private aksjeselskaper mv.,Privat sektor,2.0,"Produksjon av jern og stål, samt ferrolegeringer",Industri,24.0,24.1,24.1,24.1,6566613.67,192481.25,2025-12-05 03:21:50,"9,623839662904862","59,1272049962971",24100.0,980518647,667.0,True
974241730,Nav Vestfold og Telemark,1,649.0,13463359.0,1.0,Organisasjonsledd,991012133.0,,,,NAV Vestfold og Telemark,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,500-749,0.0,0.0,1995-03-12,Stats- og trygdeforvaltningen,Privat sektor,8.0,Administrasjon av trygdeordninger underlagt offentlig forvaltning,"Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning",84.0,84.3,84.3,84.3,6575874.43,192346.3799999999,2025-12-05 03:21:50,"9,608440367355648","59,20990578202982",84300.0,974241730,649.0,True
979422679,Lede AS,1,429.0,13131154.0,1.0,Aksjeselskap,,980495302.0,Skagerak Energi AS,980495302.0,Lede AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,400-499,2150910.0,447768.0,1997-11-21,Statlig eide aksjeselskaper mv.,Privat sektor,3.0,Distribusjon av elektrisitet,"Forsyning av elektrisitet, gass, damp og kjøleluft",35.0,35.1,35.14,35.14,6568155.57,194509.34999999963,2025-12-05 03:21:50,"9,656963621261406","59,14245170059225",35140.0,979422679,429.0,True
983594506,Stena recycling AS,1,346.0,13271758.0,1.0,Aksjeselskap,,,,,Stena Recycling AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,300-399,2278751.0,85183.0,2001-06-20,Private aksjeselskaper mv.,Privat sektor,3.0,Materialgjenvinning,"Vannforsyning, avløps-, renovasjons- og oppryddingsvirksomhet",38.0,38.2,38.21,38.21,6567661.44,193004.0599999996,2025-12-05 03:21:50,"9,631463133035078","59,13695042552748",38210.0,983594506,346.0,True
912580202,Maskineriet AS,1,319.0,15323382.0,1.0,Aksjeselskap,,912580148.0,Maskineriet Holding AS,912580148.0,Maskineriet AS,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,300-399,146011.0,2232.0,2013-10-09,Private aksjeselskaper mv.,Privat sektor,8.0,Telefonvakttjenester og telefonsalg,Forretningsmessig tjenesteyting,82.0,82.2,82.2,82.2,6572193.18,192192.0700000003,2025-12-05 03:21:50,"9,610950353022814","59,176881220752925",82200.0,912580202,319.0,True
981240987,Tango drift AS,1,232.0,13451345.0,1.0,Aksjeselskap,,981090241.0,Frisørkjeden Tango Norge AS,927075113.0,Tango Drift AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,200-249,169059.0,18257.0,1999-10-05,Private aksjeselskaper mv.,Privat sektor,9.0,Frisering og barbering,Annen tjenesteyting,96.0,96.2,96.21,96.21,6567897.720000001,194278.8899999997,2025-12-05 03:21:50,"9,653313668625717","59,139980669560735",96210.0,981240987,232.0,True
981083032,Ulefos AS,1,226.0,13465300.0,1.0,Aksjeselskap,,990759529.0,Ulefos Holding AS,41188331.0,Ulefos AS,Telemark,Telemark,4018.0,4018.0,Nome,NOME,200-249,646091.0,5469.0,1999-09-10,Private aksjeselskaper mv.,Privat sektor,2.0,Støping av jern,Industri,24.0,24.5,24.51,24.51,6585676.48,173139.6200000001,2025-12-05 03:21:50,"9,258986293170437","59,28313837216842",24510.0,981083032,226.0,True
974761335,Forbrukertilsynet,1,143.0,13602934.0,1.0,Organisasjonsledd,972417793.0,,,,Forbrukertilsynet,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,125-149,0.0,0.0,1995-08-09,Stats- og trygdeforvaltningen,Privat sektor,8.0,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,"Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning",84.0,84.1,84.13,84.13,6567924.51,193379.58000000007,2025-12-05 03:21:50,"9,63762787530556","59,13957324882992",84130.0,974761335,143.0,True
964715378,Laugstol AS,1,131.0,13336866.0,1.0,Aksjeselskap,,999508049.0,Telemark Group AS,999508049.0,Laugstol AS,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,125-149,356915.0,15165.0,1992-06-19,Private aksjeselskaper mv.,Privat sektor,4.0,Elektrisk installasjonsarbeid,Bygge- og anleggsvirksomhet,43.0,43.2,43.21,43.21,6566076.18,196228.75999999972,2025-12-05 03:21:50,"9,689773355622147","59,125088929541334",43210.0,964715378,131.0,True
