Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Org. nr._str,Employees,In Combined Clean,Is Parent,Parent
Bilfinger Norway as avd Porsgrunn reparasjon,989075810,988996564.0,746.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,33.12,Reparasjon og vedlikehold av maskiner,,,,,BEDR,Porsgrunn,989075810,746.0,True,False,988996564
Yara Norge as avd hydrovegen Porsgrunn,974100169,984015666.0,556.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,20.15,Produksjon av gjødsel og nitrogenforbindelser,,,,,BEDR,Porsgrunn,974100169,556.0,True,False,984015666
Universitetet i sørøst-norge campus Porsgrunn,974798190,911770709.0,483.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,,,,,BEDR,Porsgrunn,974798190,483.0,True,False,911770709
Universitetet i sørøst-norge campus bø i Telemark,974798239,911770709.0,325.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,,,,,BEDR,Midt-Telemark,974798239,325.0,True,False,911770709
Grenland politihus og namsfogden i sør-øst,974730642,983998178.0,290.0,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,84.24,Aktiviteter utført av politi- og påtalemyndighet,,,,,BEDR,Skien,974730642,290.0,True,False,983998178
Lede as avd Porsgrunn,979611404,979422679.0,272.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,35.14,Distribusjon av elektrisitet,,,,,BEDR,Porsgrunn,979611404,272.0,True,False,979422679
Vy buss as avd Telemark,874305812,976948394.0,254.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,49.31,Passasjertransport med rutebil,,,,,BEDR,Skien,874305812,254.0,True,False,976948394
Eramet Norway as avd Porsgrunn,973095358,980518647.0,205.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,24.1,"Produksjon av jern og stål, samt ferrolegeringer",,,,,BEDR,Porsgrunn,973095358,205.0,True,False,980518647
Universitetet i sørøst-norge campus Notodden,974798220,911770709.0,203.0,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,,,,,BEDR,Notodden,974798220,203.0,True,False,911770709
Heidelberg materials sement Norge as sementfabrikk dalen,974305461,934949145.0,196.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,23.51,Produksjon av sement,,,,,BEDR,Porsgrunn,974305461,196.0,True,False,934949145
Equinor asa avd tne rd forskningssenter,984042442,923609016.0,172.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,,,,BEDR,Porsgrunn,984042442,172.0,True,False,923609016
Prima assistanse as avd Telemark,925512117,989748319.0,156.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,88.104,Brukerstyrt personlig assistanse (bpa),,,,,BEDR,Bamble,925512117,156.0,True,False,989748319
4service eir renhold as avd 461 vestfold/telemark,924953020,917719993.0,149.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,81.21,Rengjøring av bygninger,,,,,BEDR,Porsgrunn,924953020,149.0,True,False,917719993
Ulefos as avd ulefoss,972424978,981083032.0,144.0,Underenhet,,,,,Nome,Underenhet til næringsdrivende og offentlig forvaltning,24.51,Støping av jern,,,,,BEDR,Nome,972424978,144.0,True,False,981083032
Telemark fengsel Skien avdeling,974730138,911830868.0,144.0,Underenhet,,,,,Sandnes,Underenhet til næringsdrivende og offentlig forvaltning,84.23,Aktiviteter i rettsvesen og kriminalomsorg,,,,,BEDR,Skien,974730138,144.0,True,False,911830868
Maskineriet as avd Skien,995803941,912580202.0,139.0,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,82.2,Telefonvakttjenester og telefonsalg,,,,,BEDR,Skien,995803941,139.0,True,False,912580202
Statens vegvesen Skien kontorsted,974730359,971032081.0,133.0,Underenhet,,,,,Arendal,Underenhet til næringsdrivende og offentlig forvaltning,84.13,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,,BEDR,Skien,974730359,133.0,True,False,971032081
Skatteetaten Skien,974730707,974761076.0,130.0,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,84.11,Generell offentlig administrasjon,,,,,BEDR,Skien,974730707,130.0,True,False,974761076
Sykehuspartner avd Porsgrunn,995671190,914637651.0,126.0,Underenhet,,,,,Drammen,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,,,,,BEDR,Porsgrunn,995671190,126.0,True,False,914637651
