Level,Org. nr.,Navn,Parent Employees,Children Count,Children Sum,Difference,Matches,Pct_Difference,Sektorkode,Sektor,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
1 vs 3,921166389,Regnskapsservice AS,5.0,3,0.0,5.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,69.202,Regnskapsføring og bokføring,,,,
1 vs 3,984861826,Nome regnskap AS,5.0,1,0.0,5.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,69.202,Regnskapsføring og bokføring,,,,
1 vs 3,927947242,Godrive AS,5.0,1,0.0,5.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,46.64,Engroshandel med maskiner og utstyr ellers,,,,
1 vs 3,992811285,Balanzera AS,12.0,1,0.0,12.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,96.21,Frisering og barbering,,,,
1 vs 3,924523913,Telemark kompetanse AS,7.0,2,0.0,7.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,70.2,Bedriftsrådgivning og annen administrativ rådgivning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,
1 vs 3,990652643,Vestmar transport AS,8.0,1,0.0,8.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,49.41,Godstransport på vei,,,,
1 vs 3,926782274,Layerone AS,10.0,1,0.0,10.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,,,
1 vs 3,918488812,Avility AS,5.0,1,0.0,5.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,46.5,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr,,,,
1 vs 3,955996836,Vest-telemark kraftlag AS,5.0,2,0.0,5.0,False,100.0,1520.0,Kommunalt eide aksjeselskaper mv.,Aksjeselskap,35.15,Handel med elektrisitet,,,,
1 vs 3,925207950,Northern data nor AS,6.0,2,0.0,6.0,False,100.0,2100.0,Private aksjeselskaper mv.,Aksjeselskap,63.1,"Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester",,,,
