firfirmaid;stfstatusfirmaid;orfkode;firorgnr;firorgnrknytning;firfirmanavn1;firfirmanavn2;firpopnavn1;firpopnavn2;firgatenavn;firjuridisknavn;firgatenr;firgateoppgang;firgatepnr;gatepoststed;firpostboksadr;firpostboksnr;firpostboksnavn;firpostbokspnr;postbokspoststed;dmadresse;dmpostnr;dmpoststed;firtlfnr;firmobilnr;firfaxnr;firkommnr;firemail;firemailtype;firurl;firantansatt;firoms;firdriftres;koordinat_y;koordinat_x;koordinat_kvalitet;fyllandsdel;fylfylkenavn;knrkommnavn;bydbydelnr;bydbydelnavn;grunnkretsnr;grunnkretsnavn;konsernopporgnr;konsernoppnavn;konserntopporgnr;konserntoppnavn;etablertdato;selskapetsalder;tlklandkode;tlklandnavn;tlkverdensdelnr;tlkverdensdelnavn;nakkode1;naktittel1;nakkode2;naktittel2;nakkode3;naktittel3;nakkode4;naktittel4;nakkode5;naktittel5;nakkode6;naktittel6;nakkode7;naktittel7;nakkode8;naktittel8;nakkode9;naktittel9;nakkode10;naktittel10;kjedekode1;kjedetittel1;kjedekode2;kjedetittel2;kjedekode3;kjedetittel3;kjedekode4;kjedetittel4;kjedekode5;kjedetittel5;kjedekode6;kjedetittel6;kjedekode7;kjedetittel7;kjedekode8;kjedetittel8;kjedekode9;kjedetittel9;kjedekode10;kjedetittel10;firregtype;ansatt_kd;sektorkode;status_po;oms_kd;revi_orgnr;revi_navn;revi_rolle;revi_adresse;revi_postnr;revi_poststed;revi_land;crc;load_date;nakkategori2;nakkategori1;nakkategori3;nakkategori4;nakkategori5;firgateadresse;dl_navn;id_matrikkelen;regnskapsaar;adresseid;geo_x;geo_y;nakgruppekode1;nakgruppetekst1;nakgruppekode2;nakgruppetekst2;nakgruppekode3;nakgruppetekst3;nakgruppekode4;nakgruppetekst4;nakgruppekode5;nakgruppetekst5;nakgruppekode6;nakgruppetekst6;nakgruppekode7;nakgruppetekst7;nakgruppekode8;nakgruppetekst8;nakgruppekode9;nakgruppetekst9;nakgruppekode10;nakgruppetekst10;hovedgruppe;hovedgruppe_navn;grunnkrets_id;kommune_id;kommunenavn;fylke_id;fylkesnavn
16176566;1;FLI;820474872;;Igletjønn Vannverk i Notodden Kommune;;;;HEDDALSVEGEN;IGLETJØNN VANNVERK I NOTODDEN KOMMUNE;738.0;;3677.0;Notodden;;;;;;Heddalsvegen 738;3677;Notodden;;;;4005;;B;;;0.0;0.0;168918.0;6621162.0;10.0;Østlandet;Telemark;NOTODDEN;;;40050205.0;Håberg;;;;;14.02.2018 00:00:00;5.0;NO;Norway;1.0;Europa;36000.0;Uttak fra kilde, rensing og distribusjon av vann;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0-1;Ideelle organisasjoner;Privat sektor;0-0,9;;;;;;;;722A30A295749CD0;05.11.2025 03:14:43;36;3;360;3600;36000;Heddalsvegen 738, 3677 Notodden;;81085489,000000000000000;;;0,000000000000000;0,000000000000000;E;Vannforsyning, avløps-, renovasjons- og oppryddingsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40050205.0;4005.0;Notodden;40.0;Telemark
16123531;1;SA;820948262;;Mytiske Telemark Sa;;;;FLATDALSVEGEN;MYTISKE TELEMARK SA;937.0;;3841.0;Flatdal;;;;;;Flatdalsvegen 937;3841;Flatdal;;97107197.0;;4022;tone@kiste.no;B;mytisketelemark.no;;10.0;-72.0;135869.0;6621292.0;10.0;Østlandet;Telemark;SELJORD;;;40220201.0;Flatdal;;;;;18.06.2018 00:00:00;6.0;NO;Norway;1.0;Europa;94992.0;Aktiviteter i andre medlemsorganisasjoner ellers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0-1;Ideelle organisasjoner;Privat sektor;0-0,9;;;;;;;;28F113441DAF6A12;05.11.2025 03:14:43;94;9;949;9499;94992;Flatdalsvegen 937, 3841 Flatdal;Tone Aanderaa Kiste;118252418,000000000000000;2024.0;;0,000000000000000;0,000000000000000;T;Annen tjenesteyting;;;;;;;;;;;;;;;;;;;0;;40220201.0;4022.0;Seljord;40.0;Telemark
16149570;1;FLI;820984382;;Møtestad Morgedal;;;;HAUGIVEGEN;MØTESTAD MORGEDAL;4.0;;3848.0;Morgedal;;;;;;Haugivegen 4;3848;Morgedal;35068900.0;;;4028;hotellsjef.morgedal@unikehoteller.no;B;www.morgedal.com;;0.0;0.0;127658.0;6611507.0;10.0;Østlandet;Telemark;KVITESEID;;;40280108.0;Ytre Morgedal;;;;;09.05.2018 00:00:00;6.0;NO;Norway;1.0;Europa;94992.0;Aktiviteter i andre medlemsorganisasjoner ellers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0-1;Ideelle organisasjoner;Privat sektor;0-0,9;;;;;;;;86EEAD536F37DFF2;05.11.2025 03:14:43;94;9;949;9499;94992;Haugivegen 4, 3848 Morgedal;Ida Kristin Havsjømoen;134891731,000000000000000;;;0,000000000000000;0,000000000000000;T;Annen tjenesteyting;;;;;;;;;;;;;;;;;;;0;;40280108.0;4028.0;Kviteseid;40.0;Telemark
16158340;1;FLI;821013712;;Helgen og Holla Travklubb;;;;GRØNSTEINVEGEN;HELGEN OG HOLLA TRAVKLUBB;85.0;;3830.0;Ulefoss;;;;;;Grønsteinvegen 85;3830;Ulefoss;;;;4018;;B;;;0.0;0.0;179062.0;6584173.0;10.0;Østlandet;Telemark;NOME;;;40180302.0;Kolstad;;;;;31.01.1871 00:00:00;153.0;NO;Norway;1.0;Europa;94992.0;Aktiviteter i andre medlemsorganisasjoner ellers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0-1;Ideelle organisasjoner;Privat sektor;0-0,9;;;;;;;;BDC86D174428F08F;05.11.2025 03:14:43;94;9;949;9499;94992;Grønsteinvegen 85, 3830 Ulefoss;;69014693,000000000000000;;;0,000000000000000;0,000000000000000;T;Annen tjenesteyting;;;;;;;;;;;;;;;;;;;0;;40180302.0;4018.0;Nome;40.0;Telemark
16122147;1;;821048192;911843684.0;Aftenmenn;;;;FROGNERVEGEN;AFTENMENN;6.0;;3717.0;Skien;;;;;;Frognervegen 6;3717;Skien;97030404.0;;;4003;;B;;;0.0;0.0;192418.0;6576159.0;10.0;Østlandet;Telemark;SKIEN;;;40030302.0;Gyngehaven;;;;;25.06.2018 00:00:00;5.0;NO;Norway;1.0;Europa;90201.0;Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor musikk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;0-1;;;0-0,9;;;;;;;;5ADBD22B2B051AE2;05.11.2025 03:14:43;90;9;902;9020;90201;Frognervegen 6, 3717 Skien;;6400620125,000000000000000;;;0,000000000000000;0,000000000000000;S;Kulturell virksomhet, idrett og fritidsaktiviteter;;;;;;;;;;;;;;;;;;;0;;40030302.0;4003.0;Skien;40.0;Telemark
16126983;3;AS;821117372;;Åsvika Utvikling AS;;;;PLASSEN;ÅSVIKA UTVIKLING AS;30.0;;3919.0;Porsgrunn;;;;;;Plassen 30;3919;Porsgrunn;;;;4001;;;;;572.0;354.0;194179.0;6568884.0;10.0;Østlandet;Telemark;PORSGRUNN;;;40011103.0;Lahelle;915543529.0;Fjellstø Gruppen AS;40557275.0;;20.06.2018 00:00:00;7.0;NO;Norway;1.0;Europa;68120.0;Utvikling og salg av byggeprosjekter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Private aksjeselskaper mv.;Privat sektor;0-0,9;;;;;;;;94DFE6485559D0BF;05.11.2025 03:14:43;68;6;681;6812;68120;Plassen 30, 3919 Porsgrunn;Simen Gjelstad;74512972,000000000000000;2023.0;;0,000000000000000;0,000000000000000;M;Eiendomsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40011103.0;4001.0;Porsgrunn;40.0;Telemark
16128317;9;BEDR;821125162;921055374.0;Ettestad Maskin;;;;ETTESTADVEIEN;ETTESTAD MASKIN;408.0;;3750.0;Drangedal;;;;;;Ettestadveien 408;3750;Drangedal;92654264.0;;;4016;;B;;;0.0;0.0;152654.0;6567801.0;10.0;Østlandet;Telemark;DRANGEDAL;;;40160101.0;Bustrak;;;;;02.07.2018 00:00:00;5.0;NO;Norway;1.0;Europa;43120.0;Grunnarbeid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;;;0-0,9;;;;;;;;F626259181837E4D;05.11.2025 03:14:43;43;4;431;4312;43120;Ettestadveien 408, 3750 Drangedal;;82658637,000000000000000;;;0,000000000000000;0,000000000000000;F;Bygge- og anleggsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40160101.0;4016.0;Drangedal;40.0;Telemark
16137584;3;AS;821202302;;Heddalsvegen 24 Drift AS;;;;HEDDALSVEGEN;HEDDALSVEGEN 24 DRIFT AS;24.0;;3674.0;Notodden;;;;;;Bølehøgda 66;3746;Skien;;;;4005;;;;;0.0;0.0;175565.0;6616234.0;10.0;Østlandet;Telemark;NOTODDEN;;;40050501.0;Sentrum sør;;;;;16.07.2018 00:00:00;7.0;NO;Norway;1.0;Europa;68320.0;Eiendomsforvaltning på oppdrag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Private aksjeselskaper mv.;Privat sektor;0-0,9;;;;;;;;339E83093CA6FE27;05.11.2025 03:14:43;68;6;683;6832;68320;Heddalsvegen 24, 3674 Notodden;;81085146,000000000000000;;;0,000000000000000;0,000000000000000;M;Eiendomsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40050501.0;4005.0;Notodden;40.0;Telemark
16139721;1;AS;821220602;;Telemark Forlag AS;;;;SNIPETORPGATA;TELEMARK FORLAG AS;33.0;;3715.0;Skien;;;;;;Snipetorpgata 33;3715;Skien;;;;4003;;;;;386.0;63.0;192598.0;6575503.0;10.0;Østlandet;Telemark;SKIEN;;;40030304.0;Bratsbergkleiva;986380558.0;Telemark Mållag;986380558.0;Telemark Mållag;11.06.2018 00:00:00;6.0;NO;Norway;1.0;Europa;58110.0;Utgivelse av bøker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;Private aksjeselskaper mv.;Privat sektor;0-0,9;;;;;;;;5B0D0ACD333333EB;05.11.2025 03:14:43;58;5;581;5811;58110;Snipetorpgata 33, 3715 Skien;;41772242,000000000000000;2024.0;;0,000000000000000;0,000000000000000;J;Utgivelse, kringkasting, innholdsproduksjon og distribusjonsvirksomhet;;;;;;;;;;;;;;;;;;;0;;40030304.0;4003.0;Skien;40.0;Telemark
16140844;9;BEDR;821239672;921162898.0;Bygg og Tak Spesialisten AS;;;;FARRISVEGEN;BYGG OG TAK SPESIALISTEN AS;227.0;;3948.0;Porsgrunn;;;;;;Farrisvegen 227;3948;Porsgrunn;;;;4001;;B;;;0.0;0.0;205514.0;6570244.0;10.0;Østlandet;Telemark;PORSGRUNN;;;40010102.0;Oklungen nord;;;;;15.06.2018 00:00:00;5.0;NO;Norway;1.0;Europa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;0-1;;;0-0,9;;;;;;;;B55CAE4F7A01D9B3;05.11.2025 03:14:43;0;0;0;0;0;Farrisvegen 227, 3948 Porsgrunn;;41199802,000000000000000;;;0,000000000000000;0,000000000000000;;;;;;;;;;;;;;;;;;;;;0;;40010102.0;4001.0;Porsgrunn;40.0;Telemark
