Organisasjonsnummer,Navn,Antall_ansatte
974633191,Sykehuset Telemark HF Skien - Somatikk,2114
973117181,ABB Electrification Norway AS,861
989075810,Bilfinger Norway AS,757
973802046,Landbrukstjenester Telemark Sa,602
974100169,Yara Norge AS,561
974633183,Sykehuset Telemark HF Psykiatrisk Sykehusavdeling Skien,560
918568204,RTC Consultancy AS,522
913206126,RTC Offshore AS,489
974798190,Universitetet i Sørøst-Norge Campus Porsgrunn,486
988734764,Sykehuset Telemark HF Adm og Fellestjenester Skien,457
974633159,Sykehuset Telemark HF Notodden - Somatikk,392
926297546,Eiffage Norge Nuf,383
931191764,Kverndalen Bo- og Dagsenter,303
974798239,Universitetet i Sørøst-Norge Campus Bø i Telemark,298
974559811,Gulset Sykehjem,292
974730642,Grenland Politihus og Namsfogden i Sør-Øst,286
986221271,TS Group AS,284
979611404,Lede AS,271
917620601,Grep Arbeid AS,260
874305812,Vy Buss AS,259
975108155,Ineos Rafnes AS,245
975012301,Inovyn Norge AS,244
973784986,Skien Kommune Organisasjon og Utvikling,243
933631257,Vivaserve AS,229
974568829,Bamble Helsehus,217
975300641,Haugmotun Sjukeheim,216
991689982,Bakkane Bo- og Behandlingssenter,214
988087483,Porsgrunn Kommune Hjemmetjenesten Øst/Vest,209
974568152,Skogmo Videregående Skole,208
973095358,Eramet Norway AS,204
980837076,Millba AS,199
974798220,Universitetet i Sørøst-Norge Campus Notodden,197
974305461,Heidelberg Materials Sement Norge AS Sementfabrikk Dalen,197
921258720,Spot AS,196
976825063,Notodden Kommune By/Heddal Hjemmetjeneste,195
919132493,Vestsiden Sykehjem,195
973347527,Blå Kors Borgestadklinikken Sa,195
975269965,Bø Sjukeheim,191
973784978,Skien Kommune Eiendomsforvaltning,183
974608898,Nome Sjukeheim,183
874559792,Skien Helsehus,182
913284410,Lyngbakken Bo- og Behandlingssenter,174
984042442,Equinor ASA,173
926848984,Telemark Fylkeskommune Administrasjon,168
974568020,Porsgrunn Videregående Skole,167
974632748,Skagerak Energi AS,166
872383352,Ineos Bamble AS,164
986139524,Marienlyst Sykehjem,164
974568039,Skien Videregående Skole,162
873255102,Betanien Hospital,160
874153842,Enrx AS,155
925512117,Prima Assistanse AS,155
976824598,Skien Fritidspark KF,154
924953020,4Service Eir Renhold AS,151
926849212,Telemark Fylkeskommune Samferdsel og Samfunnsutvikling,149
995803941,Maskineriet AS,149
982930510,Sykehuset Telemark HF DPS Nedre Telemark,149
974564769,Porsgrunn Kommune Nystrand Hjemmetjenester,148
974730138,Telemark Fengsel Skien Avdeling,148
992171952,Haugmotun Omsorgshjem,147
872081682,Quality Hotel Skjærgården,146
974564734,Brevik Sykehjem,145
972424978,Ulefos AS,145
973144421,Skagerrak Sparebank,145
971773553,Elektro 4 AS,145
976644069,Hjemmetjenester Midt-Telemark Kommune,145
974568071,Hjalmar Johansen Videregående Skole,144
917088187,Westcontrol Berget AS Cable & Harness,141
874564702,Frednes Sykehjem,139
976927621,Sykehuset Telemark HF Ambulansetjenesten Skien,139
974564726,Mule Sykehjem,138
919258772,Nis Consulting AS,138
974730359,Statens Vegvesen Skien Kontorsted,133
992132663,Bakeverket AS,132
974730707,Skatteetaten Skien,130
976824679,Skien Kommune Sentrum Hjemmetjeneste,130
975278328,Kragerø Skole,130
979329865,Tipp Transport AS,128
998854083,Skien Kommune Stigertun,128
974110849,Nel Hydrogen Electrolyser AS,126
995671190,Sykehuspartner,126
973145665,Gaustablikk Høyfjellshotell,126
986625925,Yara International ASA,126
976824741,Skien Kommune Barneverntjenesten,125
976824652,Skien Kommune Gulset Hjemmetjeneste,124
976824709,Skien Kommune Ytre Gjerpen Hjemmetjeneste,124
974568012,Notodden Videregående Skole,122
975278115,Klyve Skole,121
974564696,ST Hansåsen Sykehjem,121
988837512,Skien Kommune Klyve Hjemmetjeneste,121
974145383,Gjensidige Forsikring,121
988080551,Kragerø Resort Drift AS,121
986854274,Insider Facility Solutions AS Skien,120
973391895,Håkanes Maskin AS,120
876825422,Bamble Kommune Hjemmetjeneste,119
971964715,Emerson Automation Solutions AS,119
973142844,Inovyn Norge AS,118
974551055,Drangedal Sjukeheim,118
988837377,Haugsåsen Bokollektiv,118
973102052,ISS Facility Services AS,117
971911859,Telemark Museum Sti,117
987582480,Sykehuset Telemark HF DPS Nedre Telemark,116
975326217,Sykehuset Telemark HF Bup Grenland Nord,116
977170389,Telenor Norge AS Kundesenter Skien,114
980095363,Manpower AS,114
988086711,Porsgrunn Kommune Hjemmetjenesten Sentrum,114
987419466,Porsgrunn Kommune Miljøarbeidertjenesten,114
992259930,NAV Arbeid og Ytelser,114
976825446,Bamble Kommune Vest - Bamble Boliger,113
988881554,Halliburton AS,113
971868333,Seltor AS,110
874609072,Notevarp Omsorgsboliger,109
975297411,Sætre Skole,109
872049142,Systemblokk AS,109
973225898,Höganäs Borgestad AS,107
971655550,Sweco Norge AS Porsgrunn,106
871773122,Bandak AS,106
974610302,Vinje Sjukeheim,105
974512181,Sandvik Transport AS,102
971955589,Agility AS,100
976825640,Rjukan Alders- og Sykehjem,99
925959146,Bamble Ungdomsskole,99
983884040,Porsgrunn Kommune Barnevern,98
988952486,Borgehaven Bo- og Rehabiliteringssenter,98
992308001,Skien Helsehus,97
974633221,Sykehuset Telemark HF Porsgrunn - Somatikk,97
985530033,Stendi AS Regionskontor Sør,96
979611374,Skagerak Kraft AS,96
976824687,Skien Kommune Administrasjonen Helse og Velferd,95
971797673,Laugstol AS,95
988738891,Grenland Rail AS,95
988089583,Porsgrunn Kommune Renholdsavdelingen,94
986579125,Notodden Kommune Nos Avlastningssenter,93
974720728,Forbrukertilsynet Porsgrunn,92
972328847,DNV Imatis AS,92
891227442,Himmelblå Barnevern AS,92
973802356,Nesbukti Pleie- og Omsorgssenter,92
979852444,Posten Bring AS Skien,91
974559951,Melum Bo- og Servicesenter,91
974548542,Tinn Kommune Hjemmetjenesten Distrikt 1,90
974600099,Kragerø Kommune Hjemmesykepleien,90
874798932,Statkraft Energi AS,89
994306510,Pasientreiser HF,88
974162040,HRL Entreprenør AS,88
975269957,Kviteseid Omsorgssenter,88
974305402,Isola AS Fabrikk Eidanger,87
975278123,Lunde Barneskole,87
987983256,Bamble Kommune Krogshavn Omsorgsboliger,87
974608642,Holla 10-Årige Skole,86
975292789,Stridsklev Skole,86
975038726,Gumpens Auto Grenland AS,86
972270148,Grep Arbeid AS,86
991643710,Norner AS,86
974085062,Kvitsund Gymnas,86
975320499,Seljord Barne- og Ungdomsskule Skole 1-10,86
988837482,Skien Kommune Tamburlund 2,85
974560089,Grenland Brann og Redning Iks,85
996763366,Solbakken Omsorgsboliger,85
929387457,Vianode AS,84
973114913,Elis Norge AS,82
974608995,Nome Kommune Etat for Sammfunnsutvikling Administrasjon,82
975278492,Bø Skule,82
977007968,Skien Kirkelige Fellesråd,81
994706233,NAV Skien,81
974568098,Bamble Videregående Skole,81
971829095,Trosvik AS,80
975269949,Sauherad Bygdeheim,80
998854024,Skien Kommune Haugesgate,80
975277895,Heistadskolene,80
974101157,Saga Mat AS,80
992467029,Notodden Interkommunale Legevakt,80
975269981,Siljan Sykehjem,79
971793937,Vy Buss AS,79
974609142,Hjartdal Omsorgssenter,79
912076512,Gvarv Skole,79
973110438,Securitas AS,79
974568004,Kragerø Videregående Skole,79
983796346,Doktorløkka Bosenter,78
974610167,Tokke Helsesenter,78
974564467,Porsgrunn Kommune Sentraladministrasjon,78
875278312,Stathelle Barneskole,78
