Organisasjonsnummer,Navn,Antall_ansatte
938759839,Skien kommune,7252
939991034,Porsgrunn kommune,4954
983975267,Sykehuset Telemark HF,4592
986433007,Skien kommune - helse og velferd,3854
938583986,Notodden kommune,2364
974636247,Skien kommune - oppvekst,2331
Sykehuset Telemark hf Skien - somatikk,974633191,2111
940244145,Bamble kommune,2022
929882989,Telemark fylkeskommune,2003
920297293,Midt-Telemark kommune,1767
963946902,Kragerø kommune,1562
988996564,Bilfinger Norway AS,1241
876821052,Notodden kommune seksjon for helse- og omsorgstjenester,1167
964963371,Nome kommune,1116
976821106,Bamble kommune enhet for velferd,1078
864963552,Tinn kommune,972
964964610,Vinje kommune,943
921186037,Abb electrification Norway AS,942
Abb electrification Norway as avd Skien,973117181,884
974640783,Kragerø kommune helse og omsorg,814
974636255,Notodden kommune seksjon for oppvekst,778
Bilfinger Norway as avd Porsgrunn reparasjon,989075810,746
933277461,Drangedal kommune,721
974636271,Bamble kommune enhet for oppvekst,713
964963738,Seljord kommune,675
980518647,Eramet Norway AS,667
974241730,Nav Vestfold og Telemark,649
Landbrukstjenester Telemark sa,973802046,601
971325429,Landbrukstjenester Telemark sa,601
974640848,Nome kommune helse- og omsorgsetaten,586
Yara Norge as avd hydrovegen Porsgrunn,974100169,556
Sykehuset Telemark hf psykiatrisk sykehusavdeling Skien,974633183,555
918523480,Rtc consultancy AS,548
Rtc consultancy AS,918568204,548
974640686,"Skien kommune - byutvikling, drift og kultur",531
Rtc offshore AS,913206126,521
913164776,Rtc offshore AS,521
964964521,Tokke kommune,515
874636282,Kragerø kommune oppvekst,514
Universitetet i sørøst-norge campus Porsgrunn,974798190,483
964963827,Kviteseid kommune,458
Sykehuset Telemark hf adm og fellestjenester Skien,988734764,457
979422679,Lede AS,429
964964343,Nissedal kommune,408
928214311,Grep arbeid AS,399
Sykehuset Telemark hf Notodden - somatikk,974633159,390
864953042,Siljan kommune,383
994971395,Drangedal kommune sektor for helse og velferd,381
926049860,Eiffage Norge nuf,365
Eiffage Norge nuf,926297546,365
981701046,Inovyn Norge AS,362
988251399,Ts group AS,350
983594506,Stena recycling AS,346
939772766,Fyresdal kommune,342
974636301,Nome kommune oppvekstetaten,337
964963649,Hjartdal kommune,326
Universitetet i sørøst-norge campus bø i Telemark,974798239,325
974640996,Seljord kommune helse- og omsorgssektor,324
912580202,Maskineriet AS,319
Kverndalen bo- og dagsenter,931191764,291
Grenland politihus og namsfogden i sør-øst,974730642,290
Gulset sykehjem,974559811,286
974644002,Skien kommune - organisasjon og utvikling,284
Ts group as avd Porsgrunn,986221271,283
Lede as avd Porsgrunn,979611404,272
974636352,Seljord kommune undervisningssektoren,266
994971263,Drangedal kommune sektor for kunnskap mangfold og kultur,261
Grep arbeid as avd grep rødmyr,917620601,261
Vy buss as avd Telemark,874305812,254
Ineos rafnes as avd produksjon,975108155,247
982726387,Ineos rafnes AS,247
Inovyn Norge as avd rafnes,975012301,244
Skien kommune organisasjon og utvikling,973784986,237
925739251,Grenland brann og redning iks,234
981240987,Tango drift AS,232
971450231,Blå kors klinikk Skien AS,230
Vivaserve AS,933631257,227
933603628,Vivaserve AS,227
981083032,Ulefos AS,226
974641119,Tokke kommune helse og omsorgsetaten,224
Haugmotun sjukeheim,975300641,220
Bamble helsehus,974568829,219
945662506,Westcontrol berget AS,218
Porsgrunn kommune hjemmetjenesten øst/vest,988087483,215
874641022,Kviteseid kommune sektor for helse og omsorg,214
Skogmo videregående skole,974568152,210
Eramet Norway as avd Porsgrunn,973095358,205
Universitetet i sørøst-norge campus Notodden,974798220,203
821116422,Spot AS,201
Spot AS,921258720,201
Vestsiden sykehjem,919132493,200
Bakkane bo- og behandlingssenter,991689982,199
Blå kors borgestadklinikken sa avd borgestad,973347527,199
Heidelberg materials sement Norge as sementfabrikk dalen,974305461,196
980786706,Millba AS,192
Millba AS,980837076,192
Bø sjukeheim,975269965,189
Notodden kommune by/heddal hjemmetjeneste,976825063,187
Nome sjukeheim,974608898,186
912185877,Nel hydrogen electrolyser AS,185
974641054,Nissedal kommune eining for velferd,185
974636263,Siljan kommune avd for oppvekst,185
Skien kommune eiendomsforvaltning,973784978,182
987965428,Kragerø kommune samfunn,179
Lyngbakken bo- og behandlingssenter,913284410,178
928764745,Isola AS,178
"Skien helsehus avd b, avd c, avd e og terapeutene",874559792,177
980495302,Skagerak energi AS,176
Equinor asa avd tne rd forskningssenter,984042442,172
981275721,Stiftelsen betanien hospital Skien,172
Skagerak energi as avd Porsgrunn,974632748,169
Telemark fylkeskommune administrasjon,926848984,169
974640864,Nome kommune etat for sammfunnsutvikling,169
974640775,Bamble kommune samfunn,167
974640961,Hjartdal kommune helse og omsorg,167
Marienlyst sykehjem,986139524,167
Porsgrunn videregående skole,974568020,166
Skien videregående skole,974568039,165
968144405,Ineos Bamble AS,163
979563531,Skagerak kraft AS,163
974636395,Tokke kommune - oppvekst,163
974640716,Notodden kommune seksjon for samfunnsutvikling og tekniske tjene,163
Ineos Bamble AS,872383352,163
Betanien hospital,873255102,161
886705352,Nissedal kommune eining for oppvekst og kultur,159
Prima assistanse as avd Telemark,925512117,156
930400580,Enrx AS,155
Enrx AS,874153842,155
Porsgrunn kommune nystrand hjemmetjenester,974564769,154
Westcontrol berget as cable & harness,917088187,154
990522839,Skien fritidspark kf,153
Skien fritidspark kf avd Skien fritidspark,976824598,153
976635221,Siljan kommune avd for helse,151
Haugmotun omsorgshjem,992171952,150
Telemark fylkeskommune samferdsel og samfunnsutvikling,926849212,149
4service eir renhold as avd 461 vestfold/telemark,924953020,149
Sykehuset Telemark hf dps nedre Telemark avd Porsgrunn,982930510,148
Skagerrak sparebank,973144421,147
937891245,Skagerrak sparebank,147
987914386,Fyresdal kommune sektor for helse og omsorg,147
Hjemmetjenester Midt-Telemark kommune,976644069,145
Hjalmar johansen videregående skole,974568071,145
881489392,Elektro 4 AS,144
Ulefos as avd ulefoss,972424978,144
Elektro 4 AS,971773553,144
Telemark fengsel Skien avdeling,974730138,144
974761335,Forbrukertilsynet,143
959310459,Quality skjærgården hotel og badepark AS,139
Quality hotel skjærgården,872081682,139
Maskineriet as avd Skien,995803941,139
Sykehuset Telemark hf ambulansetjenesten Skien,976927621,139
Brevik sykehjem,974564734,138
Bakeverket AS,992132663,135
992126191,Bakeverket AS,135
Mule sykehjem,974564726,133
Skien kommune sentrum hjemmetjeneste,976824679,133
Kragerø skole,975278328,133
Statens vegvesen Skien kontorsted,974730359,133
Frednes sykehjem,874564702,132
964715378,Laugstol AS,131
Skien kommune stigertun,998854083,131
Skatteetaten Skien,974730707,130
Bamble kommune hjemmetjeneste,876825422,130
