Org. nr.,Navn ER,Navn GD,Overordnet enhet ER,Overordnet enhet GD,Antall ansatte ER,Antall ansatte GD,Differanse antall ansatte,Dataset ER,Sektorkode ER,Sektor ER,Aktivitet ER,Forretningsadresse - Kommune ER,Postadresse - Kommune ER,Organisasjonsform ER,NACE 1 ER,NACE 1 - Bransje ER,NACE 2 ER,NACE 2 - Bransje ER,NACE 3 ER,NACE 3 - Bransje ER,Organisasjonsform - Kode ER,Beliggenhetsadresse - Kommune ER,firfirmaid GD,Bedriftsstatus GD,Organisasjonsform GD,konsernopporgnr GD,Navn på overliggende enhet GD,Orgnr til toppenhet GD,Fylkesnavn GD,fylkesnavn GD,kommune_id GD,Kommunenummer GD,kommunenavn GD,Kommunenavn GD,Intervallkode antall ansatte GD,Omsetning i hele tusen GD,Driftsresultat i hele tusen GD,Dato for etablering GD,Sektorkode fra SSB GD,Privat eller offentlig GD,NACE-kategori (Første siffer) GD,Nacetittel1 GD,Bransjegruppe 1 GD,NACE-kategori (To første siffer) GD,NACE-kategori (Tre første siffer) GD,NACE-kategori (Fire første siffer) GD,NACE-kode (numerisk) GD,Y (UTM33) GD,X (UTM33) GD,load_date GD,Lon GD,Lat GD,Kode GD
811801402,Hjuksebø montessoriskole sa,Hjuksebø Montessoriskole Sa,911759500,911759500,22.0,22.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,85.201,Ordinær grunnskoleundervisning,,,,,BEDR,Notodden,15243487.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005.0,4005.0,Notodden,NOTODDEN,20-24,0.0,0.0,2013-03-07,,,8.0,Ordinær grunnskoleundervisning,Undervisning,85.0,85.2,85.2,85.201,6610350.35,179490.6200000001,2025-12-05 03:21:50,"9,333096588551388","59,50849331717871",85201.0
812226452,Kragerøsnekkeren AS,Kragerøsnekkeren AS,912155277,912155277,15.0,15.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Kragerø,15284990.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014.0,4014.0,Kragerø,KRAGERØ,15-19,0.0,0.0,2013-05-04,,,4.0,Oppføring av bygninger,Bygge- og anleggsvirksomhet,41.0,41.0,41.0,41.0,6538765.51,178074.36000000034,2025-12-05 03:21:50,"9,413924361871551","58,867661388120275",41000.0
812317652,Hydrogenpro asa,Hydrogenpro ASA,912305198,912305198,32.0,32.0,0.0,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,27.9,Produksjon av annet elektrisk utstyr,,,,,BEDR,Porsgrunn,15297088.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,30-39,0.0,0.0,2013-08-02,,,2.0,Produksjon av annet elektrisk utstyr,Industri,27.0,27.9,27.9,27.9,6565951.210000001,192711.59999999963,2025-12-05 03:21:50,"9,628776075916596","59,121448228088056",27900.0
812403842,Norner research AS,Norner Research AS,912372200,912372200,77.0,77.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,72.1,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,,,,,BEDR,Porsgrunn,15305646.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,75-99,0.0,0.0,2013-08-26,,,7.0,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,"Faglig, vitenskapelig og teknisk tjenesteyting",72.0,72.1,72.1,72.1,6567451.039999999,192720.00999999972,2025-12-05 03:21:50,"9,62681666874323","59,13486428020302",72100.0
812476602,Jakobsen marine AS,Jakobsen Marine AS,912417387,912417387,5.0,5.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,52.1,Lagring,,,,,BEDR,Skien,15312946.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003.0,4003.0,Skien,SKIEN,5-9,0.0,0.0,2013-06-24,,,5.0,Lagring,Transport og lagring,52.0,52.1,52.1,52.1,6570385.140000001,193970.99000000025,2025-12-05 03:21:50,"9,644472634518216","59,16200000154373",52100.0
812751352,Rema 1000 sannidal,Rema 1000 Sannidal,890268382,890268382,17.0,17.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,47.11,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,,BEDR,Kragerø,15337742.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4014.0,4014.0,Kragerø,KRAGERØ,15-19,0.0,0.0,2013-10-01,,,4.0,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,Varehandel,47.0,47.1,47.11,47.11,6542524.18,170853.16999999993,2025-12-05 03:21:50,"9,283776173665212","58,89578601714683",47110.0
813285592,Notodden bok & blueshus avd kino,Notodden Bok & Blueshus,974640708,974640708,21.0,21.0,0.0,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,59.14,Filmfremvisning,,,,,BEDR,Notodden,15389860.0,1.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005.0,4005.0,Notodden,NOTODDEN,20-24,0.0,0.0,2013-12-01,,,5.0,Filmfremvisning,"Utgivelse, kringkasting, innholdsproduksjon og distribusjonsvirksomhet",59.0,59.1,59.14,59.14,6616030.91,175494.75999999978,2025-12-05 03:21:50,"9,254195612713518","59,55617617923826",59140.0
813608782,Roar aas maskin AS,Roar Aas Maskin AS,934409019,934409019,5.0,5.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,43.12,Grunnarbeid,,,,,BEDR,Notodden,15420810.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005.0,4005.0,Notodden,NOTODDEN,5-9,0.0,0.0,2012-01-01,,,4.0,Grunnarbeid,Bygge- og anleggsvirksomhet,43.0,43.1,43.12,43.12,6634736.25,178365.8799999999,2025-12-05 03:21:50,"9,276258658135372","59,72552749703425",43120.0
814020002,Scandinavian certification AS,Scandinavian Certification AS,913938003,913938003,6.0,6.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,71.2,Teknisk prøving og analyse,,,,,BEDR,Porsgrunn,15458595.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001.0,4001.0,Porsgrunn,PORSGRUNN,5-9,0.0,0.0,2014-04-14,,,7.0,Teknisk prøving og analyse,"Faglig, vitenskapelig og teknisk tjenesteyting",71.0,71.2,71.2,71.2,6567908.210000001,194502.6900000004,2025-12-05 03:21:50,"9,657193302204492","59,14023517196126",71200.0
814026302,Bf entreprenør AS,BF Entreprenør AS,914013364,914013364,6.0,6.0,0.0,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,41.0,Oppføring av bygninger,,,,,BEDR,Notodden,15458613.0,9.0,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005.0,4005.0,Notodden,NOTODDEN,5-9,0.0,0.0,2014-07-22,,,4.0,Oppføring av bygninger,Bygge- og anleggsvirksomhet,41.0,41.0,41.0,41.0,6615695.109999999,176829.75,2025-12-05 03:21:50,"9,278206889189152","59,554208379431415",41000.0
