Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Skien kommune,938759839,,7219,6500,Kommuneforvaltningen,,Skien,Skien,Kommune,84.110,Generell offentlig administrasjon,,,,
Porsgrunn kommune,939991034,,4905,6500,Kommuneforvaltningen,,Porsgrunn,Porsgrunn,Kommune,84.110,Generell offentlig administrasjon,,,,
Sykehuset Telemark hf,983975267,,4487,6100,Statsforvaltningen,,Skien,Skien,Annet foretak iflg. særskilt lov,86.101,Alminnelige somatiske sykehus,86.105,Institusjoner i psykisk helsevern for barn og unge,,
Skien kommune - helse og velferd,986433007,938759839,3780,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Notodden kommune,938583986,,2408,6500,Kommuneforvaltningen,,Notodden,Notodden,Kommune,84.110,Generell offentlig administrasjon,,,,
Skien kommune - oppvekst,974636247,938759839,2404,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Telemark fylkeskommune,929882989,,2121,6500,Kommuneforvaltningen,,Skien,Skien,Fylkeskommune,84.110,Generell offentlig administrasjon,,,,
Midt-Telemark kommune,920297293,,1873,6500,Kommuneforvaltningen,,Midt-Telemark,,Kommune,84.110,Generell offentlig administrasjon,,,,
Kragerø kommune,963946902,,1571,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Kommune,84.110,Generell offentlig administrasjon,,,,
Notodden kommune seksjon for helse- og omsorgstjenester,876821052,938583986,1189,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Nome kommune,964963371,,1178,6500,Kommuneforvaltningen,,Nome,,Kommune,84.110,Generell offentlig administrasjon,,,,
Tinn kommune,864963552,,965,6500,Kommuneforvaltningen,,Tinn,Tinn,Kommune,84.110,Generell offentlig administrasjon,,,,
Vinje kommune,964964610,,939,6500,Kommuneforvaltningen,,Vinje,,Kommune,84.110,Generell offentlig administrasjon,,,,
Notodden kommune seksjon for oppvekst,974636255,938583986,827,6500,Kommuneforvaltningen,,Notodden,Notodden,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Kragerø kommune helse og omsorg,974640783,963946902,801,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Landbrukstjenester Telemark sa,971325429,,701,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Samvirkeforetak,01.620,Tjenester tilknyttet husdyrhold,,,,
Eramet norway AS,980518647,,677,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,24.102,Produksjon av ferrolegeringer,,,,
Drangedal kommune,933277461,,672,6500,Kommuneforvaltningen,,Drangedal,,Kommune,84.110,Generell offentlig administrasjon,,,,
Seljord kommune,964963738,,647,6500,Kommuneforvaltningen,,Seljord,Seljord,Kommune,84.110,Generell offentlig administrasjon,,,,
Nome kommune helse- og omsorgsetaten,974640848,964963371,641,6500,Kommuneforvaltningen,,Nome,,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Nav Vestfold og Telemark,974241730,991012133,609,6100,Statsforvaltningen,,Skien,Skien,Organisasjonsledd,84.300,Trygdeordninger underlagt offentlig forvaltning,,,,
Kragerø kommune oppvekst,874636282,963946902,533,6500,Kommuneforvaltningen,,Kragerø,Kragerø,Organisasjonsledd,84.120,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern",,,,
Tokke kommune,964964521,,531,6500,Kommuneforvaltningen,,Tokke,Tokke,Kommune,84.110,Generell offentlig administrasjon,,,,
"Skien kommune - byutvikling, drift og kultur",974640686,938759839,531,6500,Kommuneforvaltningen,,Skien,Skien,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Kviteseid kommune,964963827,,463,6500,Kommuneforvaltningen,,Kviteseid,,Kommune,84.110,Generell offentlig administrasjon,,,,
Lede AS,979422679,,422,1120,Statlig eide aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.130,Distribusjon av elektrisitet,35.140,Handel med elektrisitet,,
Nissedal kommune,964964343,,412,6500,Kommuneforvaltningen,,Nissedal,,Kommune,84.110,Generell offentlig administrasjon,,,,
Grep arbeid AS,928214311,,379,1520,Kommunalt eide aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.993,Arbeidstrening for ordinært arbeidsmarked,,,,
Rtc offshore AS,913164776,,369,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Siljan kommune,864953042,,353,6500,Kommuneforvaltningen,,Siljan,Siljan,Kommune,84.110,Generell offentlig administrasjon,,,,
Inovyn norge AS,981701046,,352,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,20.130,Produksjon av andre uorganiske kjemikalier,20.160,Produksjon av basisplast,,
