Organisasjonsnummer,Navn,Nivå enhetsregisteret,Antall ansatte
974633191,Sykehuset Telemark hf Skien - somatikk,3,2111.0
988996564,Bilfinger Norway AS,1,1241.0
973117181,Abb electrification Norway as avd Skien,3,884.0
980518647,Eramet Norway AS,1,667.0
974241730,Nav Vestfold og Telemark,1,649.0
973802046,Landbrukstjenester Telemark sa,3,601.0
974633183,Sykehuset Telemark hf psykiatrisk sykehusavdeling Skien,3,555.0
918568204,Rtc consultancy AS,3,548.0
913206126,Rtc offshore AS,3,521.0
988734764,Sykehuset Telemark hf adm og fellestjenester Skien,3,457.0
979422679,Lede AS,1,429.0
974633159,Sykehuset Telemark hf Notodden - somatikk,3,390.0
926297546,Eiffage Norge nuf,3,365.0
983594506,Stena recycling AS,1,346.0
912580202,Maskineriet AS,1,319.0
931191764,Kverndalen bo- og dagsenter,3,291.0
974559811,Gulset sykehjem,3,286.0
986221271,Ts group as avd Porsgrunn,3,283.0
917620601,Grep arbeid as avd grep rødmyr,3,261.0
975108155,Ineos rafnes as avd produksjon,3,247.0
975012301,Inovyn Norge as avd rafnes,3,244.0
973784986,Skien kommune organisasjon og utvikling,3,237.0
981240987,Tango drift AS,1,232.0
933631257,Vivaserve AS,3,227.0
981083032,Ulefos AS,1,226.0
975300641,Haugmotun sjukeheim,3,220.0
974568829,Bamble helsehus,3,219.0
988087483,Porsgrunn kommune hjemmetjenesten øst/vest,3,215.0
974568152,Skogmo videregående skole,3,210.0
921258720,Spot AS,3,201.0
919132493,Vestsiden sykehjem,3,200.0
973347527,Blå kors borgestadklinikken sa avd borgestad,3,199.0
991689982,Bakkane bo- og behandlingssenter,3,199.0
980837076,Millba AS,3,192.0
975269965,Bø sjukeheim,3,189.0
976825063,Notodden kommune by/heddal hjemmetjeneste,3,187.0
974608898,Nome sjukeheim,3,186.0
973784978,Skien kommune eiendomsforvaltning,3,182.0
913284410,Lyngbakken bo- og behandlingssenter,3,178.0
874559792,"Skien helsehus avd b, avd c, avd e og terapeutene",3,177.0
926848984,Telemark fylkeskommune administrasjon,3,169.0
974632748,Skagerak energi as avd Porsgrunn,3,169.0
986139524,Marienlyst sykehjem,3,167.0
974568020,Porsgrunn videregående skole,3,166.0
974568039,Skien videregående skole,3,165.0
872383352,Ineos Bamble AS,3,163.0
873255102,Betanien hospital,3,161.0
874153842,Enrx AS,3,155.0
917088187,Westcontrol berget as cable & harness,3,154.0
974564769,Porsgrunn kommune nystrand hjemmetjenester,3,154.0
976824598,Skien fritidspark kf avd Skien fritidspark,3,153.0
992171952,Haugmotun omsorgshjem,3,150.0
926849212,Telemark fylkeskommune samferdsel og samfunnsutvikling,3,149.0
982930510,Sykehuset Telemark hf dps nedre Telemark avd Porsgrunn,3,148.0
973144421,Skagerrak sparebank,3,147.0
976644069,Hjemmetjenester Midt-Telemark kommune,3,145.0
974568071,Hjalmar johansen videregående skole,3,145.0
971773553,Elektro 4 AS,3,144.0
974761335,Forbrukertilsynet,1,143.0
976927621,Sykehuset Telemark hf ambulansetjenesten Skien,3,139.0
872081682,Quality hotel skjærgården,3,139.0
974564734,Brevik sykehjem,3,138.0
992132663,Bakeverket AS,3,135.0
975278328,Kragerø skole,3,133.0
974564726,Mule sykehjem,3,133.0
976824679,Skien kommune sentrum hjemmetjeneste,3,133.0
874564702,Frednes sykehjem,3,132.0
998854083,Skien kommune stigertun,3,131.0
964715378,Laugstol AS,1,131.0
876825422,Bamble kommune hjemmetjeneste,3,130.0
989383167,Bypost AS,1,129.0
976824652,Skien kommune gulset hjemmetjeneste,3,128.0
979329865,Tipp transport as avd Porsgrunn,3,128.0
918695079,Pasientreiser HF,1,127.0
974110849,Nel hydrogen electrolyser as avd Notodden,3,127.0
973145665,Gaustablikk høyfjellshotell,3,126.0
975278115,Klyve skole,3,124.0
976824741,Skien kommune barneverntjenesten,3,124.0
974568012,Notodden videregående skole,3,124.0
976824709,Skien kommune ytre gjerpen hjemmetjeneste,3,123.0
988837512,Skien kommune klyve hjemmetjeneste,3,121.0
973391895,Håkanes maskin AS,3,120.0
974551055,Drangedal sjukeheim,3,120.0
971964715,Emerson automation solutions as avd engrossalg,3,119.0
973142844,Inovyn Norge as avd pvc fabrikk Porsgrunn,3,118.0
988086711,Porsgrunn kommune hjemmetjenesten sentrum,3,118.0
988080551,Kragerø resort drift AS,3,118.0
974564696,St hansåsen sykehjem,3,117.0
975326217,Sykehuset Telemark hf bup grenland nord,3,116.0
987582480,Sykehuset Telemark hf dps nedre Telemark avd Skien,3,116.0
987419466,Porsgrunn kommune miljøarbeidertjenesten avd saturnvegen,3,115.0
976825446,Bamble kommune vest - Bamble boliger,3,113.0
988837377,Haugsåsen bokollektiv,3,112.0
971868333,Seltor AS,3,110.0
874609072,Notevarp omsorgsboliger,3,109.0
975297411,Sætre skole,3,108.0
871773122,Bandak AS,3,107.0
973225898,Höganäs borgestad as avd Skien,3,107.0
974610302,Vinje sjukeheim,3,105.0
872049142,Systemblokk AS,3,105.0
976825640,Rjukan alders- og sykehjem,3,104.0
974512181,Sandvik transport AS,3,104.0
925959146,Bamble ungdomsskole,3,103.0
