Org. nr.,Navn,Overordnet enhet,Antall ansatte,Organisasjonsform - Kode,Organisasjonsform,NACE 1,NACE 1 - Bransje,Beliggenhetsadresse - Kommune,Postadresse - Kommune
974633191,Sykehuset Telemark hf Skien - somatikk,983975267,2089.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,Skien,Skien
973117181,Abb electrification Norway as avd Skien,921186037,803.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,27.120,Produksjon av elektriske fordelings- og kontrolltavler og paneler,Skien,Skien
989075810,Bilfinger Norway as avd Porsgrunn reparasjon,988996564,762.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,33.120,Reparasjon og vedlikehold av maskiner,Porsgrunn,Porsgrunn
973802046,Landbrukstjenester Telemark sa,971325429,752.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,01.620,Tjenester tilknyttet husdyrhold,Midt-Telemark,
974100169,Yara Norge as avd hydrovegen Porsgrunn,984015666,562.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,20.150,Produksjon av gjødsel og nitrogenforbindelser,Porsgrunn,Porsgrunn
974633183,Sykehuset Telemark hf psykiatrisk sykehusavdeling Skien,983975267,553.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.102,Psykiatriske sykehustjenester for voksne,Skien,Skien
918568204,Rtc consultancy AS,918523480,515.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,Skien,
913206126,Rtc offshore AS,913164776,484.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,Skien,
974798190,Universitetet i sørøst-norge campus Porsgrunn,911770709,482.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,85.401,Undervisning ved universiteter,Porsgrunn,Porsgrunn
988734764,Sykehuset Telemark hf adm og fellestjenester Skien,983975267,449.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,Skien,Skien
926297546,Eiffage Norge nuf,926049860,391.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,42.110,Bygging av veier og motorveier,Porsgrunn,Oslo
974633159,Sykehuset Telemark hf Notodden - somatikk,983975267,387.0,BEDR,Underenhet til næringsdrivende og offentlig forvaltning,86.101,Somatiske sykehustjenester,Notodden,Skien
