;Andre;AFP og alderspensjon;AAP og uføre;På arbeidsmarkedstiltak;Ordinær utdanning;Arbeidsledige;Sysselsatte
Viken;4,90 %;17,90 %;7,30 %;1,00 %;6,90 %;2,00 %;60,00 %
Oslo;7,70 %;12,10 %;5,50 %;0,90 %;6,90 %;2,60 %;64,30 %
Innlandet;3,70 %;21,70 %;8,70 %;0,90 %;6,10 %;1,30 %;57,50 %
Vestfold og Telemark;4,60 %;20,50 %;8,70 %;1,10 %;6,60 %;1,70 %;56,90 %
Agder;4,20 %;18,00 %;9,60 %;1,40 %;7,50 %;1,60 %;57,80 %
Rogaland;5,10 %;15,90 %;6,70 %;1,00 %;7,00 %;1,80 %;62,50 %
Vestland;4,50 %;17,90 %;6,20 %;0,90 %;7,30 %;1,70 %;61,50 %
Møre og Romsdal;3,90 %;19,80 %;6,80 %;0,90 %;6,80 %;1,40 %;60,30 %
Trøndelag;4,00 %;18,00 %;7,30 %;0,90 %;7,30 %;1,30 %;61,10 %
Nordland;3,40 %;20,90 %;8,70 %;1,00 %;5,90 %;1,10 %;58,90 %
Troms og Finnmark;4,20 %;18,30 %;7,90 %;1,00 %;6,10 %;1,30 %;61,20 %
