;Vestfold og Telemark;Hele landet
Jordbruk skogbruk og fiske;1,80 %;2,30 %
Bergverksdrift og utvinning;0,30 %;2,20 %
Industri;10,00 %;7,60 %
Elektrisitet vann og renovasjon;1,50 %;1,20 %
Bygge- og anleggsvirksomhet;10,10 %;8,60 %
Varehandel reparasjon av motorvogner;14,30 %;12,70 %
Transport og lagring;4,10 %;4,70 %
Overnattings- og serveringsvirksomhet;3,20 %;3,40 %
Informasjon og kommunikasjon;2,30 %;3,90 %
Finansiering og forsikring;0,70 %;1,70 %
Teknisk tjenesteyting eiendomsdrift;5,20 %;6,60 %
Forretningsmessig tjenesteyting;4,70 %;4,90 %
Off.adm. forsvar sosialforsikring;5,80 %;6,30 %
Underervisning;8,30 %;8,30 %
Helse- og sosialtjenester;23,30 %;20,70 %
Personlig tjenesteyting;3,60 %;4,10 %
