Region,Andre,Arbeidsmarkedstiltak,AFP/Alderspensjon,AAP/Uføretrygd,Arbeidsledige,Sysselsatte,Utdanning
Hele landet,4.8,1.1,17.9,7.3,0.9,62.0,5.9
Telemark,4.5,1.3,21.4,9.0,0.9,57.1,5.8
Vinje,4.0,1.7,20.3,5.1,0.6,64.2,4.0
Fyresdal,4.5,1.8,21.7,6.5,0.6,60.9,4.0
Tokke,3.3,1.2,21.2,7.9,0.6,60.9,4.8
Hjartdal,3.5,2.3,21.5,7.9,0.9,60.7,3.2
Siljan,2.0,0.9,23.0,8.4,0.4,60.5,4.8
Kviteseid,4.2,1.9,21.3,8.0,0.3,60.4,4.0
Seljord,3.6,2.0,22.3,7.5,0.8,59.1,4.8
Nissedal,3.1,1.9,22.0,8.7,0.7,58.7,5.0
Tinn,3.2,0.9,24.4,8.1,0.9,57.8,4.7
Porsgrunn,4.7,1.1,20.8,9.1,1.0,57.4,5.9
Drangedal,3.4,2.1,21.8,9.1,0.5,57.1,6.0
Skien,4.9,1.0,20.7,9.1,1.1,57.0,6.2
Notodden,4.3,1.5,21.0,10.1,1.0,56.7,5.5
Midt-Telemark,5.8,1.4,18.3,8.6,0.9,56.7,8.3
Bamble,3.6,1.3,23.6,9.1,0.9,56.0,5.4
Nome,4.3,1.6,22.3,10.1,1.0,55.7,5.0
Kragerø,4.5,1.4,25.4,9.4,0.7,53.3,5.3
