næring (SN2007),Telemark (2023),Landet (2023)
Helse- og sosialtjenester,25.2,20.8
"Varehandel, reparasjon av motorvogner",13.4,12.5
Industri,10.7,7.6
Bygge- og anleggsvirksomhet,9.4,8.6
Undervisning,8.7,8.3
"Off.adm., forsvar, sosialforsikring",5.6,6.2
"Teknisk tjenesteyting, eiendomsdrift",4.9,6.9
Transport og lagring,3.9,4.7
Forretningsmessig tjenesteyting,3.9,4.6
Personlig tjenesteyting,3.8,4.2
Overnattings- og serveringsvirksomhet,3.2,3.6
"Elektrisitet, vann og renovasjon",2.3,1.3
"Jordbruk, skogbruk og fiske",2.0,2.3
Informasjon og kommunikasjon,1.8,4.1
Finansiering og forsikring,0.8,1.8
Bergverksdrift og utvinning,0.3,2.3
