Kommune,År,Sektor,Utslippskilde,Utslipp
Porsgrunn,2009,Annen mobil forbrenning,Behandling av avfall  ,2.38
Porsgrunn,2009,Annen mobil forbrenning,Bygg og anlegg  ,3352.02
Porsgrunn,2009,Annen mobil forbrenning,Tjenester tilknyttet transport  ,820.82
Porsgrunn,2009,Annen mobil forbrenning,Tjenester tilknyttet transport  ,9.53
Porsgrunn,2009,Avfall og avløp,Avløp,1544.09
Porsgrunn,2009,Bruk av produkter med fluorgasser,Bruk av SF6,413.87
Porsgrunn,2009,"Industri, olje og gass","Industri, olje og gass",374252.77
Porsgrunn,2009,Jordbruk,Fordøyelsesprosesser husdyr,1757.12
Porsgrunn,2009,Jordbruk,Gjødselhåndtering,0.0
Porsgrunn,2009,Jordbruk,Jordbruksarealer,552.42
Porsgrunn,2009,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2009,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2009,Oppvarming,Bioenergi,7.31
Porsgrunn,2009,Oppvarming,Fossil olje,5.13
Porsgrunn,2009,Oppvarming,Fyringsparafin,6.67
Porsgrunn,2009,Oppvarming,LPG,547.83
Porsgrunn,2009,Oppvarming,Naturgass,0.3
Porsgrunn,2009,Sjøfart,Fiskefartøy,0.0
Porsgrunn,2009,Veitrafikk,Busser,1.17
Porsgrunn,2009,Veitrafikk,Personbiler,192.82
Porsgrunn,2009,Veitrafikk,Tunge kjøretøy,4.06
Porsgrunn,2011,Annen mobil forbrenning,Behandling av avfall  ,353.69
Porsgrunn,2011,Annen mobil forbrenning,Bygg og anlegg  ,4.77
Porsgrunn,2011,Annen mobil forbrenning,Jordbruk  ,195.42
Porsgrunn,2011,Annen mobil forbrenning,Skogbruk  ,82.17
Porsgrunn,2011,Annen mobil forbrenning,Snøscooter,9.21
Porsgrunn,2011,Avfall og avløp,Avløp,1955.53
Porsgrunn,2011,Avfall og avløp,Biologisk behandling av avfall,0.0
Porsgrunn,2011,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Porsgrunn,2011,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Porsgrunn,2011,Jordbruk,Gjødselhåndtering,252.35
Porsgrunn,2011,Oppvarming,Annet,372.28
Porsgrunn,2011,Oppvarming,Bioenergi,0.43
Porsgrunn,2011,Oppvarming,Fyringsparafin,3416.29
Porsgrunn,2011,Oppvarming,LPG,2.06
Porsgrunn,2011,Oppvarming,Vedfyring,3407.23
Porsgrunn,2011,Sjøfart,Havbruk,0.0
Porsgrunn,2011,Sjøfart,Oljetanker,0.0
Porsgrunn,2011,Sjøfart,Passasjer,0.0
Porsgrunn,2011,Veitrafikk,Busser,9.02
Porsgrunn,2011,Veitrafikk,Personbiler,294.54
Porsgrunn,2013,Annen mobil forbrenning,Andre næringer  ,5823.04
Porsgrunn,2013,Annen mobil forbrenning,Behandling av avfall  ,0.72
Porsgrunn,2013,Annen mobil forbrenning,Bygg og anlegg  ,39.48
Porsgrunn,2013,Annen mobil forbrenning,Jordbruk  ,0.28
Porsgrunn,2013,Annen mobil forbrenning,Skogbruk  ,0.08
Porsgrunn,2013,Annen mobil forbrenning,Snøscooter,50.0
Porsgrunn,2013,Annen mobil forbrenning,Snøscooter,0.21
Porsgrunn,2013,Avfall og avløp,Avfallsdeponigass,9683.87
Porsgrunn,2013,Avfall og avløp,Avløp,0.0
Porsgrunn,2013,Avfall og avløp,Biologisk behandling av avfall,910.68
Porsgrunn,2013,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Porsgrunn,2013,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.0
Porsgrunn,2013,"Industri, olje og gass","Industri, olje og gass",1650.22
Porsgrunn,2013,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Porsgrunn,2013,Jordbruk,Gjødselhåndtering,241.19
Porsgrunn,2013,Jordbruk,Jordbruksarealer,0.33
Porsgrunn,2013,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2013,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2013,Oppvarming,Annet,0.3
Porsgrunn,2013,Oppvarming,Bioenergi,0.0
Porsgrunn,2013,Oppvarming,LPG,0.46
Porsgrunn,2013,Oppvarming,Naturgass,0.45
Porsgrunn,2013,Sjøfart,*Estimat sjøfart,31350.28
Porsgrunn,2013,Sjøfart,Andre offshorefartøy,0.0
Porsgrunn,2013,Sjøfart,Andre servicefartøy,0.0
Porsgrunn,2013,Sjøfart,Gasstankskip,0.0
