År,Landbaserte utslipp (norskeutslipp.no),Totale utslipp (Mdir),Mdir enkeltår
2001-01-01,4198139.33,,
2002-01-01,3594379.48,,
2003-01-01,3667127.32,,
2004-01-01,3585776.13,,
2005-01-01,3303567.56,,
2006-01-01,3222588.08,,
2007-01-01,3133360.72,,
2008-01-01,2726442.85,,
2009-01-01,2553990.97,,2586829.45
2010-01-01,1946410.77,,
2011-01-01,2436277.88,,2471530.3
2012-01-01,2468022.58,,
2013-01-01,2536668.68,,2718585.59
2014-01-01,2459860.37,,
2015-01-01,2670816.5,2868189.28,
2016-01-01,2390338.13,2553753.64,
2017-01-01,2223563.32,2315022.82,
2018-01-01,2392127.33,2574060.33,
2019-01-01,2397428.87,2603262.71,
2020-01-01,2359357.96,2582814.06,
2021-01-01,2239254.33,2380957.17,
2022-01-01,2348287.79,2644629.68,
2023-01-01,2192919.64,,
