Knr,Kommunenavn,Tid,Gruppe,Forbruk (kWh),Antall målere
4001,Porsgrunn,2022-01-01 00:00:00+01:00,Næring (unntatt industri),17647.213,1517
4001,Porsgrunn,2022-01-01 01:00:00+01:00,Næring (unntatt industri),17757.215,1517
4001,Porsgrunn,2022-01-01 02:00:00+01:00,Næring (unntatt industri),17741.725,1517
4001,Porsgrunn,2022-01-01 03:00:00+01:00,Næring (unntatt industri),17576.705,1517
4001,Porsgrunn,2022-01-01 04:00:00+01:00,Næring (unntatt industri),17442.693,1517
4001,Porsgrunn,2022-01-01 05:00:00+01:00,Næring (unntatt industri),17687.385,1517
4001,Porsgrunn,2022-01-01 06:00:00+01:00,Næring (unntatt industri),18043.686,1517
4001,Porsgrunn,2022-01-01 07:00:00+01:00,Næring (unntatt industri),18782.213,1517
4001,Porsgrunn,2022-01-01 08:00:00+01:00,Næring (unntatt industri),19469.104,1517
4001,Porsgrunn,2022-01-01 09:00:00+01:00,Næring (unntatt industri),18957.045,1517
4001,Porsgrunn,2022-01-01 10:00:00+01:00,Næring (unntatt industri),18624.129,1517
4001,Porsgrunn,2022-01-01 11:00:00+01:00,Næring (unntatt industri),18697.148,1517
4001,Porsgrunn,2022-01-01 12:00:00+01:00,Næring (unntatt industri),18799.41,1517
4001,Porsgrunn,2022-01-01 13:00:00+01:00,Næring (unntatt industri),18763.982,1517
4001,Porsgrunn,2022-01-01 14:00:00+01:00,Næring (unntatt industri),18672.938,1517
4001,Porsgrunn,2022-01-01 15:00:00+01:00,Næring (unntatt industri),19075.947,1517
4001,Porsgrunn,2022-01-01 16:00:00+01:00,Næring (unntatt industri),19880.402,1517
4001,Porsgrunn,2022-01-01 17:00:00+01:00,Næring (unntatt industri),19979.9,1517
4001,Porsgrunn,2022-01-01 18:00:00+01:00,Næring (unntatt industri),19145.514,1517
4001,Porsgrunn,2022-01-01 19:00:00+01:00,Næring (unntatt industri),18845.871,1517
4001,Porsgrunn,2022-01-01 20:00:00+01:00,Næring (unntatt industri),18538.834,1517
4001,Porsgrunn,2022-01-01 21:00:00+01:00,Næring (unntatt industri),17929.695,1517
4001,Porsgrunn,2022-01-01 22:00:00+01:00,Næring (unntatt industri),17333.854,1517
4001,Porsgrunn,2022-01-01 23:00:00+01:00,Næring (unntatt industri),16818.53,1517
4001,Porsgrunn,2022-01-01 00:00:00+01:00,Industri,291195.7,576
4001,Porsgrunn,2022-01-01 01:00:00+01:00,Industri,297005.4,576
4001,Porsgrunn,2022-01-01 02:00:00+01:00,Industri,297417.6,576
4001,Porsgrunn,2022-01-01 03:00:00+01:00,Industri,296435.16,576
4001,Porsgrunn,2022-01-01 04:00:00+01:00,Industri,297203.97,576
