Kommune,Forbrukergruppe,År,Verdi
Bamble,Boliger,2020,107.9
Bamble,Husholdninger,2020,119.9
Bamble,Hytter og fritidshus,2020,12.1
Bamble,I alt,2020,1551.2
Bamble,Primærnæringer,2020,0.4
Bamble,Sekundærnæringer,2020,1375.2
Bamble,Tertiærnæringer,2020,55.8
Drangedal,Boliger,2020,29.8
Drangedal,Husholdninger,2020,37.0
Drangedal,Hytter og fritidshus,2020,7.2
Drangedal,I alt,2020,53.2
Drangedal,Primærnæringer,2020,2.2
Drangedal,Sekundærnæringer,2020,1.5
Drangedal,Tertiærnæringer,2020,12.4
Fyresdal,Boliger,2020,9.5
Fyresdal,Husholdninger,2020,12.9
Fyresdal,Hytter og fritidshus,2020,3.4
Fyresdal,I alt,2020,22.3
Fyresdal,Primærnæringer,2020,0.3
Fyresdal,Sekundærnæringer,2020,3.9
Fyresdal,Tertiærnæringer,2020,5.3
Hjartdal,Boliger,2020,12.6
Hjartdal,Husholdninger,2020,23.4
Hjartdal,Hytter og fritidshus,2020,10.8
Hjartdal,I alt,2020,31.1
Hjartdal,Primærnæringer,2020,0.5
Hjartdal,Sekundærnæringer,2020,1.9
Hjartdal,Tertiærnæringer,2020,5.4
Kragerø,Boliger,2020,76.0
Kragerø,Husholdninger,2020,96.8
Kragerø,Hytter og fritidshus,2020,20.9
Kragerø,I alt,2020,220.4
Kragerø,Primærnæringer,2020,2.2
Kragerø,Sekundærnæringer,2020,81.4
Kragerø,Tertiærnæringer,2020,39.9
Kviteseid,Boliger,2020,20.2
Kviteseid,Husholdninger,2020,28.9
Kviteseid,Hytter og fritidshus,2020,8.7
Kviteseid,I alt,2020,44.7
Kviteseid,Primærnæringer,2020,0.2
Kviteseid,Sekundærnæringer,2020,3.0
Kviteseid,Tertiærnæringer,2020,12.6
Midt-Telemark,Boliger,2020,79.9
Midt-Telemark,Husholdninger,2020,85.8
Midt-Telemark,Hytter og fritidshus,2020,6.0
Midt-Telemark,I alt,2020,154.1
Midt-Telemark,Primærnæringer,2020,10.2
Midt-Telemark,Sekundærnæringer,2020,11.9
Midt-Telemark,Tertiærnæringer,2020,46.1
Nissedal,Boliger,2020,11.7
Nissedal,Husholdninger,2020,25.5
Nissedal,Hytter og fritidshus,2020,13.8
Nissedal,I alt,2020,34.9
Nissedal,Primærnæringer,2020,0.1
Nissedal,Sekundærnæringer,2020,3.0
Nissedal,Tertiærnæringer,2020,6.2
Nome,Boliger,2020,51.9
Nome,Husholdninger,2020,53.0
Nome,Hytter og fritidshus,2020,1.1
Nome,I alt,2020,102.1
Nome,Primærnæringer,2020,1.4
Nome,Sekundærnæringer,2020,29.7
Nome,Tertiærnæringer,2020,17.9
Notodden,Boliger,2020,99.3
Notodden,Husholdninger,2020,102.6
Notodden,Hytter og fritidshus,2020,3.3
Notodden,I alt,2020,187.3
Notodden,Primærnæringer,2020,0.9
Notodden,Sekundærnæringer,2020,26.9
Notodden,Tertiærnæringer,2020,56.9
Porsgrunn,Boliger,2020,268.3
Porsgrunn,Husholdninger,2020,274.4
Porsgrunn,Hytter og fritidshus,2020,6.1
Porsgrunn,I alt,2020,2118.1
Porsgrunn,Primærnæringer,2020,0.8
Porsgrunn,Sekundærnæringer,2020,1708.3
Porsgrunn,Tertiærnæringer,2020,134.6
Seljord,Boliger,2020,24.2
Seljord,Husholdninger,2020,28.9
Seljord,Hytter og fritidshus,2020,4.7
Seljord,I alt,2020,51.9
Seljord,Primærnæringer,2020,0.4
Seljord,Sekundærnæringer,2020,4.1
Seljord,Tertiærnæringer,2020,18.5
Siljan,Boliger,2020,17.8
Siljan,Husholdninger,2020,18.7
Siljan,Hytter og fritidshus,2020,0.8
Siljan,I alt,2020,25.1
Siljan,Primærnæringer,2020,0.6
Siljan,Sekundærnæringer,2020,1.2
Siljan,Tertiærnæringer,2020,4.6
Skien,Boliger,2020,401.1
Skien,Husholdninger,2020,403.1
Skien,Hytter og fritidshus,2020,2.0
Skien,I alt,2020,700.0
Skien,Primærnæringer,2020,2.9
Skien,Sekundærnæringer,2020,72.4
Skien,Tertiærnæringer,2020,221.5
Tinn,Boliger,2020,55.9
Tinn,Husholdninger,2020,84.8
Tinn,Hytter og fritidshus,2020,28.8
Tinn,I alt,2020,256.0
Tinn,Primærnæringer,2020,0.6
Tinn,Sekundærnæringer,2020,116.4
Tinn,Tertiærnæringer,2020,54.2
Tokke,Boliger,2020,18.8
Tokke,Husholdninger,2020,23.9
Tokke,Hytter og fritidshus,2020,5.0
Tokke,I alt,2020,40.7
Tokke,Primærnæringer,2020,0.2
Tokke,Sekundærnæringer,2020,4.9
Tokke,Tertiærnæringer,2020,11.7
Vinje,Boliger,2020,33.4
Vinje,Husholdninger,2020,83.4
Vinje,Hytter og fritidshus,2020,50.0
Vinje,I alt,2020,127.9
Vinje,Primærnæringer,2020,1.2
Vinje,Sekundærnæringer,2020,11.8
Vinje,Tertiærnæringer,2020,31.4
Bamble,Boliger,2021,113.5
Bamble,Husholdninger,2021,127.5
Bamble,Hytter og fritidshus,2021,14.0
Bamble,I alt,2021,1562.6
Bamble,Primærnæringer,2021,0.4
Bamble,Sekundærnæringer,2021,1373.7
Bamble,Tertiærnæringer,2021,60.9
Drangedal,Boliger,2021,29.8
Drangedal,Husholdninger,2021,40.1
Drangedal,Hytter og fritidshus,2021,10.3
Drangedal,I alt,2021,57.6
Drangedal,Primærnæringer,2021,2.0
Drangedal,Sekundærnæringer,2021,1.9
Drangedal,Tertiærnæringer,2021,13.6
Fyresdal,Boliger,2021,9.9
Fyresdal,Husholdninger,2021,13.9
Fyresdal,Hytter og fritidshus,2021,4.0
Fyresdal,I alt,2021,26.3
Fyresdal,Primærnæringer,2021,0.2
Fyresdal,Sekundærnæringer,2021,4.2
Fyresdal,Tertiærnæringer,2021,8.0
Hjartdal,Boliger,2021,13.1
Hjartdal,Husholdninger,2021,25.7
