Jaktår,Antall felte elg,Antall felte hjort
1986-1987,1912,4
1987-1988,1936,10
1988-1989,2019,8
1989-1990,2124,14
1990-1991,2306,12
1991-1992,2694,20
1992-1993,2939,36
1993-1994,3435,40
1994-1995,3477,27
1995-1996,3160,45
1996-1997,3447,45
1997-1998,3737,55
1998-1999,4321,77
1999-2000,4842,88
2000-2001,4573,101
2001-2002,4463,108
2002-2003,4298,154
2003-2004,4244,167
2004-2005,3726,204
2005-2006,3318,233
2006-2007,3025,293
2007-2008,3047,350
2008-2009,2817,0
2009-2010,2727,485
2010-2011,2716,512
2011-2012,2684,483
2012-2013,2426,530
2013-2014,2190,493
2014-2015,1849,520
2015-2016,1637,565
2016-2017,1614,566
2017-2018,1586,644
2018-2019,1571,547
2019-2020,1650,702
2020-2021,1889,750
2021-2022,1759,818
2022-2023,1676,959
2023-2024,1494,1047
