Dekning for fast bredbånd på kommunenivå;;;;;;;;;;;;;;;;;;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;;;;;;;;;;;;;;;;;;
Mobildekning (4G og 5G) er ikke inkludert i disse tabellene;;Teknologidekning;;;;;;;;Hastighet - alle teknologier på fast bredbånd;;;;;Hastighet uten DSL;;;;;Hastighet i kablede nett;;;;;Hastighet for FTB;
Kommune;Fylke;Fiber;Kabel-TV-nett;DSL;FTB;Fiber + kabel-TV-nett;Fiber + kabel-TV-nett + DSL;Fiber + kabel-TV-nett + FTB;Fast bredbånd totalt;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100;≥ 1000;≥ 1000/1000;;≥ 30;≥ 100
ARENDAL;AGDER;94,2 %;21,8 %;94,7 %;85,2 %;96,8 %;99,7 %;100,0 %;100,0 %;99,8 %;96,8 %;96,8 %;94,2 %;;99,8 %;96,8 %;96,8 %;94,2 %;;98 %;96,8 %;96,8 %;94,2 %;;85 %;0,0 %
BIRKENES;AGDER;86,0 %;1,5 %;83,2 %;28,3 %;86,0 %;96,9 %;98,7 %;99,1 %;94,4 %;86,0 %;86,0 %;86,0 %;;93,4 %;86,0 %;86,0 %;86,0 %;;90 %;86,0 %;86,0 %;86,0 %;;17 %;0,0 %
BYGLAND;AGDER;82,5 %;0,0 %;73,4 %;99,1 %;82,5 %;90,8 %;99,8 %;100,0 %;98,3 %;82,5 %;82,5 %;82,5 %;;98,3 %;82,5 %;82,5 %;82,5 %;;87 %;82,5 %;82,5 %;82,5 %;;94 %;0,0 %
BYKLE;AGDER;89,3 %;0,0 %;83,6 %;100,0 %;89,3 %;94,1 %;100,0 %;100,0 %;99,1 %;89,3 %;89,3 %;89,3 %;;99,1 %;89,3 %;89,3 %;89,3 %;;91 %;89,3 %;89,3 %;89,3 %;;97 %;0,0 %
EVJE OG HORNNES;AGDER;96,3 %;0,0 %;74,7 %;69,2 %;96,3 %;97,3 %;99,5 %;99,6 %;98,8 %;96,3 %;96,3 %;96,3 %;;98,8 %;96,3 %;96,3 %;96,3 %;;96 %;96,3 %;96,3 %;96,3 %;;66 %;0,0 %
FARSUND;AGDER;94,4 %;0,1 %;88,9 %;92,0 %;94,4 %;97,9 %;99,7 %;99,7 %;99,4 %;94,4 %;94,4 %;94,4 %;;99,4 %;94,4 %;94,4 %;94,4 %;;95 %;94,4 %;94,4 %;94,4 %;;91 %;0,0 %
FLEKKEFJORD;AGDER;96,1 %;0,0 %;93,1 %;83,3 %;96,1 %;98,3 %;99,4 %;99,5 %;98,7 %;96,1 %;96,1 %;96,1 %;;98,6 %;96,1 %;96,1 %;96,1 %;;98 %;96,1 %;96,1 %;96,1 %;;76 %;0,0 %
FROLAND;AGDER;88,3 %;2,4 %;83,2 %;83,7 %;88,3 %;97,4 %;99,8 %;99,9 %;98,5 %;88,3 %;88,3 %;88,3 %;;98,2 %;88,3 %;88,3 %;88,3 %;;91 %;88,3 %;88,3 %;88,3 %;;74 %;0,0 %
GJERSTAD;AGDER;73,9 %;0,1 %;91,8 %;99,3 %;73,9 %;97,8 %;99,8 %;99,9 %;97,1 %;73,9 %;73,9 %;73,9 %;;97,1 %;73,9 %;73,9 %;73,9 %;;81 %;73,9 %;73,9 %;73,9 %;;91 %;0,0 %
GRIMSTAD;AGDER;92,4 %;20,5 %;95,0 %;88,7 %;95,3 %;99,2 %;99,8 %;99,9 %;99,5 %;95,3 %;95,3 %;92,4 %;;99,4 %;95,3 %;95,3 %;92,4 %;;96 %;95,3 %;95,3 %;92,4 %;;88 %;0,0 %
HÆGEBOSTAD;AGDER;87,9 %;0,0 %;87,0 %;91,9 %;87,9 %;96,6 %;99,3 %;99,6 %;97,0 %;87,9 %;87,9 %;87,9 %;;97,0 %;87,9 %;87,9 %;87,9 %;;89 %;87,9 %;87,9 %;87,9 %;;73 %;0,0 %
IVELAND;AGDER;65,8 %;0,0 %;86,5 %;70,0 %;65,8 %;94,1 %;87,1 %;96,5 %;77,1 %;65,8 %;65,8 %;65,8 %;;74,1 %;65,8 %;65,8 %;65,8 %;;70 %;65,8 %;65,8 %;65,8 %;;45 %;0,0 %
KRISTIANSAND;AGDER;88,3 %;35,4 %;93,9 %;90,1 %;94,7 %;99,4 %;99,9 %;100,0 %;99,6 %;94,9 %;94,7 %;88,3 %;;99,6 %;94,9 %;94,7 %;88,3 %;;96 %;94,7 %;94,7 %;88,3 %;;89 %;2,5 %
KVINESDAL;AGDER;90,5 %;0,0 %;81,2 %;65,9 %;90,5 %;96,6 %;99,2 %;99,5 %;95,8 %;90,5 %;90,5 %;90,5 %;;95,7 %;90,5 %;90,5 %;90,5 %;;92 %;90,5 %;90,5 %;90,5 %;;53 %;0,0 %
LILLESAND;AGDER;94,9 %;5,2 %;92,7 %;91,2 %;95,0 %;99,2 %;99,8 %;99,9 %;99,4 %;95,0 %;95,0 %;94,9 %;;99,3 %;95,0 %;95,0 %;94,9 %;;96 %;95,0 %;95,0 %;94,9 %;;90 %;0,0 %
