Dekning for 4G og 5G på kommunenivå;;;;;;;;;
Tettbygd og spredtbygd samlet;;;;;;;;;
;;4G;;5G;;4G + 5G;;Tidligere års metode (- 110 dBm) (utendørsdekning);
Kommune;Fylke;≥ 30;≥ 100;≥ 30;≥ 100;≥ 30;≥ 100;4G;5G
ARENDAL;AGDER;99,7 %;93,0 %;56,7 %;15,1 %;99,7 %;93,1 %;100,0 %;66,3 %
BIRKENES;AGDER;92,3 %;51,5 %;0,4 %;0,0 %;92,3 %;51,5 %;100,0 %;0,6 %
BYGLAND;AGDER;96,3 %;77,9 %;0,0 %;0,0 %;96,3 %;77,9 %;100,0 %;0,0 %
BYKLE;AGDER;99,6 %;71,0 %;0,0 %;0,0 %;99,6 %;71,0 %;100,0 %;0,2 %
EVJE OG HORNNES;AGDER;94,9 %;77,6 %;74,3 %;0,0 %;94,9 %;77,6 %;100,0 %;77,1 %
FARSUND;AGDER;96,2 %;61,3 %;0,0 %;0,0 %;96,2 %;61,3 %;100,0 %;0,0 %
FLEKKEFJORD;AGDER;97,6 %;78,4 %;0,0 %;0,0 %;97,6 %;78,4 %;100,0 %;0,0 %
FROLAND;AGDER;97,3 %;69,1 %;0,0 %;0,0 %;97,3 %;69,1 %;100,0 %;0,0 %
GJERSTAD;AGDER;97,7 %;62,2 %;0,1 %;0,0 %;97,7 %;62,2 %;100,0 %;3,1 %
GRIMSTAD;AGDER;99,4 %;93,1 %;27,7 %;2,4 %;99,4 %;93,1 %;100,0 %;64,3 %
HÆGEBOSTAD;AGDER;92,3 %;58,1 %;0,0 %;0,0 %;92,3 %;58,1 %;100,0 %;0,0 %
IVELAND;AGDER;82,1 %;19,5 %;14,4 %;0,0 %;82,3 %;19,5 %;100,0 %;20,2 %
KRISTIANSAND;AGDER;98,8 %;75,6 %;87,3 %;74,8 %;98,9 %;88,1 %;100,0 %;92,2 %
KVINESDAL;AGDER;96,1 %;66,1 %;0,7 %;0,0 %;96,1 %;66,1 %;100,0 %;0,9 %
LILLESAND;AGDER;98,6 %;87,0 %;30,4 %;0,0 %;98,6 %;87,0 %;100,0 %;37,2 %
LINDESNES;AGDER;93,4 %;63,5 %;22,3 %;0,0 %;93,4 %;63,5 %;99,8 %;32,0 %
LYNGDAL;AGDER;94,2 %;68,6 %;0,0 %;0,0 %;94,2 %;68,6 %;100,0 %;0,0 %
RISØR;AGDER;99,2 %;89,2 %;0,0 %;0,0 %;99,2 %;89,2 %;100,0 %;1,4 %
SIRDAL;AGDER;97,7 %;72,0 %;0,0 %;0,0 %;97,7 %;72,0 %;100,0 %;0,0 %
TVEDESTRAND;AGDER;98,6 %;72,1 %;12,1 %;0,0 %;98,6 %;72,1 %;100,0 %;15,3 %
VALLE;AGDER;98,4 %;45,9 %;0,0 %;0,0 %;98,4 %;45,9 %;100,0 %;0,0 %
VEGÅRSHEI;AGDER;90,9 %;18,4 %;0,0 %;0,0 %;90,9 %;18,4 %;100,0 %;0,0 %
VENNESLA;AGDER;96,9 %;70,7 %;32,3 %;0,0 %;96,9 %;70,7 %;100,0 %;34,9 %
ÅMLI;AGDER;90,3 %;56,1 %;0,0 %;0,0 %;90,3 %;56,1 %;99,4 %;0,0 %
ÅSERAL;AGDER;91,3 %;46,5 %;0,0 %;0,0 %;91,3 %;46,5 %;99,5 %;0,0 %
ALVDAL;INNLANDET;97,5 %;46,1 %;7,3 %;0,0 %;97,5 %;46,1 %;100,0 %;94,7 %
DOVRE;INNLANDET;99,8 %;70,8 %;0,0 %;0,0 %;99,8 %;70,8 %;100,0 %;1,5 %
EIDSKOG;INNLANDET;95,4 %;47,6 %;61,5 %;13,3 %;95,5 %;51,7 %;100,0 %;99,7 %
ELVERUM;INNLANDET;98,5 %;66,6 %;64,9 %;34,0 %;98,5 %;68,3 %;100,0 %;100,0 %
ENGERDAL;INNLANDET;75,6 %;18,4 %;13,2 %;0,0 %;75,6 %;18,4 %;99,5 %;34,9 %
ETNEDAL;INNLANDET;96,2 %;38,6 %;55,6 %;0,0 %;96,2 %;38,6 %;100,0 %;99,5 %
FOLLDAL;INNLANDET;94,0 %;68,0 %;87,2 %;67,7 %;94,0 %;71,2 %;100,0 %;99,6 %
GAUSDAL;INNLANDET;99,6 %;70,3 %;67,8 %;0,0 %;99,6 %;70,3 %;100,0 %;95,4 %
GJØVIK;INNLANDET;99,4 %;74,3 %;70,5 %;9,3 %;99,4 %;74,4 %;100,0 %;99,4 %
GRAN;INNLANDET;99,3 %;60,6 %;80,0 %;0,0 %;99,3 %;60,6 %;100,0 %;100,0 %
GRUE;INNLANDET;92,3 %;33,1 %;31,3 %;29,3 %;92,3 %;46,2 %;100,0 %;98,6 %
HAMAR;INNLANDET;100,0 %;83,4 %;79,4 %;60,3 %;100,0 %;89,2 %;100,0 %;100,0 %
KONGSVINGER;INNLANDET;97,9 %;70,3 %;76,4 %;42,5 %;97,9 %;73,8 %;100,0 %;98,4 %
LESJA;INNLANDET;99,2 %;45,4 %;36,1 %;0,0 %;99,2 %;45,4 %;100,0 %;53,0 %
LILLEHAMMER;INNLANDET;99,9 %;82,3 %;92,1 %;53,7 %;99,9 %;85,7 %;100,0 %;99,6 %
LOM;INNLANDET;97,0 %;34,4 %;0,1 %;0,0 %;97,0 %;34,4 %;100,0 %;0,1 %
LØTEN;INNLANDET;98,8 %;53,9 %;72,9 %;41,0 %;98,8 %;59,8 %;100,0 %;100,0 %
NORD-AURDAL;INNLANDET;100,0 %;80,4 %;23,2 %;0,0 %;100,0 %;80,4 %;100,0 %;98,9 %
NORD-FRON;INNLANDET;98,4 %;64,9 %;25,0 %;0,0 %;98,4 %;64,9 %;100,0 %;81,1 %
NORD-ODAL;INNLANDET;97,0 %;55,5 %;68,4 %;8,0 %;97,0 %;55,9 %;100,0 %;100,0 %
NORDRE LAND;INNLANDET;96,3 %;57,5 %;57,6 %;51,2 %;96,3 %;63,3 %;100,0 %;84,5 %
OS (INNLANDET);INNLANDET;93,8 %;55,2 %;31,8 %;0,0 %;93,8 %;55,2 %;100,0 %;91,1 %
RENDALEN;INNLANDET;92,7 %;41,2 %;49,3 %;0,0 %;92,7 %;41,2 %;100,0 %;92,2 %
RINGEBU;INNLANDET;99,9 %;86,7 %;90,3 %;57,7 %;99,9 %;88,6 %;100,0 %;99,3 %
RINGSAKER;INNLANDET;99,0 %;61,6 %;73,2 %;6,8 %;99,0 %;63,8 %;100,0 %;100,0 %
SEL;INNLANDET;98,9 %;59,0 %;0,0 %;0,0 %;98,9 %;59,0 %;100,0 %;0,8 %
SKJÅK;INNLANDET;98,6 %;29,4 %;7,0 %;0,0 %;98,6 %;29,4 %;100,0 %;9,5 %
STANGE;INNLANDET;96,7 %;55,5 %;65,1 %;18,5 %;96,8 %;61,2 %;100,0 %;99,8 %
