10484: Persontransport med jernbane, etter år, statistikkvariabel og togstrekning;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Passasjerer (påstigninger);;Transportarbeid (passasjerkm);;;;;;;;;;
;260 InterCity - Oslo-Skien;321 Sørlandsbanen;260 InterCity - Oslo-Skien;321 Sørlandsbanen;;;260 InterCity - Oslo-Skien;321 Sørlandsbanen;;;;260 InterCity - Oslo-Skien;321 Sørlandsbanen
2015;4634886;980529;301463776;274499861;;2015;301464;274500;;;2015;301464;274500
2016;4883060;1014556;320031747;289752778;;2016;320032;289753;;;2016;320032;289753
2017;6483619;963356;376868728;256265351;;2017;376869;256265;;;2017;376869;256265
2018;6793149;984917;382598734;258418900;;2018;382599;258419;;;2018;382599;258419
2019;7825452;1024564;420172278;262914111;;2019;420172;262914;;;2019;420172;262914
2020;4039189;442996;213404149;134705604;;2020;213404;134706;;;2020;213404;134706
2021;3920960;381908;200883425;98151109;;2021;200883;98151;;;2021;200883;98151
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Sist endret:;;;;;;;;;;;;;
Passasjerer (påstigninger):;;;;;;;;;;;;;
20220608 08:00;;;;;;;;;;;;;
Transportarbeid (passasjerkm):;;;;;;;;;;;;;
20220608 08:00;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kilde:;;;;;;;;;;;;;
Statistisk sentralbyrå;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kontakt:;;;;;;;;;;;;;
Passasjerer (påstigninger):;;;;;;;;;;;;;
Jan Sebastian Rothe, Statistisk sentralbyrå;;;;;;;;;;;;;
 +47 91 31 99 06;;;;;;;;;;;;;
jsr@ssb.no;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Copyright;;;;;;;;;;;;;
;;;;;;;;;;;;;
Måleenhet:;;;;;;;;;;;;;
Passasjerer (påstigninger):;;;;;;;;;;;;;
personer;;;;;;;;;;;;;
Transportarbeid (passasjerkm):;;;;;;;;;;;;;
passasjerkm;;;;;;;;;;;;;
Målemetode:;;;;;;;;;;;;;
Passasjerer (påstigninger):;;;;;;;;;;;;;
Forløp (periodesum);;;;;;;;;;;;;
Transportarbeid (passasjerkm):;;;;;;;;;;;;;
Forløp (periodesum);;;;;;;;;;;;;
;;;;;;;;;;;;;
Referansetid:;;;;;;;;;;;;;
Passasjerer (påstigninger);;;;;;;;;;;;;
01.01-31.12;;;;;;;;;;;;;
Transportarbeid (passasjerkm);;;;;;;;;;;;;
01.01-31.12;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Database:;;;;;;;;;;;;;
Ekstern PRODUKSJON;;;;;;;;;;;;;
;;;;;;;;;;;;;
Intern referansekode:;;;;;;;;;;;;;
Passasjerer;;;;;;;;;;;;;
