"11616: Sysselsatte per 4. kvartal, etter region, statistikkvariabel og år"

"region";"Sysselsatte personer bosatt i regionen 2021";"Personer som pendler inn i regionen 2021";"Personer som pendler ut av regionen 2021";"Sysselsatte personer med arbeidssted i regionen 2021"
"3801 Horten";12807;4367;5814;11360
"3802 Holmestrand";12783;2826;7648;7961
"3803 Tønsberg";29491;15843;11997;33337
"3804 Sandefjord";31029;10487;11000;30516
"3805 Larvik";22538;4847;8005;19380
"3806 Porsgrunn";17437;8847;8787;17497
"3807 Skien";26245;9294;8924;26615
"3808 Notodden";6143;1310;1835;5618
"3811 Færder";12676;2686;7934;7428
"3812 Siljan";1174;200;849;525
"3813 Bamble";6656;2058;3748;4966
"3814 Kragerø";4665;818;1286;4197
"3815 Drangedal";1937;203;885;1255
"3816 Nome";3050;618;1448;2220
"3817 Midt-Telemark";4871;1229;1699;4401
"3818 Tinn";2758;326;508;2576
"3819 Hjartdal";760;322;360;722
"3820 Seljord";1428;515;525;1418
"3821 Kviteseid";1244;346;539;1051
"3822 Nissedal";697;173;219;651
"3823 Fyresdal";623;76;194;505
"3824 Tokke";1134;324;454;1004
"3825 Vinje";2016;423;561;1878
