Kommune;Periode;År;Måned;Passasjerer
Agder;2025/03;2025;3;79
Bamble;2025/03;2025;3;39 707
Drangedal;2025/03;2025;3;7 279
Fyresdal;2025/03;2025;3;1 153
Hjartdal;2025/03;2025;3;2 369
Kragerø;2025/03;2025;3;30 085
Kviteseid;2025/03;2025;3;4 641
Midt-Telemark;2025/03;2025;3;22 852
Nissedal;2025/03;2025;3;2 084
Nome;2025/03;2025;3;16 378
Notodden;2025/03;2025;3;22 641
Porsgrunn;2025/03;2025;3;188 267
Seljord;2025/03;2025;3;5 847
Siljan;2025/03;2025;3;5 621
Skien;2025/03;2025;3;251 103
Tinn;2025/03;2025;3;13 476
Tokke;2025/03;2025;3;5 022
Vinje;2025/03;2025;3;6 546
Agder;2025/02;2025;2;59
Bamble;2025/02;2025;2;32 097
Drangedal;2025/02;2025;2;5 296
Fyresdal;2025/02;2025;2;697
Hjartdal;2025/02;2025;2;1 752
Kragerø;2025/02;2025;2;23 880
Kviteseid;2025/02;2025;2;3 464
Midt-Telemark;2025/02;2025;2;18 336
Nissedal;2025/02;2025;2;1 558
Nome;2025/02;2025;2;12 817
Notodden;2025/02;2025;2;19 256
Porsgrunn;2025/02;2025;2;159 542
Seljord;2025/02;2025;2;4 770
Siljan;2025/02;2025;2;4 532
Skien;2025/02;2025;2;218 828
Tinn;2025/02;2025;2;10 790
Tokke;2025/02;2025;2;3 333
Vinje;2025/02;2025;2;5 377
Agder;2025/01;2025;1;74
Bamble;2025/01;2025;1;45 310
Drangedal;2025/01;2025;1;6 893
Fyresdal;2025/01;2025;1;1 114
Hjartdal;2025/01;2025;1;2 399
Kragerø;2025/01;2025;1;23 514
Kviteseid;2025/01;2025;1;4 504
Midt-Telemark;2025/01;2025;1;22 850
Nissedal;2025/01;2025;1;1 821
Nome;2025/01;2025;1;16 942
Notodden;2025/01;2025;1;24 074
Porsgrunn;2025/01;2025;1;183 134
Seljord;2025/01;2025;1;5 774
Siljan;2025/01;2025;1;5 642
Skien;2025/01;2025;1;256 372
Tinn;2025/01;2025;1;14 017
Tokke;2025/01;2025;1;4 595
Vinje;2025/01;2025;1;7 135
Agder;2024/12;2024;12;61
Bamble;2024/12;2024;12;37 956
Drangedal;2024/12;2024;12;5 439
Fyresdal;2024/12;2024;12;770
Hjartdal;2024/12;2024;12;1 709
Kragerø;2024/12;2024;12;23 069
Kviteseid;2024/12;2024;12;3 350
Midt-Telemark;2024/12;2024;12;18 343
Nissedal;2024/12;2024;12;1 351
Nome;2024/12;2024;12;13 978
Notodden;2024/12;2024;12;18 348
Porsgrunn;2024/12;2024;12;151 626
Seljord;2024/12;2024;12;4 963
Siljan;2024/12;2024;12;4 626
Skien;2024/12;2024;12;210 675
Tinn;2024/12;2024;12;10 732
Tokke;2024/12;2024;12;3 418
Vinje;2024/12;2024;12;4 759
Agder;2024/11;2024;11;79
Bamble;2024/11;2024;11;49 124
Drangedal;2024/11;2024;11;7 583
Fyresdal;2024/11;2024;11;1 026
Hjartdal;2024/11;2024;11;2 411
Kragerø;2024/11;2024;11;29 564
Kviteseid;2024/11;2024;11;4 345
Midt-Telemark;2024/11;2024;11;24 571
Nissedal;2024/11;2024;11;2 099
Nome;2024/11;2024;11;18 226
Notodden;2024/11;2024;11;23 869
Porsgrunn;2024/11;2024;11;189 723
Seljord;2024/11;2024;11;6 191
Siljan;2024/11;2024;11;6 010
Skien;2024/11;2024;11;263 058
Tinn;2024/11;2024;11;14 324
Tokke;2024/11;2024;11;4 869
Vinje;2024/11;2024;11;6 679
Agder;2024/10;2024;10;80
Bamble;2024/10;2024;10;45 499
Drangedal;2024/10;2024;10;6 445
Fyresdal;2024/10;2024;10;980
Hjartdal;2024/10;2024;10;1 960
Kragerø;2024/10;2024;10;29 181
Kviteseid;2024/10;2024;10;3 726
Midt-Telemark;2024/10;2024;10;21 966
Nissedal;2024/10;2024;10;1 758
Nome;2024/10;2024;10;17 886
Notodden;2024/10;2024;10;21 694
Porsgrunn;2024/10;2024;10;181 080
Seljord;2024/10;2024;10;5 883
Siljan;2024/10;2024;10;5 752
Skien;2024/10;2024;10;246 836
Tinn;2024/10;2024;10;12 695
Tokke;2024/10;2024;10;4 463
Vinje;2024/10;2024;10;6 233
Agder;2024/09;2024;9;83
Bamble;2024/09;2024;9;46 289
Drangedal;2024/09;2024;9;7 394
Fyresdal;2024/09;2024;9;1 042
Hjartdal;2024/09;2024;9;2 108
Kragerø;2024/09;2024;9;31 708
Kviteseid;2024/09;2024;9;3 952
Midt-Telemark;2024/09;2024;9;22 647
Nissedal;2024/09;2024;9;1 979
Nome;2024/09;2024;9;18 468
Notodden;2024/09;2024;9;20 053
Porsgrunn;2024/09;2024;9;180 068
Seljord;2024/09;2024;9;6 464
Siljan;2024/09;2024;9;5 437
Skien;2024/09;2024;9;244 156
Tinn;2024/09;2024;9;12 757
Tokke;2024/09;2024;9;5 472
Vinje;2024/09;2024;9;7 070
Agder;2024/08;2024;8;110
Bamble;2024/08;2024;8;35 824
Drangedal;2024/08;2024;8;4 026
Fyresdal;2024/08;2024;8;634
Hjartdal;2024/08;2024;8;978
Kragerø;2024/08;2024;8;38 434
Kviteseid;2024/08;2024;8;2 372
Midt-Telemark;2024/08;2024;8;16 558
Nissedal;2024/08;2024;8;1 072
Nome;2024/08;2024;8;12 565
Notodden;2024/08;2024;8;17 600
Porsgrunn;2024/08;2024;8;150 626
Seljord;2024/08;2024;8;4 343
Siljan;2024/08;2024;8;3 216
Skien;2024/08;2024;8;193 085
Tinn;2024/08;2024;8;8 368
Tokke;2024/08;2024;8;2 534
Vinje;2024/08;2024;8;3 996
Agder;2024/07;2024;7;186
Bamble;2024/07;2024;7;24 952
Drangedal;2024/07;2024;7;867
Fyresdal;2024/07;2024;7;159
Kragerø;2024/07;2024;7;64 647
Kviteseid;2024/07;2024;7;471
Midt-Telemark;2024/07;2024;7;9 386
Nissedal;2024/07;2024;7;112
Nome;2024/07;2024;7;6 941
Notodden;2024/07;2024;7;7 249
Porsgrunn;2024/07;2024;7;105 494
Seljord;2024/07;2024;7;2 162
Siljan;2024/07;2024;7;1 259
Skien;2024/07;2024;7;122 036
Tinn;2024/07;2024;7;3 358
Tokke;2024/07;2024;7;500
Vinje;2024/07;2024;7;683
Agder;2024/06;2024;6;55
Bamble;2024/06;2024;6;36 599
Drangedal;2024/06;2024;6;4 884
Fyresdal;2024/06;2024;6;742
Hjartdal;2024/06;2024;6;1 034
Kragerø;2024/06;2024;6;38 990
Kviteseid;2024/06;2024;6;2 729
Midt-Telemark;2024/06;2024;6;15 347
Nissedal;2024/06;2024;6;941
Nome;2024/06;2024;6;12 202
Notodden;2024/06;2024;6;13 364
Porsgrunn;2024/06;2024;6;150 421
Seljord;2024/06;2024;6;4 349
Siljan;2024/06;2024;6;4 244
Skien;2024/06;2024;6;188 210
Tinn;2024/06;2024;6;8 982
Tokke;2024/06;2024;6;2 264
Vinje;2024/06;2024;6;3 958
Agder;2024/05;2024;5;50
Bamble;2024/05;2024;5;41 487
Drangedal;2024/05;2024;5;6 593
Fyresdal;2024/05;2024;5;1 014
Hjartdal;2024/05;2024;5;1 670
Kragerø;2024/05;2024;5;38 746
