Gruppe / kommune,Kommune-nummer,Innb. totalt pr. 1. januar,Besøk totalt,Besøk pr. innb.,Arr. totalt,Arr. frammøtte,Arr. frammøtte pr. 100 innb.,Egne arr. totalt,Egne arr. frammøtte,Egne arr. frammøtte pr. 100 innb.,Eksternes arr. totalt,Eksternes arr. frammøtte,Eksternes arr frammøtte pr. 100 innb.
Horten,3801,27502,156385,5.686313722638354,340,9637,35.04108792087848,230,8242,29.96872954694204,110,1395,5.072358373936441
Holmestrand,3802,25681,99985,3.8933452747167165,379,4662,18.153498695533663,272,2978,11.596121646353335,107,1684,6.557377049180328
Tønsberg og Færder,3803,84959,315154,3.7094833978742687,566,10943,12.880330512364788,371,7075,8.327546228180651,195,3868,4.552784284184136
Sandefjord,3804,64943,246117,3.7897386939316013,312,7619,11.731826370817487,270,7048,10.852593813036046,42,571,0.8792325577814392
Larvik,3805,47777,173136,3.6238357368608325,520,10055,21.045691441488582,461,9197,19.24984825334366,59,858,1.7958431881449233
Porsgrunn,3806,36624,123493,3.3719145915246833,138,3630,9.911533420707732,118,3059,8.352446483180428,20,571,1.5590869375273044
Skien,3807,55513,110044,1.9823104498045503,432,9987,17.990380631563777,373,9080,16.35652910129159,59,907,1.6338515302721885
Notodden,3808,13029,121600,9.333026325888403,171,4733,36.32665592140609,160,4438,34.062476015043366,11,295,2.2641799063627293
Siljan,3812,2349,1673,0.7122179650915283,22,482,20.5193699446573,22,482,20.5193699446573,0,0,0
Bamble,3813,14056,36543,2.5998150256118384,106,2601,18.504553215708594,98,2484,17.67216846898122,8,117,0.8323847467273762
Kragerø,3814,10351,33503,3.236692107042798,123,3877,37.455318326731714,123,3877,37.455318326731714,0,0,0
Drangedal,3815,4093,12918,3.1561202052284387,13,250,6.10798924993892,13,250,6.10798924993892,0,0,0
Nome,3816,6494,21140,3.2553125962426854,44,684,10.53279950723745,31,625,9.624268555589776,13,59,0.9085309516476747
Midt-Telemark,3817,10539,20500,1.945156086915267,59,678,6.433247936236834,58,657,6.23398804440649,1,21,0.19925989183034443
Tinn,3818,5512,14245,2.5843613933236576,14,316,5.732946298984035,13,301,5.460812772133527,1,15,0.27213352685050796
Hjartdal,3819,1562,1930,1.235595390524968,7,257,16.45326504481434,7,257,16.45326504481434,0,0,0
Seljord,3820,2889,10680,3.6967808930425754,18,486,16.822429906542055,18,486,16.822429906542055,0,0,0
Kviteseid,3821,2452,4000,1.6313213703099512,0,0,0,0,0,0,0,0,0
Nissedal,3822,1414,2259,1.5975954738330975,44,531,37.55304101838755,39,486,34.37057991513437,5,45,3.1824611032531824
Fyresdal,3823,1198,3591,2.9974958263772953,2,46,3.8397328881469117,2,46,3.8397328881469117,0,0,0
Tokke,3824,2140,16325,7.628504672897196,70,1434,67.00934579439253,41,1107,51.728971962616825,29,327,15.280373831775702
Vinje,3825,3755,6669,1.7760319573901464,78,1187,31.611185086551266,78,1187,31.611185086551266,0,0,0
