Kommune;Stor grad av trivsel i nærmiljøet;Kulturtilbud -god eller svært god tilgang;Idrettstilbud -god eller svært god tilgang;Butikker, spisesteder og andre servicetilbud -god eller svært god tilgang;Offentlig transport -god eller svært god tilgang;Natur- og friluftsområder -god eller svært god tilgang;Kystlinje/strand/sjø -god eller svært god tilgang;Gang- og sykkelveier -godt eller svært godt utbygde;Ukentlig deltakelse i organisert aktivitet;Ukentlig deltakelse i annen aktivitet;God eller svært god helse;God eller svært god tannhelse;Mer enn 2 år siden du var hos tannlege/-pleier;Fedme KMI 30+;HSCL-5 >2;Søvnproblemer Insomni;I stor grad påvirket grunnet helseproblemer;Stor grad av funksjonsnedsettelse grunnet skade;Nakkesmerter siste 28 dager;Korsryggsmerter siste 28 dager;Høy sosial støtte;Ensomhet UCLA-3;Sammen med gode venner ukentlig eller oftere;Minst 30 minutter moderat fysisk aktivitet 4+ dager i uken;Sukkerholdig brus/leskedrikk 2-3 ganger i uken eller oftere;Frukt eller bær daglig eller oftere;Grønnsaker daglig eller oftere;Fisk 2-3 ganger i uken eller oftere;Daglig røyking;Daglig snusing;Drikker alkohol 2 ganger i uken eller oftere;Episodisk høyt alkoholforbruk månedlig eller oftere;Utsatt for skade selvrapport siste 12 måneder;Plaget av støy fra trafikk hjemme;Plaget av annen støy hjemme;Andel med økonomiske vansker
Bamble;0,763;0,593;0,777;0,772;0,565;0,946;0,953;0,584;0,268;0,419;0,668;0,701;0,099;0,192;0,164;0,16;0,165;0,099;0,402;0,481;0,357;0,124;0,498;0,195;0,294;0,281;0,418;0,465;0,094;0,121;0,204;0,165;0,162;0,101;0,096;0,189
Drangedal;0,712;0,539;0,593;0,545;0,136;0,938;0,679;0,222;0,256;0,373;0,653;0,667;0,115;0,219;0,14;0,123;0,135;0,074;0,42;0,425;0,361;0,145;0,51;0,154;0,356;0,304;0,357;0,432;0,12;0,127;0,155;0,146;0,188;0,074;0,069;0,2
Fyresdal;0,732;0,582;0,893;0,734;0,101;0;0,854;0,521;0,239;0,407;0,745;0,653;0,183;0,222;0,121;0,121;0,131;0,068;0,344;0,369;0,447;0,122;0,524;0,202;0,338;0,349;0,42;0,416;0,113;0,125;0,156;0,177;0,147;0;0,051;0,197
Færder;0,798;0,804;0,72;0,862;0,689;0,939;0,886;0,748;0,27;0,481;0,749;0,756;0,116;0,151;0,129;0,123;0,11;0,055;0,397;0,423;0,379;0,091;0,51;0,215;0,223;0,368;0,545;0,547;0,068;0,125;0,358;0,193;0,162;0,081;0,076;0,167
Hjartdal;0,671;0,329;0,44;0,528;0,125;0;0,326;0,234;0,214;0,337;0,649;0,649;0,105;0,293;0,116;0,119;0,141;0,06;0,404;0,446;0,379;0,102;0,55;0,176;0,373;0,302;0,398;0,373;0,113;0,095;0,139;0,111;0,19;0,123;0,053;0,25
Holmestrand;0,751;0,435;0,756;0,746;0,424;0,909;0,884;0,578;0,246;0,413;0,705;0,729;0,129;0,208;0,148;0,132;0,138;0,068;0,448;0,46;0,341;0,123;0,46;0,205;0,276;0,331;0,481;0,495;0,089;0,112;0,232;0,127;0,181;0,139;0,095;0,186
Horten;0,762;0,863;0,84;0,866;0,606;0,948;0,958;0,808;0,25;0,501;0,693;0,712;0,123;0,209;0,155;0,135;0,132;0,053;0,433;0,453;0,35;0,119;0,504;0,214;0,256;0,347;0,507;0,517;0,102;0,122;0,273;0,17;0,164;0,095;0,098;0,186
Kragerø;0,768;0,548;0,756;0,811;0,265;0,919;0,939;0,426;0,263;0,529;0,732;0,745;0,095;0,18;0,133;0,136;0,142;0,062;0,405;0,47;0,376;0,115;0,593;0,207;0,24;0,378;0,513;0,543;0,095;0,11;0,249;0,207;0,162;0,093;0,057;0,166
Kviteseid;0,716;0,248;0,535;0,504;0,103;0,937;0,731;0,158;0,264;0,387;0,697;0,756;0,134;0,203;0,118;0,094;0,11;0,049;0,384;0,401;0,429;0,102;0,56;0,186;0,333;0,374;0,464;0,469;0,121;0,099;0,161;0,125;0,157;0,074;0,036;0,168
Larvik;0,771;0,828;0,837;0,837;0,493;0,943;0,928;0,54;0,275;0,47;0,704;0,738;0,119;0,202;0,142;0,125;0,132;0,063;0,43;0,439;0,364;0,118;0,513;0,207;0,262;0,315;0,484;0,493;0,092;0,123;0,247;0,164;0,172;0,109;0,076;0,191
