Kommune,År (intervall),År,Kjønn,Foreldrenes utdanningsnivå,Innvandringsbakgrunn,Måltall,Antall,SortKommune
Hele landet,2014-2016,2016-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.8,2
Hele landet,2014-2016,2016-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.2,2
Hele landet,2014-2016,2016-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.4,2
Hele landet,2014-2016,2016-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.6,2
Hele landet,2015-2017,2017-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.1,2
Hele landet,2015-2017,2017-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.7,2
Hele landet,2015-2017,2017-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.6,2
Hele landet,2015-2017,2017-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.8,2
Hele landet,2016-2018,2018-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.5,2
Hele landet,2016-2018,2018-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.1,2
Hele landet,2016-2018,2018-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.9,2
Hele landet,2016-2018,2018-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.1,2
Hele landet,2017-2019,2019-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.7,2
Hele landet,2017-2019,2019-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.4,2
Hele landet,2017-2019,2019-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.1,2
Hele landet,2017-2019,2019-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.3,2
Hele landet,2018-2020,2020-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.3,2
Hele landet,2018-2020,2020-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.9,2
Hele landet,2018-2020,2020-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.7,2
Hele landet,2018-2020,2020-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.8,2
Hele landet,2019-2021,2021-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.8,2
Hele landet,2019-2021,2021-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.4,2
Hele landet,2019-2021,2021-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.2,2
Hele landet,2019-2021,2021-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),45.2,2
Hele landet,2020-2022,2022-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.3,2
Hele landet,2020-2022,2022-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.9,2
Hele landet,2020-2022,2022-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.6,2
Hele landet,2020-2022,2022-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),45.6,2
Hele landet,2021-2023,2023-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.0,2
Hele landet,2021-2023,2023-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.7,2
Hele landet,2021-2023,2023-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.3,2
Hele landet,2021-2023,2023-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),45.3,2
Hele landet,2022-2024,2024-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.7,2
Hele landet,2022-2024,2024-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.3,2
Hele landet,2022-2024,2024-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.8,2
Hele landet,2022-2024,2024-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),45.0,2
Hele landet,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.3,2
Hele landet,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.8,2
Hele landet,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.4,2
Hele landet,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.6,2
Telemark,2014-2016,2016-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.7,1
Telemark,2014-2016,2016-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),33.7,1
Telemark,2014-2016,2016-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),37.7,1
Telemark,2014-2016,2016-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.9,1
Telemark,2015-2017,2017-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.2,1
Telemark,2015-2017,2017-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.5,1
Telemark,2015-2017,2017-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.0,1
Telemark,2015-2017,2017-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.2,1
Telemark,2016-2018,2018-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.6,1
Telemark,2016-2018,2018-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.0,1
Telemark,2016-2018,2018-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.3,1
Telemark,2016-2018,2018-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.6,1
Telemark,2017-2019,2019-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.7,1
Telemark,2017-2019,2019-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.6,1
Telemark,2017-2019,2019-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.6,1
Telemark,2017-2019,2019-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.5,1
Telemark,2018-2020,2020-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.2,1
Telemark,2018-2020,2020-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.9,1
Telemark,2018-2020,2020-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.1,1
Telemark,2018-2020,2020-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.9,1
Telemark,2019-2021,2021-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.7,1
Telemark,2019-2021,2021-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.1,1
Telemark,2019-2021,2021-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.7,1
Telemark,2019-2021,2021-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.4,1
Telemark,2020-2022,2022-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.4,1
Telemark,2020-2022,2022-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.5,1
Telemark,2020-2022,2022-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.2,1
Telemark,2020-2022,2022-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.9,1
Telemark,2021-2023,2023-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.2,1
Telemark,2021-2023,2023-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.0,1
Telemark,2021-2023,2023-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.0,1
Telemark,2021-2023,2023-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.8,1
Telemark,2022-2024,2024-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.7,1
Telemark,2022-2024,2024-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.2,1
Telemark,2022-2024,2024-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.4,1
