Kommune,Skoleår,Kjønn,Foreldrenes utdanningsnivå,Innvandringsbakgrunn,Mestringsnivå,Klassetrinn,Måltall,Andel,SortKommune
Hele landet,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.249,2
Hele landet,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.111,2
Hele landet,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.26899999999999996,2
Hele landet,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.114,2
Telemark,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.266,1
Telemark,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.121,1
Telemark,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.297,1
Telemark,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.12300000000000001,1
Porsgrunn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.235,13
Porsgrunn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.109,13
Porsgrunn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.258,13
Porsgrunn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.10400000000000001,13
Skien,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.247,16
Skien,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.09300000000000001,16
Skien,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.27399999999999997,16
Skien,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.10099999999999999,16
Notodden,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.305,12
Notodden,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.214,12
Notodden,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.345,12
Notodden,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.213,12
Siljan,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.27699999999999997,15
Siljan,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.11599999999999999,15
Siljan,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.369,15
Siljan,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.11,15
Bamble,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.261,3
Bamble,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.13,3
Bamble,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.271,3
Bamble,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.136,3
Kragerø,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.19699999999999998,7
Kragerø,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.11599999999999999,7
Kragerø,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.203,7
Kragerø,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.11599999999999999,7
Drangedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.198,4
Drangedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.113,4
Drangedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.257,4
Drangedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.13,4
Nome,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.318,11
Nome,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.122,11
Nome,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.375,11
Nome,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.132,11
Midt-Telemark,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.311,9
Midt-Telemark,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.145,9
Midt-Telemark,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.363,9
Midt-Telemark,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.166,9
Seljord,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.38799999999999996,14
Seljord,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.253,14
Seljord,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.46,14
Seljord,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.172,14
Hjartdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.41,6
Hjartdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.147,6
Hjartdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.506,6
Hjartdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.177,6
Tinn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.322,17
Tinn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.163,17
Tinn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.406,17
Tinn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.16899999999999998,17
Kviteseid,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.336,8
Kviteseid,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.059000000000000004,8
Kviteseid,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.324,8
Kviteseid,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.091,8
Nissedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.307,10
Nissedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",,10
Nissedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.289,10
Nissedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",,10
Fyresdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.366,5
Fyresdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.12300000000000001,5
Fyresdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.5579999999999999,5
Fyresdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.188,5
Tokke,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.313,18
Tokke,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",,18
Tokke,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.358,18
Tokke,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",,18
Vinje,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.38,19
Vinje,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.139,19
Vinje,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),5. trinn,"andel (prosent, standardisert)",0.36200000000000004,19
Vinje,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,total,mestringsnivå 1 (laveste),8. trinn,"andel (prosent, standardisert)",0.128,19
