Kommune,Skoleår,År,Skoleår_slutt,Kjønn,Spm.id,Klassetrinn,Måltall,Andel,SortKommune
Hele landet,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.057,2
Hele landet,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.057,2
Hele landet,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.059000000000000004,2
Hele landet,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.062,2
Hele landet,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.07,2
Hele landet,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.084,2
Hele landet,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.096,2
Hele landet,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.10099999999999999,2
Telemark,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.06,1
Telemark,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.053,1
Telemark,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.053,1
Telemark,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.055,1
Telemark,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.069,1
Telemark,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.077,1
