Kommune,Skoleår,Kjønn,Utdanningsnivå,Innvandringsbakgrunn,Mestringsnivå,Klassetrinn,Måltall,Andel,SortKommune
Hele landet,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.267,2
Hele landet,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.121,2
Hele landet,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.276,2
Hele landet,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.133,2
Telemark,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.303,1
Telemark,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.141,1
Telemark,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.317,1
Telemark,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.16,1
Porsgrunn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.27699999999999997,13
Porsgrunn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.134,13
Porsgrunn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.301,13
Porsgrunn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.14400000000000002,13
Skien,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.29,16
Skien,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.127,16
Skien,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.293,16
Skien,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.152,16
Notodden,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.31,12
Notodden,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.22899999999999998,12
Notodden,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.32299999999999995,12
Notodden,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.265,12
Siljan,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.244,15
Siljan,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.131,15
Siljan,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.374,15
Siljan,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.109,15
Bamble,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.301,3
Bamble,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.151,3
Bamble,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.292,3
Bamble,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.188,3
Kragerø,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.307,7
Kragerø,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.18,7
Kragerø,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.304,7
Kragerø,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.183,7
Drangedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.22699999999999998,4
Drangedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.098,4
Drangedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.259,4
Drangedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.09699999999999999,4
Nome,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.345,11
Nome,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.145,11
Nome,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.337,11
Nome,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.13699999999999998,11
Midt-Telemark,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.385,9
