Geografi,År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortKjonn,SortAlder
Hele landet,2001-2010,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",967.2,1,1
Hele landet,2001-2010,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.9,1,1
Hele landet,2001-2010,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",347.9,1,1
Hele landet,2001-2010,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",38.1,1,1
Hele landet,2001-2010,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",252.8,1,1
Hele landet,2001-2010,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",86.8,1,1
Hele landet,2001-2010,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.6,1,1
Hele landet,2002-2011,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",947.1,1,1
Hele landet,2002-2011,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.6,1,1
Hele landet,2002-2011,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",331.2,1,1
Hele landet,2002-2011,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",38.9,1,1
Hele landet,2002-2011,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",250.2,1,1
Hele landet,2002-2011,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",87.9,1,1
Hele landet,2002-2011,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.4,1,1
Hele landet,2003-2012,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",927.9,1,1
Hele landet,2003-2012,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.5,1,1
Hele landet,2003-2012,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",315.7,1,1
Hele landet,2003-2012,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",39.7,1,1
Hele landet,2003-2012,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",247.2,1,1
Hele landet,2003-2012,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",88.7,1,1
Hele landet,2003-2012,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.9,1,1
Hele landet,2004-2013,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",911.8,1,1
