År,Kommune,Kjønn,Dødsårsak,Måltall,Antall,SortKommune
2006,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.9,2
2006,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),13.7,1
2007,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.8,2
2007,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.5,1
2008,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.9,2
2008,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.8,1
2009,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.3,2
2009,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),16.8,1
2010,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.6,2
2010,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.5,1
2011,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.5,2
2011,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),19.3,1
2012,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.6,2
2012,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),16.9,1
2013,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.2,2
2013,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),18.1,1
2014,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.0,2
2014,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.3,1
2015,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.7,2
2015,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),13.2,1
2016,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.0,2
2016,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.2,1
2017,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.4,2
2017,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),16.3,1
2018,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.8,2
2018,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),19.0,1
2019,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.3,2
2019,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),10.4,1
2020,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.2,2
2020,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),14.4,1
2021,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),12.4,2
2021,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),22.3,1
2022,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.5,2
2022,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),13.4,1
2023,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),13.0,2
2023,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),18.1,1
2024,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),13.3,2
2024,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),14.3,1
2025*,Hele landet,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),11.7,2
2025*,Telemark,Begge kjønn,Selvmord og villet egenskade,Aldersstandardisert rate per 100 000 (Norge),17.0,1
