Kommune,År (intervall),År,Kjønn,Alder,Utdanningsnivå,Måltall,Antall,SortKjonn,SortKommune
Hele landet,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.3,2,2
Hele landet,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.9,3,2
Hele landet,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.5,2,2
Hele landet,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.1,3,2
Hele landet,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.8,2,2
Hele landet,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.2,3,2
Hele landet,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.0,2,2
Hele landet,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.3,3,2
Hele landet,2008-2014,2008-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.2,2,2
Hele landet,2008-2014,2008-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.5,3,2
Hele landet,2009-2015,2009-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.5,2,2
Hele landet,2009-2015,2009-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,2
Hele landet,2010-2016,2010-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.8,2,2
Hele landet,2010-2016,2010-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,2
Hele landet,2011-2017,2011-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.1,2,2
Hele landet,2011-2017,2011-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,2
Hele landet,2012-2018,2012-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.4,2,2
Hele landet,2012-2018,2012-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.0,3,2
Hele landet,2013-2019,2013-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.6,2,2
Hele landet,2013-2019,2013-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.2,3,2
Hele landet,2014-2020,2014-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.9,2,2
Hele landet,2014-2020,2014-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.4,3,2
Hele landet,2015-2021,2015-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.1,2,2
Hele landet,2015-2021,2015-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.5,3,2
Hele landet,2016-2022,2016-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.2,2,2
Hele landet,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.5,3,2
Hele landet,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.3,2,2
Hele landet,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.5,3,2
Hele landet,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,81.4,2,2
Hele landet,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.6,3,2
Telemark,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.6,2,1
Telemark,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.7,3,1
Telemark,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.8,2,1
Telemark,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.6,3,1
Telemark,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.3,2,1
Telemark,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.5,3,1
Telemark,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.4,2,1
Telemark,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.6,3,1
Telemark,2008-2014,2008-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.6,2,1
Telemark,2008-2014,2008-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.8,3,1
Telemark,2009-2015,2009-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,78.9,2,1
Telemark,2009-2015,2009-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.9,3,1
Telemark,2010-2016,2010-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.2,2,1
Telemark,2010-2016,2010-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.1,3,1
Telemark,2011-2017,2011-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.4,2,1
Telemark,2011-2017,2011-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.2,3,1
Telemark,2012-2018,2012-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.6,2,1
Telemark,2012-2018,2012-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.3,3,1
Telemark,2013-2019,2013-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,79.9,2,1
Telemark,2013-2019,2013-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.6,3,1
Telemark,2014-2020,2014-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.1,2,1
Telemark,2014-2020,2014-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.7,3,1
Telemark,2015-2021,2015-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.4,2,1
Telemark,2015-2021,2015-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.7,3,1
Telemark,2016-2022,2016-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.3,2,1
Telemark,2016-2022,2016-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.8,3,1
Telemark,2017-2023,2017-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.4,2,1
Telemark,2017-2023,2017-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,83.9,3,1
Telemark,2018-2024,2018-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,80.6,2,1
Telemark,2018-2024,2018-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,84.0,3,1
Porsgrunn,2004-2010,2004-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.5,2,13
Porsgrunn,2004-2010,2004-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.8,3,13
Porsgrunn,2005-2011,2005-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.6,2,13
Porsgrunn,2005-2011,2005-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.5,3,13
Porsgrunn,2006-2012,2006-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.8,2,13
Porsgrunn,2006-2012,2006-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.3,3,13
Porsgrunn,2007-2013,2007-01-01,Menn,Ved fødsel,alle utdanningsnivåer,leveår,77.9,2,13
Porsgrunn,2007-2013,2007-01-01,Kvinner,Ved fødsel,alle utdanningsnivåer,leveår,82.5,3,13
