År,Grunnskole,Videregående skole,Universitet/Høyskole
1990 - 1996,76.7,79.6,82
1991 - 1997,76.7,79.8,82
1992 - 1998,76.7,79.9,82.1
1993 - 1999,76.7,79.9,82.1
1994 - 2000,76.7,80.1,82.2
1995 - 2001,76.8,80.1,82.5
1996 - 2002,77,80.3,82.6
1997 - 2003,77.1,80.3,82.8
1998 - 2004,77.2,80.6,83.2
1999 - 2005,77.3,80.8,83.5
2000 - 2006,77.5,81,83.7
2001 - 2007,77.9,81.2,84
2002 - 2008,78.1,81.4,84.4
2003 - 2009,78.2,81.6,84.7
2004 - 2010,78.4,81.8,84.9
2005 - 2011,78.6,81.9,84.9
2006 - 2012,78.7,82,85.1
2007 - 2013,78.7,82.1,85.3
2008 - 2014,78.7,82.3,85.3
2009 - 2015,78.6,82.4,85.4
2010 - 2016,78.7,82.5,85.5
2011 - 2017,78.8,82.6,85.5
2012 - 2018,78.9,82.8,85.7
2013 - 2019,79.1,83,85.9
2014 - 2020,79.4,83.2,86.2
