Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2017-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",150.9,1,1,2
Hele landet,2017-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",103.2,1,1,2
Hele landet,2017-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",72.6,1,1,2
Hele landet,2017-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",136.1,1,4,2
Hele landet,2017-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",89.8,1,4,2
Hele landet,2017-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",70.4,1,4,2
Hele landet,2017-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",96.4,1,3,2
Hele landet,2017-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",62.7,1,3,2
Hele landet,2017-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",48.5,1,3,2
Hele landet,2017-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",56.1,1,2,2
Hele landet,2017-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",40.0,1,2,2
Hele landet,2017-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",20.5,1,2,2
Hele landet,2017-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",149.1,1,5,2
Hele landet,2017-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",92.2,1,5,2
Hele landet,2017-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",85.0,1,5,2
Hele landet,2017-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",176.4,1,6,2
Hele landet,2017-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",117.2,1,6,2
Hele landet,2017-01-01,Kjønn samlet,25-44 år,Psykiske lidelser,"per 1000, standardisert",92.8,1,6,2
Hele landet,2017-01-01,Kjønn samlet,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",173.8,1,7,2
Hele landet,2017-01-01,Kjønn samlet,45-74 år,Psykiske symptomer,"per 1000, standardisert",123.8,1,7,2
Hele landet,2017-01-01,Kjønn samlet,45-74 år,Psykiske lidelser,"per 1000, standardisert",76.0,1,7,2
Hele landet,2017-01-01,Kjønn samlet,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",177.9,1,8,2
Hele landet,2017-01-01,Kjønn samlet,75-79 år,Psykiske symptomer,"per 1000, standardisert",128.6,1,8,2
Hele landet,2017-01-01,Kjønn samlet,75-79 år,Psykiske lidelser,"per 1000, standardisert",72.2,1,8,2
Hele landet,2017-01-01,Menn,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",126.9,2,1,2
Hele landet,2017-01-01,Menn,0-74 år,Psykiske symptomer,"per 1000, standardisert",85.7,2,1,2
Hele landet,2017-01-01,Menn,0-74 år,Psykiske lidelser,"per 1000, standardisert",61.4,2,1,2
Hele landet,2017-01-01,Menn,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",118.8,2,4,2
Hele landet,2017-01-01,Menn,0-44 år,Psykiske symptomer,"per 1000, standardisert",77.0,2,4,2
Hele landet,2017-01-01,Menn,0-44 år,Psykiske lidelser,"per 1000, standardisert",62.1,2,4,2
Hele landet,2017-01-01,Menn,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",94.1,2,3,2
Hele landet,2017-01-01,Menn,0-24 år,Psykiske symptomer,"per 1000, standardisert",59.8,2,3,2
Hele landet,2017-01-01,Menn,0-24 år,Psykiske lidelser,"per 1000, standardisert",47.1,2,3,2
Hele landet,2017-01-01,Menn,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",68.7,2,2,2
Hele landet,2017-01-01,Menn,0-14 år,Psykiske symptomer,"per 1000, standardisert",47.5,2,2,2
Hele landet,2017-01-01,Menn,0-14 år,Psykiske lidelser,"per 1000, standardisert",26.7,2,2,2
Hele landet,2017-01-01,Menn,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",127.1,2,5,2
Hele landet,2017-01-01,Menn,15-24 år,Psykiske symptomer,"per 1000, standardisert",75.8,2,5,2
Hele landet,2017-01-01,Menn,15-24 år,Psykiske lidelser,"per 1000, standardisert",73.5,2,5,2
Hele landet,2017-01-01,Menn,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",144.0,2,6,2
Hele landet,2017-01-01,Menn,25-44 år,Psykiske symptomer,"per 1000, standardisert",94.5,2,6,2
Hele landet,2017-01-01,Menn,25-44 år,Psykiske lidelser,"per 1000, standardisert",77.5,2,6,2
Hele landet,2017-01-01,Menn,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",139.7,2,7,2
Hele landet,2017-01-01,Menn,45-74 år,Psykiske symptomer,"per 1000, standardisert",99.2,2,7,2
Hele landet,2017-01-01,Menn,45-74 år,Psykiske lidelser,"per 1000, standardisert",60.5,2,7,2
Hele landet,2017-01-01,Menn,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",137.7,2,8,2
Hele landet,2017-01-01,Menn,75-79 år,Psykiske symptomer,"per 1000, standardisert",99.1,2,8,2
Hele landet,2017-01-01,Menn,75-79 år,Psykiske lidelser,"per 1000, standardisert",54.6,2,8,2
Hele landet,2017-01-01,Kvinner,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",175.8,3,1,2
Hele landet,2017-01-01,Kvinner,0-74 år,Psykiske symptomer,"per 1000, standardisert",121.3,3,1,2
Hele landet,2017-01-01,Kvinner,0-74 år,Psykiske lidelser,"per 1000, standardisert",84.2,3,1,2
Hele landet,2017-01-01,Kvinner,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",154.2,3,4,2
Hele landet,2017-01-01,Kvinner,0-44 år,Psykiske symptomer,"per 1000, standardisert",103.2,3,4,2
Hele landet,2017-01-01,Kvinner,0-44 år,Psykiske lidelser,"per 1000, standardisert",79.2,3,4,2
Hele landet,2017-01-01,Kvinner,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",98.9,3,3,2
Hele landet,2017-01-01,Kvinner,0-24 år,Psykiske symptomer,"per 1000, standardisert",65.7,3,3,2
Hele landet,2017-01-01,Kvinner,0-24 år,Psykiske lidelser,"per 1000, standardisert",50.1,3,3,2
Hele landet,2017-01-01,Kvinner,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",42.7,3,2,2
Hele landet,2017-01-01,Kvinner,0-14 år,Psykiske symptomer,"per 1000, standardisert",32.1,3,2,2
Hele landet,2017-01-01,Kvinner,0-14 år,Psykiske lidelser,"per 1000, standardisert",13.9,3,2,2
Hele landet,2017-01-01,Kvinner,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",172.4,3,5,2
Hele landet,2017-01-01,Kvinner,15-24 år,Psykiske symptomer,"per 1000, standardisert",109.6,3,5,2
Hele landet,2017-01-01,Kvinner,15-24 år,Psykiske lidelser,"per 1000, standardisert",97.2,3,5,2
Hele landet,2017-01-01,Kvinner,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",210.2,3,6,2
Hele landet,2017-01-01,Kvinner,25-44 år,Psykiske symptomer,"per 1000, standardisert",141.0,3,6,2
Hele landet,2017-01-01,Kvinner,25-44 år,Psykiske lidelser,"per 1000, standardisert",108.7,3,6,2
Hele landet,2017-01-01,Kvinner,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",208.6,3,7,2
Hele landet,2017-01-01,Kvinner,45-74 år,Psykiske symptomer,"per 1000, standardisert",148.9,3,7,2
Hele landet,2017-01-01,Kvinner,45-74 år,Psykiske lidelser,"per 1000, standardisert",91.9,3,7,2
Hele landet,2017-01-01,Kvinner,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",215.1,3,8,2
Hele landet,2017-01-01,Kvinner,75-79 år,Psykiske symptomer,"per 1000, standardisert",155.9,3,8,2
Hele landet,2017-01-01,Kvinner,75-79 år,Psykiske lidelser,"per 1000, standardisert",88.5,3,8,2
Hele landet,2018-01-01,Kjønn samlet,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",153.2,1,1,2
Hele landet,2018-01-01,Kjønn samlet,0-74 år,Psykiske symptomer,"per 1000, standardisert",105.2,1,1,2
Hele landet,2018-01-01,Kjønn samlet,0-74 år,Psykiske lidelser,"per 1000, standardisert",73.5,1,1,2
Hele landet,2018-01-01,Kjønn samlet,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",140.1,1,4,2
Hele landet,2018-01-01,Kjønn samlet,0-44 år,Psykiske symptomer,"per 1000, standardisert",92.8,1,4,2
Hele landet,2018-01-01,Kjønn samlet,0-44 år,Psykiske lidelser,"per 1000, standardisert",72.4,1,4,2
Hele landet,2018-01-01,Kjønn samlet,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",99.1,1,3,2
Hele landet,2018-01-01,Kjønn samlet,0-24 år,Psykiske symptomer,"per 1000, standardisert",64.9,1,3,2
Hele landet,2018-01-01,Kjønn samlet,0-24 år,Psykiske lidelser,"per 1000, standardisert",49.7,1,3,2
Hele landet,2018-01-01,Kjønn samlet,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",56.0,1,2,2
Hele landet,2018-01-01,Kjønn samlet,0-14 år,Psykiske symptomer,"per 1000, standardisert",40.1,1,2,2
Hele landet,2018-01-01,Kjønn samlet,0-14 år,Psykiske lidelser,"per 1000, standardisert",20.6,1,2,2
Hele landet,2018-01-01,Kjønn samlet,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",155.4,1,5,2
Hele landet,2018-01-01,Kjønn samlet,15-24 år,Psykiske symptomer,"per 1000, standardisert",97.3,1,5,2
Hele landet,2018-01-01,Kjønn samlet,15-24 år,Psykiske lidelser,"per 1000, standardisert",87.6,1,5,2
Hele landet,2018-01-01,Kjønn samlet,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",181.7,1,6,2
Hele landet,2018-01-01,Kjønn samlet,25-44 år,Psykiske symptomer,"per 1000, standardisert",121.1,1,6,2
Hele landet,2018-01-01,Kjønn samlet,25-44 år,Psykiske lidelser,"per 1000, standardisert",95.5,1,6,2
Hele landet,2018-01-01,Kjønn samlet,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",173.4,1,7,2
Hele landet,2018-01-01,Kjønn samlet,45-74 år,Psykiske symptomer,"per 1000, standardisert",124.3,1,7,2
Hele landet,2018-01-01,Kjønn samlet,45-74 år,Psykiske lidelser,"per 1000, standardisert",75.2,1,7,2
Hele landet,2018-01-01,Kjønn samlet,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",174.4,1,8,2
Hele landet,2018-01-01,Kjønn samlet,75-79 år,Psykiske symptomer,"per 1000, standardisert",127.5,1,8,2
Hele landet,2018-01-01,Kjønn samlet,75-79 år,Psykiske lidelser,"per 1000, standardisert",69.3,1,8,2
Hele landet,2018-01-01,Menn,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",129.4,2,1,2
Hele landet,2018-01-01,Menn,0-74 år,Psykiske symptomer,"per 1000, standardisert",88.0,2,1,2
Hele landet,2018-01-01,Menn,0-74 år,Psykiske lidelser,"per 1000, standardisert",62.2,2,1,2
Hele landet,2018-01-01,Menn,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",122.1,2,4,2
Hele landet,2018-01-01,Menn,0-44 år,Psykiske symptomer,"per 1000, standardisert",79.6,2,4,2
Hele landet,2018-01-01,Menn,0-44 år,Psykiske lidelser,"per 1000, standardisert",63.6,2,4,2
Hele landet,2018-01-01,Menn,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",96.0,2,3,2
Hele landet,2018-01-01,Menn,0-24 år,Psykiske symptomer,"per 1000, standardisert",61.6,2,3,2
Hele landet,2018-01-01,Menn,0-24 år,Psykiske lidelser,"per 1000, standardisert",47.9,2,3,2
Hele landet,2018-01-01,Menn,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",67.6,2,2,2
Hele landet,2018-01-01,Menn,0-14 år,Psykiske symptomer,"per 1000, standardisert",46.8,2,2,2
Hele landet,2018-01-01,Menn,0-14 år,Psykiske lidelser,"per 1000, standardisert",26.4,2,2,2
Hele landet,2018-01-01,Menn,15-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",133.2,2,5,2
Hele landet,2018-01-01,Menn,15-24 år,Psykiske symptomer,"per 1000, standardisert",81.0,2,5,2
Hele landet,2018-01-01,Menn,15-24 år,Psykiske lidelser,"per 1000, standardisert",75.9,2,5,2
Hele landet,2018-01-01,Menn,25-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",148.8,2,6,2
Hele landet,2018-01-01,Menn,25-44 år,Psykiske symptomer,"per 1000, standardisert",97.9,2,6,2
Hele landet,2018-01-01,Menn,25-44 år,Psykiske lidelser,"per 1000, standardisert",79.7,2,6,2
Hele landet,2018-01-01,Menn,45-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",140.9,2,7,2
Hele landet,2018-01-01,Menn,45-74 år,Psykiske symptomer,"per 1000, standardisert",101.1,2,7,2
Hele landet,2018-01-01,Menn,45-74 år,Psykiske lidelser,"per 1000, standardisert",60.0,2,7,2
Hele landet,2018-01-01,Menn,75-79 år,Psykiske symptomer og lidelser,"per 1000, standardisert",135.4,2,8,2
Hele landet,2018-01-01,Menn,75-79 år,Psykiske symptomer,"per 1000, standardisert",99.0,2,8,2
Hele landet,2018-01-01,Menn,75-79 år,Psykiske lidelser,"per 1000, standardisert",52.2,2,8,2
Hele landet,2018-01-01,Kvinner,0-74 år,Psykiske symptomer og lidelser,"per 1000, standardisert",177.9,3,1,2
Hele landet,2018-01-01,Kvinner,0-74 år,Psykiske symptomer,"per 1000, standardisert",123.0,3,1,2
Hele landet,2018-01-01,Kvinner,0-74 år,Psykiske lidelser,"per 1000, standardisert",85.3,3,1,2
Hele landet,2018-01-01,Kvinner,0-44 år,Psykiske symptomer og lidelser,"per 1000, standardisert",158.9,3,4,2
Hele landet,2018-01-01,Kvinner,0-44 år,Psykiske symptomer,"per 1000, standardisert",106.6,3,4,2
Hele landet,2018-01-01,Kvinner,0-44 år,Psykiske lidelser,"per 1000, standardisert",81.6,3,4,2
Hele landet,2018-01-01,Kvinner,0-24 år,Psykiske symptomer og lidelser,"per 1000, standardisert",102.3,3,3,2
Hele landet,2018-01-01,Kvinner,0-24 år,Psykiske symptomer,"per 1000, standardisert",68.3,3,3,2
Hele landet,2018-01-01,Kvinner,0-24 år,Psykiske lidelser,"per 1000, standardisert",51.6,3,3,2
Hele landet,2018-01-01,Kvinner,0-14 år,Psykiske symptomer og lidelser,"per 1000, standardisert",43.7,3,2,2
