Kommune,År,Kjønn,Alder,Dødsårsaker,Måltall,Antall,SortKommune
Hele landet,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",240.1,2
Hele landet,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",236.5,2
Hele landet,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",232.8,2
Hele landet,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",228.0,2
Hele landet,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",221.5,2
Hele landet,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",216.2,2
Hele landet,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",212.6,2
Hele landet,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",213.6,2
Hele landet,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",203.5,2
Hele landet,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",202.8,2
Telemark,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",243.4,1
Telemark,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",222.4,1
Telemark,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",229.8,1
Telemark,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",234.0,1
Telemark,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",239.2,1
Telemark,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",217.8,1
Telemark,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",214.6,1
Telemark,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",222.0,1
Telemark,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",200.6,1
Telemark,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",197.0,1
Porsgrunn,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",255.0,13
Porsgrunn,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",216.6,13
Porsgrunn,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",266.1,13
Porsgrunn,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",264.7,13
Porsgrunn,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",259.6,13
Porsgrunn,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",214.5,13
Porsgrunn,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",246.1,13
Porsgrunn,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",245.3,13
Porsgrunn,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",217.7,13
Porsgrunn,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",171.6,13
Skien,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",232.9,16
Skien,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",205.8,16
Skien,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",222.0,16
Skien,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",242.2,16
Skien,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",209.5,16
Skien,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",222.7,16
Skien,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",188.0,16
Skien,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",219.1,16
Skien,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",184.3,16
Skien,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",169.8,16
Notodden,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",229.1,12
Notodden,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",269.0,12
Notodden,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",184.8,12
Notodden,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",270.8,12
Notodden,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",227.1,12
Notodden,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",251.9,12
Notodden,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",215.9,12
Notodden,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",232.3,12
Notodden,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",204.0,12
Notodden,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",175.0,12
Siljan,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Siljan,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",,15
Bamble,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",241.4,3
Bamble,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",226.8,3
Bamble,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",257.3,3
Bamble,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",153.3,3
Bamble,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",278.8,3
Bamble,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",224.9,3
Bamble,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",197.6,3
Bamble,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",221.7,3
Bamble,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",184.8,3
Bamble,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",236.3,3
Kragerø,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",306.8,7
Kragerø,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",175.7,7
Kragerø,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",278.7,7
Kragerø,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",184.4,7
Kragerø,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",290.3,7
Kragerø,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",206.0,7
Kragerø,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",192.7,7
Kragerø,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",261.2,7
Kragerø,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",220.4,7
Kragerø,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",208.3,7
Drangedal,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",252.9,4
Drangedal,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",207.1,4
Drangedal,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",207.0,4
Drangedal,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",188.5,4
Drangedal,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",209.7,4
Drangedal,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",435.7,4
