Kommune,År (intervall),År,Kjønn,Alder,Krefttyper,Måltall,Antall,SortKjonn,SortKommune
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",629.6,1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",86.2,1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Lungekreft,"per 100 000, standardisert",64.2,1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Hudkreft,"per 100 000, standardisert",71.3,1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",35.2,1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Brystkreft,"per 100 000, standardisert",62.8,1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Prostatakreft,"per 100 000, standardisert",,1,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",693.6,2,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",90.6,2,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,Lungekreft,"per 100 000, standardisert",73.2,2,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,Hudkreft,"per 100 000, standardisert",76.7,2,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",35.7,2,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,Brystkreft,"per 100 000, standardisert",0.8,2,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",,2,2
Hele landet,2006-2015,2015-01-01,Menn,Alle aldre,Prostatakreft,"per 100 000, standardisert",216.2,2,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",567.1,3,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,Tykk- og endetarmskreft,"per 100 000, standardisert",82.0,3,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,Lungekreft,"per 100 000, standardisert",55.7,3,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,Hudkreft,"per 100 000, standardisert",66.1,3,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,Føflekkreft (malignt melanom),"per 100 000, standardisert",34.6,3,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,Brystkreft,"per 100 000, standardisert",125.7,3,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,"Livmorhalskreft, kvinner","per 100 000, standardisert",12.8,3,2
Hele landet,2006-2015,2015-01-01,Kvinner,Alle aldre,Prostatakreft,"per 100 000, standardisert",,3,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Totalt alle krefttyper,"per 100 000, standardisert",635.8,1,2
