Kommune,Antall,Label
Hele landet,319.6,Hele landet
Hele landet,263.0,Hele landet
Hele landet,132.4,Hele landet
Telemark,322.8,Telemark
Telemark,272.8,Telemark
Telemark,122.3,Telemark
Porsgrunn,327.3,Porsgrunn
Porsgrunn,280.4,Porsgrunn
Porsgrunn,116.8,Porsgrunn
Skien,326.3,Skien
Skien,277.8,Skien
Skien,122.5,Skien
Notodden,283.8,Notodden
Notodden,239.0,Notodden
Notodden,105.3,Notodden
Siljan,361.2,Siljan
Siljan,312.3,Siljan
Siljan,125.5,Siljan
Bamble,353.0,Bamble
Bamble,296.9,Bamble
Bamble,138.2,Bamble
Kragerø,350.0,Kragerø
Kragerø,270.4,Kragerø
Kragerø,179.4,Kragerø
Drangedal,341.3,Drangedal
Drangedal,280.6,Drangedal
Drangedal,152.9,Drangedal
Nome,346.4,Nome
Nome,287.6,Nome
Nome,148.9,Nome
Midt-Telemark,306.1,Midt-Telemark
Midt-Telemark,255.2,Midt-Telemark
Midt-Telemark,113.9,Midt-Telemark
Seljord,292.2,Seljord
Seljord,266.3,Seljord
Seljord,68.8,Seljord
Hjartdal,276.8,Hjartdal
Hjartdal,237.0,Hjartdal
Hjartdal,98.9,Hjartdal
Tinn,285.2,Tinn
Tinn,234.9,Tinn
Tinn,100.7,Tinn
Kviteseid,281.2,Kviteseid
Kviteseid,248.8,Kviteseid
Kviteseid,84.0,Kviteseid
Nissedal,305.7,Nissedal
Nissedal,268.9,Nissedal
Nissedal,98.3,Nissedal
Fyresdal,296.8,Fyresdal
Fyresdal,245.9,Fyresdal
Fyresdal,110.8,Fyresdal
Tokke,300.7,Tokke
Tokke,255.6,Tokke
Tokke,108.1,Tokke
Vinje,292.3,Vinje
Vinje,261.8,Vinje
Vinje,85.1,Vinje
