Geografi,År,Kjønn,Alder,Vaksine mot,Måltall,Andel,SortKjonn,SortAlder
Porsgrunn,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),93.6,1,1
Porsgrunn,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.1,1,1
Porsgrunn,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),94.7,1,1
Porsgrunn,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.3,1,1
Porsgrunn,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),93.8,1,1
Porsgrunn,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.3,1,1
Porsgrunn,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),94.6,1,1
Porsgrunn,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.7,1,1
Porsgrunn,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),93.9,1,1
Porsgrunn,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.3,1,1
Porsgrunn,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),95.0,1,1
Porsgrunn,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.8,1,1
Porsgrunn,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),94.4,1,1
Porsgrunn,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.4,1,1
Porsgrunn,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),95.4,1,1
Porsgrunn,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.3,1,1
Porsgrunn,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),95.2,1,1
Porsgrunn,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.2,1,1
Porsgrunn,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),95.7,1,1
Porsgrunn,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.1,1,1
Porsgrunn,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),95.5,1,1
Porsgrunn,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.5,1,1
Porsgrunn,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),96.3,1,1
Porsgrunn,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.5,1,1
Porsgrunn,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),96.0,1,1
Porsgrunn,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.9,1,1
Porsgrunn,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),97.0,1,1
Porsgrunn,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.9,1,1
Porsgrunn,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),95.4,1,1
Porsgrunn,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.2,1,1
Porsgrunn,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),96.8,1,1
Porsgrunn,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.3,1,1
Porsgrunn,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),94.8,1,1
Porsgrunn,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.6,1,1
Porsgrunn,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),96.3,1,1
Porsgrunn,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.7,1,1
Porsgrunn,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),93.9,1,1
Porsgrunn,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.7,1,1
Porsgrunn,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),96.0,1,1
Porsgrunn,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.9,1,1
Skien,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),92.0,1,1
Skien,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.5,1,1
Skien,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),93.4,1,1
Skien,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),91.9,1,1
Skien,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),93.0,1,1
Skien,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.4,1,1
Skien,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),93.6,1,1
Skien,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.9,1,1
Skien,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),92.7,1,1
Skien,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.0,1,1
Skien,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),94.2,1,1
Skien,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.5,1,1
Skien,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),93.3,1,1
Skien,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.2,1,1
Skien,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),94.9,1,1
Skien,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.2,1,1
Skien,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),94.7,1,1
Skien,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.6,1,1
Skien,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),96.0,1,1
Skien,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.6,1,1
Skien,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),95.4,1,1
Skien,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.4,1,1
Skien,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),96.8,1,1
Skien,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.3,1,1
Skien,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),96.3,1,1
Skien,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.2,1,1
Skien,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),97.7,1,1
Skien,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.1,1,1
Skien,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),97.1,1,1
Skien,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.0,1,1
Skien,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),98.1,1,1
Skien,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.0,1,1
Skien,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),97.6,1,1
Skien,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.5,1,1
Skien,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),98.4,1,1
Skien,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.5,1,1
Skien,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),97.1,1,1
Skien,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.9,1,1
Skien,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),98.4,1,1
Skien,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.0,1,1
Notodden,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),95.1,1,1
Notodden,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.1,1,1
Notodden,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),96.9,1,1
Notodden,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.9,1,1
Notodden,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),95.0,1,1
Notodden,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.0,1,1
Notodden,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),96.9,1,1
Notodden,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.8,1,1
Notodden,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),94.7,1,1
Notodden,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.7,1,1
Notodden,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),96.7,1,1
Notodden,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.7,1,1
Notodden,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),94.2,1,1
Notodden,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.2,1,1
Notodden,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),96.3,1,1
Notodden,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.2,1,1
Notodden,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),95.4,1,1
Notodden,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.4,1,1
Notodden,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),96.5,1,1
Notodden,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.2,1,1
Notodden,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),96.4,1,1
Notodden,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.4,1,1
Notodden,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),97.2,1,1
Notodden,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.3,1,1
Notodden,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),96.4,1,1
Notodden,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.4,1,1
Notodden,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),97.0,1,1
Notodden,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.3,1,1
Notodden,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),96.6,1,1
Notodden,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.6,1,1
Notodden,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),96.9,1,1
Notodden,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.5,1,1
Notodden,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),95.9,1,1
Notodden,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.2,1,1
Notodden,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),96.8,1,1
Notodden,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.8,1,1
Notodden,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),96.2,1,1
Notodden,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.4,1,1
Notodden,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),97.1,1,1
Notodden,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.2,1,1
Siljan,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),95.7,1,1
Siljan,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),95.7,1,1
Siljan,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),94.3,1,1
Siljan,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),95.7,1,1
Siljan,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),97.3,1,1
Siljan,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.3,1,1
Siljan,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),96.6,1,1
Siljan,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.3,1,1
Siljan,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),96.3,1,1
Siljan,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.3,1,1
Siljan,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),96.3,1,1
Siljan,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.3,1,1
Siljan,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),97.3,1,1
Siljan,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.3,1,1
Siljan,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),98.0,1,1
Siljan,2014-2018,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.3,1,1
Siljan,2015-2019,Kjønn samlet,9 år,Difteri,andel (prosent),96.8,1,1
Siljan,2015-2019,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.8,1,1
Siljan,2015-2019,Kjønn samlet,9 år,Meslinger,andel (prosent),98.7,1,1
Siljan,2015-2019,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.8,1,1
Siljan,2016-2020,Kjønn samlet,9 år,Difteri,andel (prosent),97.5,1,1
Siljan,2016-2020,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.5,1,1
Siljan,2016-2020,Kjønn samlet,9 år,Meslinger,andel (prosent),99.4,1,1
Siljan,2016-2020,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.5,1,1
Siljan,2017-2021,Kjønn samlet,9 år,Difteri,andel (prosent),96.7,1,1
Siljan,2017-2021,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.7,1,1
Siljan,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),99.3,1,1
Siljan,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.7,1,1
Siljan,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),97.7,1,1
Siljan,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),97.7,1,1
Siljan,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),100.0,1,1
Siljan,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),97.7,1,1
Siljan,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),96.9,1,1
Siljan,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.9,1,1
Siljan,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),99.2,1,1
Siljan,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.9,1,1
Siljan,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),96.2,1,1
Siljan,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),96.2,1,1
Siljan,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),97.7,1,1
Siljan,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),96.2,1,1
Bamble,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),93.1,1,1
Bamble,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.6,1,1
Bamble,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),94.1,1,1
Bamble,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.1,1,1
Bamble,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),93.8,1,1
Bamble,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),94.2,1,1
Bamble,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),94.6,1,1
Bamble,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.8,1,1
Bamble,2013-2017,Kjønn samlet,9 år,Difteri,andel (prosent),92.9,1,1
Bamble,2013-2017,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.3,1,1
Bamble,2013-2017,Kjønn samlet,9 år,Meslinger,andel (prosent),94.3,1,1
Bamble,2013-2017,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.9,1,1
Bamble,2014-2018,Kjønn samlet,9 år,Difteri,andel (prosent),92.6,1,1
Bamble,2014-2018,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.6,1,1
Bamble,2014-2018,Kjønn samlet,9 år,Meslinger,andel (prosent),94.5,1,1
