Geografi,År,Kjønn,Alder,Dødsårsaker,Måltall,value
Hele landet,2015,menn,alle aldre,Lungekreft,"per 100.000, standardisert",55.7471987464805
Hele landet,2015,menn,alle aldre,KOLS,"per 100.000, standardisert",47.5555330371816
Hele landet,2015,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",103.310570526116
Hele landet,2015,menn,0-74 år,Lungekreft,"per 100.000, standardisert",31.3193452905732
Hele landet,2015,menn,0-74 år,KOLS,"per 100.000, standardisert",14.7673638258327
Hele landet,2015,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",46.1102941210666
Hele landet,2015,menn,0-44 år,Lungekreft,"per 100.000, standardisert",0.318135293604657
Hele landet,2015,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2015,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2015,menn,45-74 år,Lungekreft,"per 100.000, standardisert",80.5690446471864
Hele landet,2015,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2015,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2015,menn,75+ år,Lungekreft,"per 100.000, standardisert",332.088287217039
Hele landet,2015,menn,75+ år,KOLS,"per 100.000, standardisert",432.500160455294
Hele landet,2015,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",765.738850110261
Hele landet,2015,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",43.5079004339968
Hele landet,2015,kvinner,alle aldre,KOLS,"per 100.000, standardisert",43.22369880393
Hele landet,2015,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",86.6952466436822
Hele landet,2015,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",26.7784705122524
Hele landet,2015,kvinner,0-74 år,KOLS,"per 100.000, standardisert",13.6656261511071
Hele landet,2015,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",40.4769189852712
Hele landet,2015,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",0.34041428821164
Hele landet,2015,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2015,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2015,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",67.5484164330548
Hele landet,2015,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2015,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2015,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",190.534631769724
Hele landet,2015,kvinner,75+ år,KOLS,"per 100.000, standardisert",311.267784672872
Hele landet,2015,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",502.335679324192
Hele landet,2016,menn,alle aldre,Lungekreft,"per 100.000, standardisert",54.0828084986269
Hele landet,2016,menn,alle aldre,KOLS,"per 100.000, standardisert",44.4686905056834
Hele landet,2016,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",98.5734241603187
Hele landet,2016,menn,0-74 år,Lungekreft,"per 100.000, standardisert",29.5829434201975
Hele landet,2016,menn,0-74 år,KOLS,"per 100.000, standardisert",13.4337876710063
Hele landet,2016,menn,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",43.0331492810318
Hele landet,2016,menn,0-44 år,Lungekreft,"per 100.000, standardisert",0.320942166614366
Hele landet,2016,menn,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2016,menn,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2016,menn,45-74 år,Lungekreft,"per 100.000, standardisert",76.0611041055624
Hele landet,2016,menn,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2016,menn,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2016,menn,75+ år,Lungekreft,"per 100.000, standardisert",333.429429265664
Hele landet,2016,menn,75+ år,KOLS,"per 100.000, standardisert",409.845603391952
Hele landet,2016,menn,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",743.828649415553
Hele landet,2016,kvinner,alle aldre,Lungekreft,"per 100.000, standardisert",45.1950145264517
Hele landet,2016,kvinner,alle aldre,KOLS,"per 100.000, standardisert",44.7219297225127
Hele landet,2016,kvinner,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",89.891410293113
Hele landet,2016,kvinner,0-74 år,Lungekreft,"per 100.000, standardisert",26.4086563946338
Hele landet,2016,kvinner,0-74 år,KOLS,"per 100.000, standardisert",14.2215963084641
Hele landet,2016,kvinner,0-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",40.6418106808933
Hele landet,2016,kvinner,0-44 år,Lungekreft,"per 100.000, standardisert",0.342540865879164
Hele landet,2016,kvinner,0-44 år,KOLS,"per 100.000, standardisert",:
Hele landet,2016,kvinner,0-44 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2016,kvinner,45-74 år,Lungekreft,"per 100.000, standardisert",66.5690058595182
Hele landet,2016,kvinner,45-74 år,KOLS,"per 100.000, standardisert",:
Hele landet,2016,kvinner,45-74 år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",:
Hele landet,2016,kvinner,75+ år,Lungekreft,"per 100.000, standardisert",211.094062243119
Hele landet,2016,kvinner,75+ år,KOLS,"per 100.000, standardisert",320.816175797797
Hele landet,2016,kvinner,75+ år,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",531.992971046804
Hele landet,2017,menn,alle aldre,Lungekreft,"per 100.000, standardisert",51.233305062491
Hele landet,2017,menn,alle aldre,KOLS,"per 100.000, standardisert",43.709219435052
Hele landet,2017,menn,alle aldre,KOLS og lungekreft (røykerelaterte dødsfall),"per 100.000, standardisert",94.952472726064
Hele landet,2017,menn,0-74 år,Lungekreft,"per 100.000, standardisert",27.1422231363583
Hele landet,2017,menn,0-74 år,KOLS,"per 100.000, standardisert",13.7432891009093
