Geografi,År,Kjønn,Alder,Sykdomsgruppe,Måltall,value
Hele landet,2017,kjønn samlet,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",316.414828398834
Hele landet,2017,kjønn samlet,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",236.178583756177
Hele landet,2017,kjønn samlet,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",153.884533997163
Hele landet,2017,kjønn samlet,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",243.045090666677
Hele landet,2017,kjønn samlet,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",194.589019823562
Hele landet,2017,kjønn samlet,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",90.621189619606
Hele landet,2017,kjønn samlet,45-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",429.196421971985
Hele landet,2017,kjønn samlet,45-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",299.979056022796
Hele landet,2017,kjønn samlet,45-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",251.068091716334
Hele landet,2017,kjønn samlet,75-79 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",448.071411961527
Hele landet,2017,kjønn samlet,75-79 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",292.770890654111
Hele landet,2017,kjønn samlet,75-79 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",286.005353979376
Hele landet,2017,menn,0-74 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",280.320487930534
Hele landet,2017,menn,0-74 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",205.461164452139
Hele landet,2017,menn,0-74 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",134.214762019007
Hele landet,2017,menn,0-44 år,"Muskel og skjelett (ekskl. brudd og skader (L01-L29, L70-71 og L82-99))*","per 1000, standardisert",221.442453704694
Hele landet,2017,menn,0-44 år,Muskel- og skjelettplager (L01-29),"per 1000, standardisert",174.373540987472
Hele landet,2017,menn,0-44 år,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader (L70-71 og L82-99)),"per 1000, standardisert",83.4360596876878
