Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Hele landet,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.6743397063953
Hele landet,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",6.57833972960492
Hele landet,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.7073975283701
Hele landet,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.1129496569448
Hele landet,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.65388937445374
Hele landet,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.4095024351517
Hele landet,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.211133113895
Hele landet,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.85467537733556
Hele landet,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.3268295618149
Hele landet,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.0772759973395
Hele landet,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.55290158417467
Hele landet,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",25.470071655622
Hele landet,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.5094229011845
Hele landet,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.80369794366684
Hele landet,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",23.1814740898768
Hele landet,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.2752018328606
Hele landet,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.73118013787042
Hele landet,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.715821979034
Hele landet,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.3058694068598
Hele landet,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.15932483144143
Hele landet,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.3862637108345
Telemark,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.4555217643565
Telemark,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.04952553757432
Telemark,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.8021996966888
Telemark,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.5177272577926
Telemark,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.0354226766682
Telemark,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.8360082508293
Telemark,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",15.5829613254579
Telemark,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",8.0597370100612
Telemark,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.8597743063589
Telemark,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",16.5285287481522
Telemark,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.01473303844118
Telemark,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",23.9237541807443
Telemark,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Telemark,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Telemark,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Telemark,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
