Geografi,År,Kjønn,Alder,Dødsårsak,Måltall,value
Hele landet,2011-2015,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",16.0025929731389
Hele landet,2011-2015,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",15.4865722494048
Hele landet,2011-2015,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",12.4706505584345
Hele landet,2011-2015,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.3145099552453
Hele landet,2011-2015,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",22.8372844634892
Hele landet,2011-2015,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.63833592667489
Hele landet,2011-2015,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.83205763235073
Hele landet,2011-2015,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",4.91793109481962
Hele landet,2011-2015,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",9.83169786970419
Hele landet,2011-2015,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",4.60450431130686
Hele landet,2012-2016,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",15.6519045458965
Hele landet,2012-2016,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",15.1894344863013
Hele landet,2012-2016,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",12.1895144017688
Hele landet,2012-2016,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",19.9914491791591
Hele landet,2012-2016,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.648108599806
Hele landet,2012-2016,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.80879079732755
Hele landet,2012-2016,kvinner,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",6.97364528061225
Hele landet,2012-2016,kvinner,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.01311194090611
Hele landet,2012-2016,kvinner,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",10.0372369310906
Hele landet,2012-2016,kvinner,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",5.0685209225447
Hele landet,2013-2017,menn,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",15.7218867796281
Hele landet,2013-2017,menn,0-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",15.2981459487663
Hele landet,2013-2017,menn,0-44 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",12.2072304570632
Hele landet,2013-2017,menn,45-74 år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",20.2452890433497
Hele landet,2013-2017,menn,75+ år,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",21.0845237827962
Hele landet,2013-2017,kvinner,alle aldre,"Selvmord (X60-84,Y87.0)","døde per 100 000, standardisert",7.06069627334036
