Kommune,År,Parameter,Forsyningskvalitet,Måltall,Andel,SortKommune
Hele landet,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.868,2
Hele landet,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.915,2
Hele landet,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.907,2
Hele landet,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.91,2
Hele landet,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.955,2
Hele landet,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.938,2
Hele landet,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9059999999999999,2
Hele landet,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9520000000000001,2
Hele landet,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9420000000000001,2
Hele landet,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.903,2
Hele landet,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.938,2
Hele landet,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.927,2
Hele landet,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.885,2
Hele landet,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9440000000000001,2
Hele landet,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9059999999999999,2
Hele landet,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.904,2
Hele landet,2020-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.968,2
Hele landet,2020-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.922,2
Hele landet,2021-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.907,2
Hele landet,2021-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.98,2
Hele landet,2021-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9129999999999999,2
Hele landet,2022-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.934,2
Hele landet,2022-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.9840000000000001,2
Hele landet,2022-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.938,2
Hele landet,2023-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.838,2
Hele landet,2023-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.97,2
Hele landet,2023-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.841,2
Hele landet,2024-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.8909999999999999,2
Hele landet,2024-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.99,2
Hele landet,2024-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.894,2
Telemark,2015-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9620000000000001,1
Telemark,2015-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.963,1
Telemark,2015-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.982,1
Telemark,2016-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.998,1
Telemark,2016-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.998,1
Telemark,2016-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,1.0,1
Telemark,2017-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,1
Telemark,2017-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,1.0,1
Telemark,2017-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.99,1
Telemark,2018-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.924,1
Telemark,2018-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.982,1
Telemark,2018-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.924,1
Telemark,2019-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9229999999999999,1
Telemark,2019-01-01,hygienisk kvalitet,tilfredsstillende analyseresultater,prosent,0.986,1
Telemark,2019-01-01,leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9229999999999999,1
Telemark,2020-01-01,hygienisk kvalitet og leveringsstabilitet,tilfredsstillende analyseresultater,prosent,0.9259999999999999,1
