Geografi,År,Kjønn,ALDER,Måltall,value
Hele landet,2015,kjønn samlet,0_17,andel (prosent),4.30057486371273
Hele landet,2016,kjønn samlet,0_17,andel (prosent),4.38915136692667
Hele landet,2017,kjønn samlet,0_17,andel (prosent),4.47303971832501
Hele landet,2018,kjønn samlet,0_17,andel (prosent),4.43630633573725
Hele landet,2019,kjønn samlet,0_17,andel (prosent),4.33767091241598
Hele landet,2020,kjønn samlet,0_17,andel (prosent),4.18771477603797
Hele landet,2021,kjønn samlet,0_17,andel (prosent),3.97324773201
Hele landet,2022,kjønn samlet,0_17,andel (prosent),3.64479182652697
Hele landet,2023,kjønn samlet,0_17,andel (prosent),3.36524019941136
Hele landet,2024,kjønn samlet,0_17,andel (prosent),3.22827893986473
Telemark,2015,kjønn samlet,0_17,andel (prosent),5.41136033137972
Telemark,2016,kjønn samlet,0_17,andel (prosent),5.64599216979188
Telemark,2017,kjønn samlet,0_17,andel (prosent),5.35143769968051
Telemark,2018,kjønn samlet,0_17,andel (prosent),4.9192836517602
Telemark,2019,kjønn samlet,0_17,andel (prosent),4.73724064819022
Telemark,2020,kjønn samlet,0_17,andel (prosent),4.72762764594644
Telemark,2021,kjønn samlet,0_17,andel (prosent),4.7621246402241
Telemark,2022,kjønn samlet,0_17,andel (prosent),4.4865572760188
Telemark,2023,kjønn samlet,0_17,andel (prosent),4.17190711371515
Telemark,2024,kjønn samlet,0_17,andel (prosent),3.96298345938634
Porsgrunn,2015,kjønn samlet,0_17,andel (prosent),5.18617960856356
Porsgrunn,2016,kjønn samlet,0_17,andel (prosent),5.3103594378928
Porsgrunn,2017,kjønn samlet,0_17,andel (prosent),4.25319346321273
Porsgrunn,2018,kjønn samlet,0_17,andel (prosent),3.60594259339391
Porsgrunn,2019,kjønn samlet,0_17,andel (prosent),3.42649727767695
Porsgrunn,2020,kjønn samlet,0_17,andel (prosent),3.74008586189333
Porsgrunn,2021,kjønn samlet,0_17,andel (prosent),3.86522753792299
Porsgrunn,2022,kjønn samlet,0_17,andel (prosent),3.36097773897861
Porsgrunn,2023,kjønn samlet,0_17,andel (prosent),3.13456772124216
Porsgrunn,2024,kjønn samlet,0_17,andel (prosent),2.72238981679052
Skien,2015,kjønn samlet,0_17,andel (prosent),5.27597775633071
Skien,2016,kjønn samlet,0_17,andel (prosent),5.6030127675209
Skien,2017,kjønn samlet,0_17,andel (prosent),5.75420534975641
Skien,2018,kjønn samlet,0_17,andel (prosent),5.02517204748049
Skien,2019,kjønn samlet,0_17,andel (prosent),5.00138670611075
Skien,2020,kjønn samlet,0_17,andel (prosent),4.7354790972993
Skien,2021,kjønn samlet,0_17,andel (prosent),4.62288233928986
Skien,2022,kjønn samlet,0_17,andel (prosent),4.5014880952381
Skien,2023,kjønn samlet,0_17,andel (prosent),4.0651538354448
Skien,2024,kjønn samlet,0_17,andel (prosent),3.80245768606538
Notodden,2015,kjønn samlet,0_17,andel (prosent),6.95652173913044
