Geografi,År,Kjønn,Alder,Måltall,Andel
Hele landet,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.195252397297462
Hele landet,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.2063947576289
Hele landet,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.21234402835322602
Hele landet,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.213616378330644
Hele landet,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.22099414823952898
Hele landet,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.21494745883615
Hele landet,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.208010444191493
Hele landet,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.190756806552841
Telemark,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.151026790608573
Telemark,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.159437341038462
Telemark,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.16302403674171198
Telemark,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.16436214703931198
Telemark,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.17016261942904598
Telemark,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.165005460711617
Telemark,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.159280188668497
Telemark,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.14305477912735098
Porsgrunn,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.170506657826399
Porsgrunn,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.181097780610124
Porsgrunn,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.183276280918728
Porsgrunn,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.184548177047559
Porsgrunn,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.192082352296994
Porsgrunn,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.186052861511577
Porsgrunn,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.17883743523316098
Porsgrunn,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.1618853009975
Skien,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.177848147875396
Skien,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.18569069895432
Skien,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.19085003202488798
Skien,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.194587019038259
Skien,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.200039895546206
Skien,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.191126402824564
Skien,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.188309133824476
Skien,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.16897154665395
Notodden,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.11900976606859
Notodden,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.124533191067754
Notodden,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.130693069306931
Notodden,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.12705954479270398
Notodden,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.132368785593351
Notodden,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.131168930846573
Notodden,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.12936660268714
Notodden,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.11420171867933099
Siljan,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.117098005939754
Siljan,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.13100808166737601
Siljan,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.140832975525977
Siljan,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.134615384615385
Siljan,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.141031103536429
Siljan,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.157088122605364
Siljan,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.154526315789474
Siljan,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.148614609571788
Bamble,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.18064789927854
Bamble,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.187054924910104
Bamble,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.191709844559585
Bamble,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.189673565180286
Bamble,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.198943913229628
Bamble,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.195717131474104
Bamble,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.180073384137736
Bamble,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.167495970285234
Kragerø,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.145947477800869
Kragerø,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.154387968779745
Kragerø,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.163271189698251
Kragerø,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.158477842003854
Kragerø,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.16225038402457798
Kragerø,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.152738865810067
Kragerø,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.148372227023912
Kragerø,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.140449976065103
Drangedal,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.08076181292189011
Drangedal,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.0852618757612667
Drangedal,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.0870098039215686
Drangedal,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.0916256157635468
Drangedal,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.0972733971997052
Drangedal,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.0945516735890545
Drangedal,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.0926423857247617
Drangedal,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.079295154185022
Nome,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.118147304479879
Nome,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.12286276289907701
Nome,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.128938513306822
Nome,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.132463545663853
Nome,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.1327065351418
Nome,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.132737911918694
Nome,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.124409208720842
Nome,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.103685578834684
Midt-Telemark,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.148027291604865
Midt-Telemark,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.153348774367883
Midt-Telemark,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.151026252983294
Midt-Telemark,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.157506702412869
Midt-Telemark,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.16155243284580798
Midt-Telemark,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.16329822563810598
Midt-Telemark,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.151932929669306
Midt-Telemark,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.131144534115921
Seljord,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.130580731789191
Seljord,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.128759716120311
Seljord,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.12917518745739598
Seljord,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.12915512465374002
Seljord,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.143448275862069
Seljord,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.148840429214261
Seljord,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.130656685947601
Seljord,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.10339039946290701
Hjartdal,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.06214689265536719
Hjartdal,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.07309388783868939
Hjartdal,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.0744274809160305
Hjartdal,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.0826446280991736
Hjartdal,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.08904548366431779
Hjartdal,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.0761843790012804
Hjartdal,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.0724181360201511
Hjartdal,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.08343558282208591
Tinn,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.05836443841194441
Tinn,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.0606215846994536
Tinn,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.062456747404844304
Tinn,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.0548234053769109
Tinn,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.06495360456816561
Tinn,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.0660377358490566
Tinn,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.058240173097728096
Tinn,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.0507861919392735
Kviteseid,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.07002457002457
Kviteseid,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.0896954526491448
Kviteseid,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.0853100291302538
Kviteseid,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.0799001248439451
Kviteseid,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.0868312757201646
Kviteseid,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.0799347471451876
Kviteseid,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.0828182941903585
Kviteseid,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.0744507729861676
Nissedal,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.08468834688346889
Nissedal,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.112827400940228
Nissedal,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.107723577235772
Nissedal,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.09806629834254141
Nissedal,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.0804195804195804
Nissedal,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.0636492220650637
Nissedal,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.0859916782246879
Nissedal,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.0815771583956492
Fyresdal,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.089461713419257
Fyresdal,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.135606060606061
Fyresdal,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.117418351477449
Fyresdal,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.121989121989122
Fyresdal,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.104234527687296
Fyresdal,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.111853088480801
Fyresdal,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.09313725490196081
Fyresdal,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.0660828025477707
Tokke,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.08348294434470381
Tokke,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.09168157423971379
Tokke,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.0879712746858169
Tokke,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.08405270331667421
Tokke,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.07670979667282811
Tokke,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.07149532710280371
Tokke,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.06915377616014559
Tokke,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.0533453887884268
Vinje,2016-01-01,kjønn samlet,alle aldre,andel (prosent),0.0947396672034353
Vinje,2017-01-01,kjønn samlet,alle aldre,andel (prosent),0.107845780533837
Vinje,2018-01-01,kjønn samlet,alle aldre,andel (prosent),0.106097233413914
Vinje,2019-01-01,kjønn samlet,alle aldre,andel (prosent),0.11670293797606099
Vinje,2020-01-01,kjønn samlet,alle aldre,andel (prosent),0.12433439829606
Vinje,2021-01-01,kjønn samlet,alle aldre,andel (prosent),0.110785619174434
Vinje,2022-01-01,kjønn samlet,alle aldre,andel (prosent),0.108298538622129
Vinje,2023-01-01,kjønn samlet,alle aldre,andel (prosent),0.09322253960010389
