Geografi,År,Måltall,value
Hele landet,2024,P90/P10,2.8
Telemark,2024,P90/P10,2.7
Porsgrunn,2024,P90/P10,2.7
Skien,2024,P90/P10,2.7
Notodden,2024,P90/P10,2.6
Siljan,2024,P90/P10,2.4
Bamble,2024,P90/P10,2.6
Kragerø,2024,P90/P10,2.6
Drangedal,2024,P90/P10,2.7
Nome,2024,P90/P10,2.5
Midt-Telemark,2024,P90/P10,2.8
Seljord,2024,P90/P10,2.7
Hjartdal,2024,P90/P10,3.1
Tinn,2024,P90/P10,2.7
Kviteseid,2024,P90/P10,2.7
Nissedal,2024,P90/P10,2.7
Fyresdal,2024,P90/P10,2.6
Tokke,2024,P90/P10,2.8
Vinje,2024,P90/P10,2.8
