Kommune,Andel (2021-2023),Label
Bamble,7.96774432196493,Bamble
Drangedal,8.36820083682008,Drangedal
Fyresdal,7.38488271068636,Fyresdal
Hjartdal,8.93703452945159,Hjartdal
Kragerø,7.1639360944337,Kragerø
Kviteseid,7.73626373626374,Kviteseid
Midt-Telemark,10.6114558958185,Midt-Telemark
Nissedal,9.29041697147037,Nissedal
Nome,7.38673670387393,Nome
Notodden,8.86539243594957,Notodden
Porsgrunn,9.50732664128303,Porsgrunn
Seljord,8.02603036876356,Seljord
Siljan,6.73415492957746,Siljan
Skien,9.82756677561141,Skien
Tinn,8.62236000775044,Tinn
Tokke,8.26771653543307,Tokke
Vinje,8.55766506092378,Vinje
